page	locus	record_ordinal	field_ordinal	within_field_position	line_boundary	event_index	surface	exact_tuple_id	v16_reading	v17_selected_reading	left_two	right_two	rewritten_complete_local_sequence
f10r	f10r.2	1	1	MIDDLE	LINE_INTERIOR	3	char	4d4559019a961b834aa1	of the same	repeat the foregoing preparation	dchey=the pictured simple is called local-name-65F32 | cthoor=kept in a covered jar	chty=until evenly joined | os=pounded to powder	the pictured simple is called local-name-65F32; kept in a covered jar; repeat the foregoing preparation; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; apply or use it at the affected place; in the stated measure or for the stated time; and keep the root
f10r	f10r.2	1	1	MIDDLE	LINE_INTERIOR	8	oky	276a7c2d74d1143446f4	use the lesser portion	apply or use it at the affected place	chair=a reddish stem | otytchol=drunk for stomach pain	daiin=in the stated measure or for the stated time | etyd=and keep the root	the pictured simple is called local-name-65F32; kept in a covered jar; repeat the foregoing preparation; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; apply or use it at the affected place; in the stated measure or for the stated time; and keep the root
f10r	f10r.2	1	1	MIDDLE	LINE_INTERIOR	9	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	in the stated measure or for the stated time	otytchol=drunk for stomach pain | oky=apply or use it at the affected place	etyd=and keep the root	the pictured simple is called local-name-65F32; kept in a covered jar; repeat the foregoing preparation; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; apply or use it at the affected place; in the stated measure or for the stated time; and keep the root
f10r	f10r.5	1	1	FIRST	LINE_START	1	qokchy	9ad66e67803a12e745de	use the fresh preparation	use the freshly pounded preparation		qotchol=applied while warm | chol=with the foregoing preparation; likewise	use the freshly pounded preparation; applied while warm; with the foregoing preparation; likewise; when the preparation is ready
f10r	f10r.5	1	1	MIDDLE	LINE_INTERIOR	3	chol	dcda95c81a5460feb191	with it; likewise under the same heading	with the foregoing preparation; likewise	qokchy=use the freshly pounded preparation | qotchol=applied while warm	cthy=when the preparation is ready	use the freshly pounded preparation; applied while warm; with the foregoing preparation; likewise; when the preparation is ready
f10r	f10r.5	1	1	LAST	LINE_END	4	cthy	e0b630cb1b5df5e7105b	when prepared and ready	when the preparation is ready	qotchol=applied while warm | chol=with the foregoing preparation; likewise		use the freshly pounded preparation; applied while warm; with the foregoing preparation; likewise; when the preparation is ready
f10r	f10r.6	2	1	MIDDLE	LINE_INTERIOR	2	cthy	e0b630cb1b5df5e7105b	when prepared and ready	when the preparation is ready	ycheor=it is found in	chor=the prepared or expressed liquor | cthaiin=the expressed juice	it is found in; when the preparation is ready; the prepared or expressed liquor; the expressed juice; boiled gently; this present portion or treated member; this present portion or treated member; in the stated measure or for the stated time; this present portion or treated member
f10r	f10r.6	2	1	MIDDLE	LINE_INTERIOR	3	chor	7a4bb8136330ee4e6e56	the prepared liquid	the prepared or expressed liquor	ycheor=it is found in | cthy=when the preparation is ready	cthaiin=the expressed juice | qoctholy=boiled gently	it is found in; when the preparation is ready; the prepared or expressed liquor; the expressed juice; boiled gently; this present portion or treated member; this present portion or treated member; in the stated measure or for the stated time; this present portion or treated member
f10r	f10r.6	2	1	MIDDLE	LINE_INTERIOR	6	dy	b921a237be883a820352	this portion	this present portion or treated member	cthaiin=the expressed juice | qoctholy=boiled gently	chy=this present portion or treated member | taiin=in the stated measure or for the stated time	it is found in; when the preparation is ready; the prepared or expressed liquor; the expressed juice; boiled gently; this present portion or treated member; this present portion or treated member; in the stated measure or for the stated time; this present portion or treated member
f10r	f10r.6	2	1	MIDDLE	LINE_INTERIOR	7	chy	b921a237be883a820352	this portion	this present portion or treated member	qoctholy=boiled gently | dy=this present portion or treated member	taiin=in the stated measure or for the stated time | shy=this present portion or treated member	it is found in; when the preparation is ready; the prepared or expressed liquor; the expressed juice; boiled gently; this present portion or treated member; this present portion or treated member; in the stated measure or for the stated time; this present portion or treated member
