exact_tuple_id	surface_examples	events	pages	r1_selected	r2_selected	r3_selected	r4_selected	v17_selected_default	confidence	source_class	selection_rule
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	by the stated or usual measure	in the stated measure or for the stated time	in the stated or usual measure	in the quantity previously stated	in the stated or usual measure	.66	MEASURE_REFERENCE	four-perspective consensus; R4 whole-passage tie-break
dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	f10r|f81v|f83r	with the preceding preparation	with the foregoing preparation; likewise	with the foregoing liquid	with the foregoing preparation	with the foregoing preparation	.67	PREPARATION_REFERENCE	four-perspective consensus; R4 whole-passage tie-break
b921a237be883a820352	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	this portion	this present portion or treated member	this present charge	this same portion	this present portion	.56	CURRENT_PORTION	four-perspective consensus; R4 whole-passage tie-break
bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	f81v|f82r|f83r	set it ready, then end this instruction	give the ordinary lukewarm bath and set it ready	let it stand and settle	let it stand until ready, then end this instruction	let it stand until ready; end this instruction	.48	SETTLE_READY_CLOSE	four-perspective consensus; R4 whole-passage tie-break
6f7ff8287eddf4da9fdb	chdy|chedy	11	f55v|f81v|f83r	mix until even	mix until the preparation is even	stir until evenly mixed	stir until evenly mixed	stir until evenly mixed	.62	MIXING_ACTION	four-perspective consensus; R4 whole-passage tie-break
276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	apply or use this portion	apply or use it at the affected place	apply or use the prepared substance	apply the prescribed small portion	apply or use this portion	.61	APPLICATION_ACTION	four-perspective consensus; R4 whole-passage tie-break
7d25241b0e56c836372a	qokeedy	10	f82r|f83r	bathe or immerse in the tempered warm liquid, then stop	bathe with the tempered herbal liquor	warm it to a tempered heat	bathe or immerse in the tempered warm liquid, then end the instruction	bathe or immerse in the tempered warm liquid; end this instruction	.52	TEMPERED_IMMERSION_CLOSE	four-perspective consensus; R4 whole-passage tie-break
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	at the indicated place	at the indicated affected place	at the indicated place	at the place indicated by the drawing or rubric	at the place indicated by the drawing	.58	PICTURE_LOCAL_REFERENCE	four-perspective consensus; R4 whole-passage tie-break
b5fcea1eaed06b2f2291	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	take up the next portion or instruction	take up the next entry or portion	take up the next measured charge	take up the next portion or instruction	take up the next portion or instruction	.68	NEXT_PORTION_HEAD	four-perspective consensus; R4 whole-passage tie-break
7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	rinse or pour over the local place, then stop	pour over and rinse the local place	pour or rinse it over the indicated place	rinse the indicated place once, then end the instruction	rinse the indicated place once; end this instruction	.50	LOCAL_RINSE_CLOSE	four-perspective consensus; R4 whole-passage tie-break
de7321bface5628e35d6	lchedy	8	f82r|f83r	leave it to stand in its place, then stop	let the liquor drain at the lower outlet	let it cool to the ordinary setting	leave it standing in the lower vessel, then end the instruction	leave it standing in the lower vessel; end this instruction	.38	LOWER_VESSEL_STAND_CLOSE	four-perspective consensus; R4 whole-passage tie-break
0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	keep gently warmed	mix the preparation thoroughly	add warmed water	keep it lukewarm	keep it lukewarm	.46	LUKEWARM_CONDITION	four-perspective consensus; R4 whole-passage tie-break
1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	put or add it into the vessel	add the measured ingredient	put the next measured charge into the vessel	add one measured portion to the vessel	add one measured portion to the vessel	.55	MEASURED_ADDITION	four-perspective consensus; R4 whole-passage tie-break
7a4bb8136330ee4e6e56	chor|or|shor|sor	7	f10r|f55v|f83r	the prepared liquid	the prepared or expressed liquor	the prepared liquid	the prepared decoction or working liquor	the prepared decoction or working liquid	.53	PREPARED_LIQUID	four-perspective consensus; R4 whole-passage tie-break
e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	f10r|f11r|f83r	when the preparation is ready	when the preparation is ready	when the preparation is ready	when the preparation is ready	when the preparation is ready	.55	READINESS_CONDITION	four-perspective consensus; R4 whole-passage tie-break
308e8ea2d5d190c498e8	okal|qokal	6	f55v|f81v|f82r|f83r	combine the two portions	mix the two portions with warm water	combine the two portions	mix the two portions together	mix the two portions together	.54	COMBINE_PORTIONS	four-perspective consensus; R4 whole-passage tie-break
4d4559019a961b834aa1	char|dar|sar	5	f10r|f81v|f82r|f83r	from the same batch	repeat the foregoing preparation	then proceed	from the same batch	from the same batch	.40	SAME_BATCH_REFERENCE	four-perspective consensus; R4 whole-passage tie-break
259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	finish this application, then stop	strain the application and set it aside	wash it through once	finish this treatment, then end the instruction	finish this treatment; end this instruction	.37	TREATMENT_FINISH_CLOSE	four-perspective consensus; R4 whole-passage tie-break
2cc054357a929df85f64	cho|sho	4	f56r	then, thereafter	the flowering tops	as for the pictured plant	thereafter take the following detail	thereafter take the following detail	.40	DOSSIER_CONTINUATION	four-perspective consensus; R4 whole-passage tie-break
2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	through the connected channels	pass the liquor through the joined conduits	through the joined channels	through the connected channels	through the connected channels	.52	CHANNEL_ROUTE	four-perspective consensus; R4 whole-passage tie-break
