page	locus	record	field	event_index	surface	exact_tuple_id	left_2	left_1	right_1	right_2	within_field_position	field_boundary_before	field_boundary_after	physical_line_start	physical_line_end	dy_closure	b3	v16_reading	v17_selected	rewritten_local_sequence
f10r	f10r.2	1	1	3	char	4d4559019a961b834aa1	dchey	cthoor	chty	os	MIDDLE	0	0	0	0	0	0	of the same	then proceed	the pictured simple is called local-name-65F32; kept in a covered jar; then proceed; until evenly joined; pounded to powder
f10r	f10r.2	1	1	8	oky	276a7c2d74d1143446f4	chair	otytchol	daiin	etyd	MIDDLE	0	0	0	0	0	0	use the lesser portion	apply or use the prepared substance	a reddish stem; drunk for stomach pain; apply or use the prepared substance; in the stated or usual measure; and keep the root
f10r	f10r.2	1	1	9	daiin	2f1c5e56e8f0ff459065	otytchol	oky	etyd	<LINE_END>	MIDDLE	0	0	0	0	0	0	in the stated or usual measure	in the stated or usual measure	drunk for stomach pain; apply or use the prepared substance; in the stated or usual measure; and keep the root
f10r	f10r.5	1	1	1	qokchy	9ad66e67803a12e745de	<LINE_START>	<LINE_START>	qotchol	chol	FIRST	1	0	1	0	0	0	use the fresh preparation	use the fresh preparation	use the fresh preparation; applied while warm; with the foregoing liquid
f10r	f10r.5	1	1	3	chol	dcda95c81a5460feb191	qokchy	qotchol	cthy	<LINE_END>	MIDDLE	0	0	0	0	0	0	with it; likewise under the same heading	with the foregoing liquid	use the fresh preparation; applied while warm; with the foregoing liquid; when the preparation is ready
f10r	f10r.5	1	1	4	cthy	e0b630cb1b5df5e7105b	qotchol	chol	<LINE_END>	<LINE_END>	LAST	0	1	0	1	0	0	when prepared and ready	when the preparation is ready	applied while warm; with the foregoing liquid; when the preparation is ready
f10r	f10r.6	2	1	2	cthy	e0b630cb1b5df5e7105b	<LINE_START>	ycheor	chor	cthaiin	MIDDLE	0	0	0	0	0	0	when prepared and ready	when the preparation is ready	it is found in; when the preparation is ready; the prepared liquid; the expressed juice
f10r	f10r.6	2	1	3	chor	7a4bb8136330ee4e6e56	ycheor	cthy	cthaiin	qoctholy	MIDDLE	0	0	0	0	0	0	the prepared liquid	the prepared liquid	it is found in; when the preparation is ready; the prepared liquid; the expressed juice; boiled gently
f10r	f10r.6	2	1	6	dy	b921a237be883a820352	cthaiin	qoctholy	chy	taiin	MIDDLE	0	0	0	0	0	0	this portion	this present charge	the expressed juice; boiled gently; this present charge; this present charge; in the stated or usual measure
f10r	f10r.6	2	1	7	chy	b921a237be883a820352	qoctholy	dy	taiin	shy	MIDDLE	0	0	0	0	0	0	this portion	this present charge	boiled gently; this present charge; this present charge; in the stated or usual measure; this present charge
