exact_tuple_id	surface_examples	events	pages	rival_1_v16_incumbent	rival_1_score	rival_2	rival_2_score	rival_3	rival_3_score	selected_default	conditioned_second_sense	confidence	revision_status	workshop_rule
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	in the stated or usual measure	fit=5;cross_page=5;portability=5;historical=5;repairs=1;total=19	for the stated interval	fit=3;cross_page=3;portability=4;historical=5;repairs=3;total=12	in equal portions	fit=4;cross_page=3;portability=4;historical=5;repairs=2;total=14	by the stated or usual measure		.62	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	f10r|f81v|f83r	with it; likewise under the same heading	fit=4;cross_page=5;portability=5;historical=5;repairs=1;total=18	with the preceding preparation	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	continue the same procedure	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	with the preceding preparation	At physical entry: likewise with the same preparation.	.65	IMPROVED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
b921a237be883a820352	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	this portion	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	this liquid	fit=4;cross_page=3;portability=4;historical=5;repairs=2;total=14	repeat this step	fit=3;cross_page=3;portability=4;historical=4;repairs=3;total=11	this portion		.58	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	f81v|f82r|f83r	set ready in the usual manner; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	let it stand and end the instruction	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	the preparation is finished	fit=4;cross_page=5;portability=5;historical=5;repairs=1;total=18	set it ready, then end this instruction		.51	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
6f7ff8287eddf4da9fdb	chdy|chedy	11	f55v|f81v|f83r	mix until even	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	stir it thoroughly	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	perform the usual preparation	fit=3;cross_page=4;portability=5;historical=4;repairs=1;total=15	mix until even		.55	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	use the lesser portion	fit=3;cross_page=3;portability=4;historical=4;repairs=3;total=11	apply or use this portion	fit=5;cross_page=5;portability=5;historical=5;repairs=1;total=19	take the second portion	fit=3;cross_page=3;portability=4;historical=4;repairs=3;total=11	apply or use this portion	After an explicit measure: use the measured portion.	.54	REVERSED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
7d25241b0e56c836372a	qokeedy	10	f82r|f83r	use the tempered warm medium; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=1;total=19	immerse in warm water, then stop	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	add warm liquid, then stop	fit=4;cross_page=4;portability=5;historical=5;repairs=2;total=16	bathe or immerse in the tempered warm liquid, then stop		.47	IMPROVED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	at the indicated place	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	into the lower vessel	fit=4;cross_page=3;portability=3;historical=5;repairs=2;total=13	at that same place	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	at the indicated place		.49	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
b5fcea1eaed06b2f2291	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	take up the next entry	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	take the next portion	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	add the usual liquid	fit=3;cross_page=3;portability=5;historical=4;repairs=3;total=12	take up the next portion or instruction	After a committed cell: take up the next instruction.	.69	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	rinse or pour over the local place; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	wash the part once, then stop	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	draw off the liquid, then stop	fit=4;cross_page=3;portability=5;historical=5;repairs=2;total=15	rinse or pour over the local place, then stop		.48	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
