tuple_id	surface_forms	events	folios	v16_incumbent	selected_default	conditioned_second_sense	confidence	revision_status	special_sense_count	rival_1	rival_1_context	rival_1_cross_page	rival_1_portability	rival_1_historical	rival_1_economy	rival_1_total	rival_2	rival_2_context	rival_2_cross_page	rival_2_portability	rival_2_historical	rival_2_economy	rival_2_total	rival_3	rival_3_context	rival_3_cross_page	rival_3_portability	rival_3_historical	rival_3_economy	rival_3_total	selection_reason
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	in the stated or usual measure	in the quantity previously stated	in the customary dose when no earlier quantity is recoverable	.55	IMPROVED	1	in the stated or usual measure	17	17	18	18	14	84	in the quantity previously stated	19	19	19	19	17	93	for the same length of time	12	11	14	17	10	64	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	f10r|f81v|f83r	with it; likewise under the same heading	with the foregoing preparation	likewise under the same heading at field entry	.64	IMPROVED	1	with it; likewise under the same heading	19	18	20	19	15	91	with the foregoing preparation	20	19	20	19	18	96	and then	13	12	16	19	12	72	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
b921a237be883a820352	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	this portion	this same portion	this same instruction when no material antecedent is present	.51	IMPROVED	1	this portion	18	17	19	18	16	88	this same portion	20	19	20	19	17	95	one time	11	10	13	17	10	61	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	f81v|f82r|f83r	set ready in the usual manner; close the rubric	let it stand until ready, then end this instruction		.43	REVERSED	0	set ready in the usual manner; close the rubric	17	16	18	16	14	81	let it stand until ready, then end this instruction	19	19	19	19	18	94	use the finished preparation and stop	15	15	17	17	15	79	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
6f7ff8287eddf4da9fdb	chdy|chedy	11	f55v|f81v|f83r	mix until even	stir until evenly mixed		.49	IMPROVED	0	mix until even	19	19	20	19	18	95	stir until evenly mixed	20	20	20	20	18	98	continue until the liquid clears	13	13	17	18	14	75	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	use the lesser portion	apply the prescribed small portion	take the prescribed small portion in Herbal use	.42	IMPROVED	1	use the lesser portion	17	16	19	17	16	85	apply the prescribed small portion	19	18	20	19	16	92	open the smaller outlet	13	10	9	16	12	60	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
7d25241b0e56c836372a	qokeedy	10	f82r|f83r	use the tempered warm medium; close the rubric	bathe or immerse in the tempered warm liquid, then end the instruction		.42	IMPROVED	0	use the tempered warm medium; close the rubric	18	18	19	16	15	86	bathe or immerse in the tempered warm liquid, then end the instruction	20	20	20	19	17	96	add the warmed liquid and stop	17	17	19	19	16	88	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	at the indicated place	at the place indicated by the drawing or rubric		.40	IMPROVED	0	at the indicated place	19	18	20	19	17	93	at the place indicated by the drawing or rubric	20	19	20	19	18	96	in the lower vessel	14	11	12	18	14	69	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
b5fcea1eaed06b2f2291	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	take up the next entry	take up the next portion or instruction	resume the carried instruction after a line break	.71	IMPROVED	1	take up the next entry	19	19	20	19	18	95	take up the next portion or instruction	20	20	20	20	18	98	pour in the working liquid	14	12	17	18	13	74	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	rinse or pour over the local place; close the rubric	rinse the indicated place once, then end the instruction		.44	IMPROVED	0	rinse or pour over the local place; close the rubric	19	18	20	18	15	90	rinse the indicated place once, then end the instruction	20	20	20	19	18	97	open the lower outlet and stop	15	14	17	18	14	78	highest all-occurrence fit; ties prefer the ordinary c.1420 recipe/register phrase needing fewer inherited repairs
