page	locus	surface_sequence	v17_complete_reading	recurrent_events	total_events
f10r	f10r.2	dchey cthoor char chty os chair otytchol oky daiin etyd	the pictured simple is called local-name-65F32; kept in a covered jar; then proceed; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; apply or use the prepared substance; in the stated or usual measure; and keep the root	3	10
f10r	f10r.5	qokchy qotchol chol cthy	use the fresh preparation; applied while warm; with the foregoing liquid; when the preparation is ready	3	4
f10r	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	it is found in; when the preparation is ready; the prepared liquid; the expressed juice; boiled gently; this present charge; this present charge; in the stated or usual measure; this present charge	6	9
f10r	f10r.8	qotchor chor otol chol cholor chol daiin dar	gathered before flowering; the prepared liquid; a handful; with the foregoing liquid; from the foregoing batch; with the foregoing liquid; in the stated or usual measure; then proceed	5	8
f10r	f10r.9	oykchor shor chor chy kaiiin dy chodaiin	its flower appears; the prepared liquid; the prepared liquid; this present charge; a bitter taste; this present charge; and preserve it in oil	4	7
f11r	f11r.1	tshol schoal cfhy shfydaiin cphy shey tchody shoyty	gather it in spring; shaded woodland; gathered before flowering; strained through cloth; strained through cloth; until the liquid runs clear; leave the outlet open; close the rubric; its flower appears	1	8
f11r	f11r.4	dchol chy kchy dy daiin	the pictured simple is called local-name-D6655; this present charge; used against swelling; this present charge; in the stated or usual measure	3	5
f11r	f11r.7	qotchy okchol cthy dy	the pictured simple is called local-name-A48EF; applied while warm; when the preparation is ready; this present charge	2	4
f55v	f55v.11	ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	for its medicinal use; white wine; while still warm; boil gently; close the rubric; in the stated or usual measure; combine the two portions; kept in a covered jar; the prepared liquid; this present charge; and use it fresh	4	10
f55v	f55v.5	qokaiin chaiin ykain ykan ody daiin chedy talam	take up the next measured charge; in the stated or usual measure; boiled gently; white wine; steep until clear; close the rubric; in the stated or usual measure; stir until evenly mixed; wash once; close the rubric	4	8
f56r	f56r.12	sh cho kchey qokokchy	its seed is; as for the pictured plant; the dried leaf; and dry it in shade	1	4
f56r	f56r.13	okchy chokcheo kchal	use the fresh preparation; drunk for stomach pain; and dry it in shade	1	3
f56r	f56r.18	sho chokchy kchoar sotodan	as for the pictured plant; use the fresh preparation; honey; and use it fresh	2	4
f56r	f56r.19	otchey keol daiin	mark the following share; a pale flower; in the stated or usual measure	1	3
f56r	f56r.5	chochor cho chodaly daiin	gather it in spring; as for the pictured plant; the lower root; in the stated or usual measure	2	4
f56r	f56r.7	sho kchol otchor choky dal	as for the pictured plant; white wine; gathered before flowering; apply or use the prepared substance; at the indicated place	3	5
f56r	f56r.8	schol choy choky cheeckhody	the pictured simple is called local-name-D6655; shaded woodland; apply or use the prepared substance; leave the outlet open; close the rubric	1	4
f81v	f81v.17	sshkchdy chedy ol shedy qolchedy qokain shckhy dl ral	keep it warm; close the rubric; stir until evenly mixed; with the foregoing liquid; let it stand and settle; draw off the clear liquor; put the next measured charge into the vessel; through the joined channels; the prepared oil; and let it cool	6	9
f81v	f81v.18	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	bring it once to the boil; this present charge; with the foregoing liquid; over a gentle heat; with the foregoing liquid; let it stand and settle; pour or rinse it over the indicated place; pour or rinse it over the indicated place; through the joined channels; apply or use the prepared substance	10	10
f81v	f81v.2	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	pour or rinse it over the indicated place; take up the next measured charge; the returning flow; combine the two portions; then proceed; with the foregoing liquid; one measured charge; the lower basin; at the indicated place; with the foregoing liquid; before it cools; the prepared oil	8	12
f81v	f81v.21	lsho qokey lshedy lshedy chedy qolky lchedal qol otar	begin the rinsing; warm water; wash twice; close the rubric; wash twice; close the rubric; stir until evenly mixed; the affected place; the lower basin; with the foregoing liquid; then use the lower outlet	2	9
f81v	f81v.24	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	then fill the vessel; let it cool; close the rubric; combine the two portions; add warmed water; with the foregoing liquid; let it stand and settle; at the indicated place; the first opening; strain it clear; close the rubric; then fill the vessel	5	10
f81v	f81v.27	dsheol oiiin olkeedy tedy cheky shckhedy chal	apply at the marked place; until clear; let the liquid settle clear; let it stand and settle; over a gentle heat; strain it through cloth; at the indicated place	5	7
f81v	f81v.7	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	from the foregoing batch; with the foregoing liquid; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the joined channels; wash it through once; with the foregoing liquid	6	9
f82r	f82r.19	okain char okain qokeedy lchy	put the next measured charge into the vessel; then proceed; put the next measured charge into the vessel; warm it to a tempered heat; draw off the clear liquid	4	5
f82r	f82r.2	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched	wash it through once; draw off the clear liquor; put the next measured charge into the vessel; this present charge; warm it to a tempered heat; combine the two portions; the second opening; and proceed to the next basin	6	8
f82r	f82r.23	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar	until the liquid runs clear; under the same setting; add warmed water; the immersed part; in the stated or usual measure; this present charge; immerse fully; close the rubric; let it cool to the ordinary setting; close the lower outlet	5	9
f82r	f82r.26	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey	begin the rinsing; warm it to a tempered heat; at the indicated place; cool water; in equal portions; in the stated or usual measure; the prepared oil; take up the next measured charge; warm water	4	9
f82r	f82r.27	pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	draw it off; close the rubric; pour in the warmed water; repeat at the second opening; close the rubric; warm it to a tempered heat; drink the stated portion; close the rubric; bind upon the place; close the rubric; warm it to a tempered heat; mix in equal shares; close the rubric	2	8
f82r	f82r.3	qokeey lcheckhedy qokaly solkaiin chckhy qokaiin	add warmed water; strain it clear; close the rubric; continue at the second conduit; through a cloth; through the joined channels; take up the next measured charge	3	6
f82r	f82r.4	qokaiin octheol chkeey ldy oteey qokal sheckhy qoky	take up the next measured charge; under the same setting; the broad vessel; draw it off; close the rubric; the prepared oil; combine the two portions; over the local place; apply or use the prepared substance	3	8
f82r	f82r.7	dshedy sotaiin qokar shedy solshedy qokeey qoky ls cheey	add clean water; close the rubric; for the same duration; over the local place; let it stand and settle; keep it warm; close the rubric; add warmed water; apply or use the prepared substance; the first opening; until the liquid runs clear	5	9
f83r	f83r.11	sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo	the prepared liquid; let it stand and settle; take up the next measured charge; one measured charge; under the same setting; pour or rinse it over the indicated place; next open the upper channel; wash once; close the rubric; let it cool to the ordinary setting; close the lower outlet	6	10
f83r	f83r.14	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	let it cool; close the rubric; warm it to a tempered heat; let it stand and settle; boil gently; close the rubric; at the indicated place; let it cool to the ordinary setting; take up the next measured charge; when the preparation is ready; at the indicated place; this present charge	8	10
