statement_id	page	record	clean_instruction_de	refined_cue_words	refined_component_sequence	refined_component_set	observed_component_set_after_reveal	exact_component_set	missing_components	extra_components	packed_recipe_sequence	observed_recipe_sequence_after_reveal	predicted_cards	observed_cards	card_count_delta	exact_recipe_sequence	generation_contract
H1-S001	f10r	H1	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	Posten | kurz | entnehmen | Ansatz | Arbeitsgang | bereiten | Quelle | anwenden | Wasser | entnehmen | danach | Posten | weiterfuehren | Sollmass | ansetzen | kurz | anwenden	Y+E+CH+OR+O+CTH+AR+T+AIR+CH+OT+Y+OL+AIIN+OK+E+T	AIIN+AIR+AR+CH+CTH+E+O+OK+OL+OR+OT+T+Y	AIIN+AIR+AR+CH+CTH+E+O+OK+OL+OR+OS+OT+T+Y	NO	OS	NONE	CH+E+Y | CTH+O+OR | AR | UNPACKED(T) | CH+AIR | OT+Y | OL | OK+AIIN | UNPACKED(E) | UNPACKED(T)	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	10	10	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H1-S002	f10r	H1	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	Posten | ansetzen | danach | entnehmen | weiterfuehren | weiterarbeiten | bereitet	Y+OK+OT+CH+OL+OL+CTH	CH+CTH+OK+OL+OT+Y	CH+CTH+OK+OL+OT+Y	YES	NONE	NONE	OK+Y | OT+CH+OL | OL | UNPACKED(CTH)	OK+Y | OT+CH+OL | OL | CTH+Y	4	4	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H2-S001	f10r	H2	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	Ansatz | kurz | entnehmen | Posten | bereitet | Ansatz | Sollmass | weiterbearbeiten | Posten	OR+E+CH+Y+CTH+OR+AIIN+OL+Y	AIIN+CH+CTH+E+OL+OR+Y	AIIN+CH+CTH+E+O+OL+OR+Y	NO	O	NONE	Y+CH+E+OR | UNPACKED(CTH) | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	5	9	-4	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H2-S002	f10r	H2	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	Danach | Ansatz | entnehmen | Ansatz | weiteren | Sollmass | Quelle | weiterfuehren	OT+OR+CH+OR+OL+AIIN+AR+OL	AIIN+AR+CH+OL+OR+OT	AIIN+AR+CH+OL+OR+OT	YES	NONE	NONE	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	5	8	-3	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H2-S003	f10r	H2	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	Arbeitsgang | Ansatz | zugeben | Ansatz | Posten | Arbeitsstufe | zugeben | Arbeitsgang | Sollmass | entnehmen	O+OR+K+OR+Y+IIN+K+O+AIIN+CH	AIIN+CH+IIN+K+O+OR+Y	AIIN+CH+IIN+K+O+OR+Y	YES	NONE	NONE	UNPACKED(O) | OR | UNPACKED(K) | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	7	7	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H3-S001	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	Zielstelle | weiter | halten | auswringen | Sollmass | halten | fuellen | laenger | halten | entnehmen | schliessen	AL+OL+SH+CFH+AIIN+SH+P+EE+SH+CH+DY	AIIN+AL+CFH+CH+DY+EE+OL+P+SH	AIIN+AL+CFH+CH+DY+EE+O+OL+P+SH+T+Y	NO	O+T+Y	NONE	AL | OL | SH | UNPACKED(CFH) | AIIN | SH | UNPACKED(P) | UNPACKED(EE) | SH | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	11	7	4	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H3-S002	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	Posten | Arbeitsgang | halten | anwenden	Y+O+SH+T	O+SH+T+Y	O+SH+T+Y	YES	NONE	NONE	Y | UNPACKED(O) | SH | UNPACKED(T)	SH+O+Y+T+Y	4	1	3	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H3-S003	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	wiederaufnehmen | Posten | zugeben | Sollmass	RESUME_CARD+Y+K+AIIN	AIIN+K+RESUME_CARD+Y	AIIN+K+RESUME_CARD+Y	YES	NONE	NONE	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	2	5	-3	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H3-S004	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	Danach | Posten | weiter | ansetzen | bereitet	OT+Y+OL+OK+CTH	CTH+OK+OL+OT+Y	CTH+OK+OL+OT+Y	YES	NONE	NONE	OT+Y | OK+OL | UNPACKED(CTH)	OT+Y | OK+OL | CTH+Y | Y	3	4	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H4-S001	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	Sollmass | ansetzen | Posten | Portion | Nachgabe | zugeben | Arbeitsgang | schliessen	AIIN+OK+Y+AIN+AN+K+O+DY	AIIN+AIN+AN+DY+K+O+OK+Y	AIIN+AIN+AN+DY+K+O+OK+Y	YES	NONE	NONE	AIIN | OK+Y | AIN | UNPACKED(AN) | UNPACKED(K) | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	6	5	1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H4-S002	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.	Sollmass | Posten | umsetzen | verwahren	AIIN+Y+CHD+TALAM	AIIN+CHD+TALAM+Y	AIIN+CHD+TALAM+Y	YES	NONE	NONE	AIIN | CHD+Y | TALAM	AIIN | CHD+Y | TALAM	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H4-S003	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	Posten | Sollmass | zugeben | kurz | Arbeitsgang | Quelle | entnehmen | laenger | erwaermen | weiterarbeiten | schliessen	Y+AIIN+K+E+O+AR+CH+EE+CHK+OL+DY	AIIN+AR+CH+CHK+DY+E+EE+K+O+OL+Y	AIIN+AR+CH+CHK+DY+E+EE+K+O+OL+Y	YES	NONE	NONE	Y+K+AIIN | CH+E+O+AR | UNPACKED(EE) | UNPACKED(CHK) | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	5	4	1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H4-S004	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	Sollmass | Zielstelle | ansetzen | Posten | weiter | anwenden | Ansatz | Ansatzportion	AIIN+AL+OK+Y+OL+T+OR+AIN	AIIN+AIN+AL+OK+OL+OR+T+Y	AIIN+AIN+AL+OK+OL+OR+T+Y	YES	NONE	NONE	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	4	6	-2	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H5-S001	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	Zutat | Ansatz | entnehmen | Zielstelle | Sollmass | weiter | zugeben | danach | Ansatz | entnehmen | Posten | Zielstelle | ansetzen	HO+OR+CH+AL+AIIN+OL+K+OT+OR+CH+Y+AL+OK	AIIN+AL+CH+HO+K+OK+OL+OR+OT+Y	AIIN+AL+CH+HO+K+OK+OL+OR+OT+Y	YES	NONE	NONE	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	6	9	-3	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H5-S002	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	wiederaufnehmen | Zutat | Posten | ansetzen | laenger | Arbeitsgang | Durchlass | entnehmen | schliessen	RESUME_CARD+HO+Y+OK+EE+O+CKH+CH+DY	CH+CKH+DY+EE+HO+O+OK+RESUME_CARD+Y	CH+CKH+DY+EE+HO+O+OK+RESUME_CARD+Y	YES	NONE	NONE	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	4	4	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H5-S003	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	Zutat | halten | Posten | kurz | zugeben | ansetzen	HO+SH+Y+E+K+OK	E+HO+K+OK+SH+Y	E+HO+K+OK+SH+Y	YES	NONE	NONE	HO | SH | K+E+Y | UNPACKED(OK)	SH | HO | K+E+Y | OK+OK+Y	4	4	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H5-S004	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	Posten | ansetzen | kurz | Arbeitsgang | ansetzen | entnehmen | Zielstelle | zugeben	Y+OK+E+O+OK+CH+AL+K	AL+CH+E+K+O+OK+Y	AL+CH+E+K+O+OK+Y	YES	NONE	NONE	OK+Y | OK+CH+E+O | K+AL	OK+Y | OK+CH+E+O | K+AL	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
H5-S005	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	Zutat | Posten | ansetzen | Zutat | Quelle | zugeben | danach | Portion | Arbeitsgang	HO+Y+OK+HO+AR+K+OT+AIN+O	AIN+AR+HO+K+O+OK+OT+Y	AIN+AR+HO+K+O+OK+OT+Y	YES	NONE	NONE	HO | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	4	4	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
