statement_id	page	record	missing_components	extra_components	predicted_cards	observed_cards	card_count_delta	packed_recipe_sequence	observed_recipe_sequence_after_reveal
H1-S001	f10r	H1	OS	NONE	10	10	0	CH+E+Y | CTH+O+OR | AR | UNPACKED(T) | CH+AIR | OT+Y | OL | OK+AIIN | UNPACKED(E) | UNPACKED(T)	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y
H1-S002	f10r	H1	NONE	NONE	4	4	0	OK+Y | OT+CH+OL | OL | UNPACKED(CTH)	OK+Y | OT+CH+OL | OL | CTH+Y
H2-S001	f10r	H2	O	NONE	5	9	-4	Y+CH+E+OR | UNPACKED(CTH) | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y
H2-S002	f10r	H2	NONE	NONE	5	8	-3	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR
H2-S003	f10r	H2	NONE	NONE	7	7	0	UNPACKED(O) | OR | UNPACKED(K) | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN
H3-S001	f11r	H3	O+T+Y	NONE	11	7	4	AL | OL | SH | UNPACKED(CFH) | AIIN | SH | UNPACKED(P) | UNPACKED(EE) | SH | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY
H3-S002	f11r	H3	NONE	NONE	4	1	3	Y | UNPACKED(O) | SH | UNPACKED(T)	SH+O+Y+T+Y
H3-S003	f11r	H3	NONE	NONE	2	5	-3	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y | K+Y | Y | AIIN
H3-S004	f11r	H3	NONE	NONE	3	4	-1	OT+Y | OK+OL | UNPACKED(CTH)	OT+Y | OK+OL | CTH+Y | Y
H4-S001	f55v	H4	NONE	NONE	6	5	1	AIIN | OK+Y | AIN | UNPACKED(AN) | UNPACKED(K) | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY
H4-S003	f55v	H4	NONE	NONE	5	4	1	Y+K+AIIN | CH+E+O+AR | UNPACKED(EE) | UNPACKED(CHK) | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY
H4-S004	f55v	H4	NONE	NONE	4	6	-2	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN
H5-S001	f56r	H5	NONE	NONE	6	9	-3	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL
H5-S002	f56r	H5	NONE	NONE	4	4	0	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY
H5-S003	f56r	H5	NONE	NONE	4	4	0	HO | SH | K+E+Y | UNPACKED(OK)	SH | HO | K+E+Y | OK+OK+Y
B1-S002	f81v	B1	NONE	NONE	14	19	-5	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | UNPACKED(CKH) | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY
B1-S006	f81v	B1	NONE	NONE	3	4	-1	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL
B1-S008	f81v	B1	NONE	NONE	5	5	0	Y | E+OL | UNPACKED(CHK) | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY
B1-S011	f81v	B1	NONE	NONE	2	2	0	CKH+Y | UNPACKED(OK)	CKH+Y | OK+Y
B1-S014	f81v	B1	NONE	NONE	5	5	0	CHD+Y | UNPACKED(SOLK) | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR
B1-S015	f81v	B1	NONE	NONE	2	2	0	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY
B2-S004	f82r	B2	NONE	NONE	6	5	1	OK+AL | CKH+Y | L+CHD | UNPACKED(EE) | UNPACKED(OK) | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY
