card_no	component_parse	actual_reading_de	predicted_reading_from_other_cards_de	component_tests	components	components_predicted	composition_status	occurrences	event_ids	sections	primitive_program	workshop_use
PROC005	OS	Arbeitsfach	?	OS=NO_OTHER_INVARIANT	1	0	LEARNED_WHOLE_CARD	1	E005	HERBAL	TARGET_HANDOFF	RECALL_EXACT_CARD
PROC028	CFHY	auswringen	?	CFHY=NO_OTHER_INVARIANT	1	0	LEARNED_WHOLE_CARD	1	E041	HERBAL	SOURCE_DRAW	RECALL_EXACT_CARD
PROC031	WHOLE[cheey|shey]	Empfangsbestand	NONE	NO_ALIGNED_COMPONENT_TEST	1	0	LEARNED_WHOLE_CARD	4	E044|E197|E203|E353	HERBAL|BIOLOGICAL	HOLD_STATE	RECALL_EXACT_CARD
PROC043	TALAM	verwahren	?	TALAM=NO_OTHER_INVARIANT	1	0	LEARNED_WHOLE_CARD	1	E063	HERBAL	CONTINUE_USE	RECALL_EXACT_CARD
PROC045	CHEO+AR	abziehen · kurz · Arbeitsgang · von dort	NONE	NO_ALIGNED_COMPONENT_TEST	2	0	LEARNED_WHOLE_CARD	1	E065	HERBAL	SOURCE_DRAW	RECALL_EXACT_CARD
PROC061	OK+CHEO	ansetzen · abziehen · kurz · Arbeitsgang	NONE	NO_ALIGNED_COMPONENT_TEST	2	0	LEARNED_WHOLE_CARD	1	E092	HERBAL	ACTIVATE_CHARGE	RECALL_EXACT_CARD
PROC099	SH+CKHE+DY	halten · Durchlass · kurz · Schluss	NONE	NO_ALIGNED_COMPONENT_TEST	3	0	LEARNED_WHOLE_CARD	3	E165|E330|E331	BIOLOGICAL	HOLD_STATE>CLOSE	RECALL_EXACT_CARD
PROC103	L+CKHE+DY	führen · Durchlass · kurz · Schluss	NONE	NO_ALIGNED_COMPONENT_TEST	3	0	LEARNED_WHOLE_CARD	1	E176	BIOLOGICAL	MOVE_PASS>CLOSE	RECALL_EXACT_CARD
PROC115	LS	fortsetzen	?	LS=NO_OTHER_INVARIANT	1	0	LEARNED_WHOLE_CARD	1	E196	BIOLOGICAL	CONTINUE_USE	RECALL_EXACT_CARD
PROC124	WHOLE[ches]	teilen	NONE	NO_ALIGNED_COMPONENT_TEST	1	0	LEARNED_WHOLE_CARD	1	E216	BIOLOGICAL	ACTIVATE_CHARGE	RECALL_EXACT_CARD
PROC169	WHOLE[daiiin]	Sollstufe · zweite	NONE	NO_ALIGNED_COMPONENT_TEST	1	0	LEARNED_WHOLE_CARD	1	E371	BIOLOGICAL	METER_CHECK	RECALL_EXACT_CARD
