component	observed_glosses_de	aligned_card_types	aligned_events	card_ids	invariant_across_aligned_cards	leave_one_card_productive	selected_atomic_value_de	status
AIIN	Maß	10	39	PROC009|PROC017|PROC025|PROC029|PROC038|PROC044|PROC105|PROC112|PROC147|PROC152	YES	YES	Maß	PRODUCTIVE_STEM
AIN	Portion	9	19	PROC039|PROC040|PROC050|PROC064|PROC069|PROC070|PROC080|PROC151|PROC156	YES	YES	Portion	PRODUCTIVE_STEM
AIR	Lauf	5	5	PROC006|PROC068|PROC138|PROC150|PROC162	YES	YES	Lauf	PRODUCTIVE_STEM
AL	Zielstelle	22	39	PROC027|PROC048|PROC053|PROC055|PROC062|PROC073|PROC074|PROC081|PROC088|PROC104|PROC126|PROC127|PROC131|PROC134|PROC142|PROC144|PROC148|PROC153|PROC163|PROC168|PROC172|PROC173	YES	YES	Zielstelle	PRODUCTIVE_STEM
AR	von dort	9	13	PROC003|PROC063|PROC089|PROC113|PROC121|PROC123|PROC137|PROC146|PROC165	YES	YES	von dort	PRODUCTIVE_STEM
CFHY	auswringen	1	1	PROC028	YES	NO	auswringen	SINGLE_CARD_ATOM
CH	abziehen	12	13	PROC001|PROC006|PROC007|PROC012|PROC015|PROC020|PROC025|PROC032|PROC051|PROC057|PROC116|PROC163	YES	YES	abziehen	PRODUCTIVE_STEM
CHD	umsetzen	22	48	PROC042|PROC076|PROC077|PROC079|PROC082|PROC088|PROC091|PROC094|PROC102|PROC120|PROC123|PROC125|PROC130|PROC133|PROC134|PROC136|PROC144|PROC145|PROC150|PROC151|PROC166|PROC168	YES	YES	umsetzen	PRODUCTIVE_STEM
CHK	wärmen	4	7	PROC046|PROC083|PROC107|PROC132	YES	YES	wärmen	PRODUCTIVE_STEM
CKH	Durchlass	7	10	PROC057|PROC073|PROC075|PROC101|PROC110|PROC161|PROC163	YES	YES	Durchlass	PRODUCTIVE_STEM
CTH	bereit	8	15	PROC002|PROC014|PROC017|PROC018|PROC106|PROC117|PROC136|PROC143	YES	YES	bereit	PRODUCTIVE_STEM
DY	Schluss	34	84	PROC032|PROC041|PROC047|PROC057|PROC067|PROC076|PROC077|PROC078|PROC079|PROC082|PROC086|PROC091|PROC094|PROC098|PROC100|PROC108|PROC111|PROC114|PROC119|PROC120|PROC125|PROC127|PROC128|PROC129|PROC130|PROC132|PROC135|PROC139|PROC141|PROC144|PROC145|PROC159|PROC162|PROC166	YES	YES	Schluss	PRODUCTIVE_STEM
E	kurz	29	43	PROC001|PROC010|PROC015|PROC059|PROC066|PROC067|PROC073|PROC083|PROC085|PROC086|PROC090|PROC093|PROC096|PROC106|PROC110|PROC111|PROC114|PROC117|PROC122|PROC126|PROC135|PROC136|PROC141|PROC143|PROC152|PROC159|PROC161|PROC164|PROC171	YES	YES	kurz	PRODUCTIVE_STEM
EE	länger	16	36	PROC046|PROC057|PROC074|PROC092|PROC098|PROC100|PROC107|PROC109|PROC118|PROC129|PROC132|PROC139|PROC146|PROC157|PROC158|PROC170	YES	YES	länger	PRODUCTIVE_STEM
EEE	vollständig	2	2	PROC119|PROC149	YES	YES	vollständig	PRODUCTIVE_STEM
HO	Gabe	5	8	PROC051|PROC052|PROC053|PROC056|PROC063	YES	YES	Gabe	PRODUCTIVE_STEM
IIN	Sollstufe	2	3	PROC024|PROC097	YES	YES	Sollstufe	PRODUCTIVE_STEM
K	zuführen	18	21	PROC023|PROC024|PROC035|PROC039|PROC040|PROC044|PROC054|PROC059|PROC062|PROC063|PROC066|PROC068|PROC069|PROC070|PROC077|PROC159|PROC165|PROC171	YES	YES	zuführen	PRODUCTIVE_STEM
L	führen	17	26	PROC072|PROC088|PROC095|PROC101|PROC102|PROC108|PROC116|PROC118|PROC120|PROC121|PROC123|PROC130|PROC140|PROC147|PROC159|PROC167|PROC173	YES	YES	führen	PRODUCTIVE_STEM
LDDY	befestigen; Schluss	1	1	PROC155	YES	NO	befestigen; Schluss	SINGLE_CARD_ATOM
LS	fortsetzen	1	1	PROC115	YES	NO	fortsetzen	SINGLE_CARD_ATOM
LSH	Waschgang	2	3	PROC084|PROC086	YES	YES	Waschgang	PRODUCTIVE_STEM
O	Arbeitsgang	16	17	PROC002|PROC018|PROC023|PROC025|PROC027|PROC032|PROC033|PROC041|PROC057|PROC064|PROC084|PROC097|PROC106|PROC130|PROC140|PROC161	YES	YES	Arbeitsgang	PRODUCTIVE_STEM
OK	ansetzen	22	79	PROC008|PROC011|PROC037|PROC038|PROC048|PROC060|PROC067|PROC074|PROC080|PROC082|PROC085|PROC091|PROC092|PROC100|PROC104|PROC113|PROC119|PROC138|PROC141|PROC155|PROC158|PROC160	YES	YES	ansetzen	PRODUCTIVE_STEM
OL	fortsetzen	25	49	PROC007|PROC012|PROC013|PROC018|PROC021|PROC022|PROC026|PROC034|PROC037|PROC047|PROC049|PROC054|PROC066|PROC070|PROC071|PROC079|PROC093|PROC096|PROC106|PROC114|PROC153|PROC154|PROC158|PROC160|PROC167	YES	YES	fortsetzen	PRODUCTIVE_STEM
OR	Ansatz	10	18	PROC002|PROC015|PROC016|PROC020|PROC022|PROC023|PROC050|PROC051|PROC148|PROC173	YES	YES	Ansatz	PRODUCTIVE_STEM
OS	Arbeitsfach	1	1	PROC005	YES	NO	Arbeitsfach	SINGLE_CARD_ATOM
OT	danach	16	26	PROC007|PROC012|PROC020|PROC021|PROC036|PROC064|PROC065|PROC089|PROC109|PROC112|PROC129|PROC131|PROC135|PROC145|PROC152|PROC166	YES	YES	danach	PRODUCTIVE_STEM
P	hinein	3	3	PROC030|PROC125|PROC134	YES	YES	hinein	PRODUCTIVE_STEM
R	abkühlen	6	6	PROC071|PROC081|PROC126|PROC128|PROC148|PROC172	YES	YES	abkühlen	PRODUCTIVE_STEM
SH	halten	18	18	PROC026|PROC027|PROC029|PROC033|PROC058|PROC073|PROC077|PROC096|PROC110|PROC111|PROC114|PROC122|PROC126|PROC136|PROC139|PROC141|PROC143|PROC157	YES	YES	halten	PRODUCTIVE_STEM
SHED	absetzen	3	15	PROC078|PROC128|PROC142	YES	YES	absetzen	PRODUCTIVE_STEM
SOLK	auffangen	5	7	PROC087|PROC098|PROC105|PROC164|PROC170	YES	YES	auffangen	PRODUCTIVE_STEM
T	eintragen	9	10	PROC004|PROC007|PROC010|PROC026|PROC032|PROC033|PROC049|PROC090|PROC149	YES	YES	eintragen	PRODUCTIVE_STEM
TALAM	verwahren	1	1	PROC043	YES	NO	verwahren	SINGLE_CARD_ATOM
Y	dies	58	120	PROC001|PROC004|PROC007|PROC008|PROC010|PROC011|PROC014|PROC015|PROC018|PROC019|PROC023|PROC029|PROC030|PROC033|PROC035|PROC036|PROC039|PROC040|PROC042|PROC044|PROC046|PROC049|PROC053|PROC056|PROC059|PROC060|PROC065|PROC075|PROC083|PROC085|PROC087|PROC090|PROC092|PROC095|PROC101|PROC104|PROC107|PROC109|PROC110|PROC116|PROC117|PROC118|PROC122|PROC133|PROC136|PROC137|PROC143|PROC149|PROC153|PROC154|PROC155|PROC157|PROC161|PROC162|PROC164|PROC170|PROC171|PROC172	YES	YES	dies	PRODUCTIVE_STEM
