card_no	component_parse	actual_reading_de	predicted_reading_from_other_cards_de	component_tests	components	components_predicted	composition_status	occurrences	event_ids	sections	primitive_program	workshop_use
PROC001	CH+E+Y	abziehen · kurz · dies	abziehen · kurz · dies	CH=PASS:abziehen|E=PASS:kurz|Y=PASS:dies	3	3	LEAVE_ONE_CARD_COMPOSITIONAL	1	E001	HERBAL	SOURCE_DRAW	BUILD_FROM_STEMS
PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	bereit · Arbeitsgang · Ansatz	CTH=PASS:bereit|O=PASS:Arbeitsgang|OR=PASS:Ansatz	3	3	LEAVE_ONE_CARD_COMPOSITIONAL	1	E002	HERBAL	ACTIVATE_CHARGE	BUILD_FROM_STEMS
PROC003	AR	von dort	von dort	AR=PASS:von dort	1	1	LEAVE_ONE_CARD_COMPOSITIONAL	5	E003|E031|E105|E199|E238	HERBAL|BIOLOGICAL	SOURCE_DRAW	BUILD_FROM_STEMS
PROC004	T+Y	eintragen · dies	eintragen · dies	T=PASS:eintragen|Y=PASS:dies	2	2	LEAVE_ONE_CARD_COMPOSITIONAL	2	E004|E311	HERBAL|BIOLOGICAL	ACTIVATE_CHARGE	BUILD_FROM_STEMS
PROC005	OS	Arbeitsfach	?	OS=NO_OTHER_INVARIANT	1	0	LEARNED_WHOLE_CARD	1	E005	HERBAL	TARGET_HANDOFF	RECALL_EXACT_CARD
PROC006	CH+AIR	abziehen · Lauf	abziehen · Lauf	CH=PASS:abziehen|AIR=PASS:Lauf	2	2	LEAVE_ONE_CARD_COMPOSITIONAL	1	E006	HERBAL	SOURCE_DRAW	BUILD_FROM_STEMS
PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	danach · dies · eintragen · abziehen · fortsetzen	OT=PASS:danach|Y=PASS:dies|T=PASS:eintragen|CH=PASS:abziehen|OL=PASS:fortsetzen	5	5	LEAVE_ONE_CARD_COMPOSITIONAL	1	E007	HERBAL	SOURCE_DRAW	BUILD_FROM_STEMS
PROC008	OK+Y	ansetzen · dies	ansetzen · dies	OK=PASS:ansetzen|Y=PASS:dies	2	2	LEAVE_ONE_CARD_COMPOSITIONAL	10	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323	HERBAL|BIOLOGICAL	CONTINUE_USE	BUILD_FROM_STEMS
PROC009	AIIN	Maß	Maß	AIIN=PASS:Maß	1	1	LEAVE_ONE_CARD_COMPOSITIONAL	20	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	HERBAL|BIOLOGICAL	METER_CHECK	BUILD_FROM_STEMS
PROC010	E+T+Y	kurz · eintragen · dies	kurz · eintragen · dies	E=PASS:kurz|T=PASS:eintragen|Y=PASS:dies	3	3	LEAVE_ONE_CARD_COMPOSITIONAL	1	E010	HERBAL	ACTIVATE_CHARGE	BUILD_FROM_STEMS
