unit	unit_class	corrected_minimal_value_German	decision	exact_cards	fixed_events	reason
ok	FORMAL_COMPOSITIONAL_AXIS	spezifizierten Arbeitsposten einsetzen/aktivieren	RETAIN_WORKING_AXIS	5	24	5 verschiedene Karten, 24 Ereignisse; Kompletierungen tragen systematisch verschiedene Relationen
or	PROVISIONAL_CONTENT_FAMILY	bereitetes Ergebnis oder Arbeitsmedium	RETAIN_PROVISIONAL_CORE	2	8	2 Karten, 8 Ereignisse; gemeinsame Ergebnislesung, aber aus kreativen Glossen abgeleitet
al	PROVISIONAL_RELATION_FAMILY	Ziel- oder Parallelstation	RETAIN_LOW_CONFIDENCE_AXIS	2	11	2 Karten, 11 Ereignisse; gemeinsame Richtung nur breit
e	PROVISIONAL_STATE_FAMILY	Vorgang bis zu einer Zustandsgrenze führen	RETAIN_LOW_CONFIDENCE_AXIS	2	14	2 Karten, 14 Ereignisse; Bereitschaft/Klarheit können auch aus Kontext und DY stammen
ot	FORMAL_RELATION_AXIS	markierten Bezug, Parameter oder Weg wählen	RETAIN_LOW_CONFIDENCE_AXIS	3	7	3 Karten, 7 Ereignisse; gemeinsamer Wert abstrakt
l	FORMAL_CONNECTION_AXIS	angeschlossene Station oder Fortsetzung	RETAIN_LOW_CONFIDENCE_AXIS	5	26	5 Karten, 26 Ereignisse; keine gemeinsame Gegenstandsbedeutung
aiin	RECURRENT_WHOLE_CARD	Maß-/Standardkarte	NOT_A_STEM_ONE_CARD_ONLY	1	20	20 Ereignisse, aber nur eine exakte Kartenart; Wiederholung belegt Kartenwert, kein Paradigma
chor	EXPLORATORY_LOCAL_FAMILY	möglicherweise Sammel-/Beschaffungszeit	DO_NOT_USE_AS_DEFAULT_STEM	2	3	2 Karten, 3 Ereignisse im selben Herbal-Deutungsraum
chey	EXPLORATORY_LOCAL_FAMILY	möglicherweise ausgewählten Materialteil wählen	DO_NOT_USE_AS_DEFAULT_STEM	2	3	2 Karten, 3 Ereignisse; gemeinsame Bedeutung stammt aus erzwungener Bildlesung
y	UNASSIGNED_HOST	UNBEKANNT	REJECT_V45_STEM_GLOSS	3	30	3 Karten: Stoffträger, Mischhandlung und Habitat; keine belastbare Schnittmenge
ch	UNASSIGNED_HOST	UNBEKANNT	REJECT_V45_STEM_GLOSS	2	2	nur 2 Ereignisse; Trennen/Abziehen wurde aus lokalen Übersetzungen zurückprojiziert
chy	UNASSIGNED_HOST	UNBEKANNT	REJECT_V45_STEM_GLOSS	2	2	nur 2 verschieden konstruierte Ereignisse; Wärme-/Anwendungswert zirkulär
che	UNASSIGNED_HOST	UNBEKANNT	REJECT_V45_STEM_GLOSS	2	6	2 Karten; gemeinsamer Flüssigkeitsschritt nicht unabhängig belegt
olk	UNASSIGNED_HOST	UNBEKANNT	REJECT_V45_STEM_GLOSS	2	3	Tuch und Becken sind keine ausreichend enge gemeinsame Bedeutung
ey	RECURRENT_WHOLE_CARD	lokale Sollzustandskarte	NOT_A_STEM_ONE_CARD_ONLY	1	4	4 Ereignisse, aber nur eine exakte Karte; sichtbares -ey ist nicht produktiv
oky	RECURRENT_WHOLE_CARD	lokale Verwendungskarte	NOT_A_STEM_ONE_CARD_ONLY	1	10	10 Ereignisse, eine Karte
lche	RECURRENT_WHOLE_CARD	lokale Ablaufkarte	NOT_A_STEM_ONE_CARD_ONLY	1	8	8 Ereignisse, eine Karte
oke	RECURRENT_WHOLE_CARD	lokale Spülkarte	NOT_A_STEM_ONE_CARD_ONLY	1	8	8 Ereignisse, eine Karte
cthy	RECURRENT_WHOLE_CARD	lokale Bereitschaftskarte	NOT_A_STEM_ONE_CARD_ONLY	1	7	7 Ereignisse, eine Karte
okeey	RECURRENT_WHOLE_CARD	lokale Temperierkarte	NOT_A_STEM_ONE_CARD_ONLY	1	7	7 Ereignisse, eine Karte
ckhy	RECURRENT_WHOLE_CARD	lokale Verbindungswegkarte	NOT_A_STEM_ONE_CARD_ONLY	1	4	4 Ereignisse, eine Karte
olor	RECURRENT_WHOLE_CARD	lokale Voransatz-Produktkarte	NOT_A_STEM_ONE_CARD_ONLY	1	2	2 Ereignisse, eine Karte
