joint_tuple_id	page_host	surface_examples	corrected_host_class	corrected_host_value_German	host_decision	host_reason	formal_additions	retained_local_creative_expansion_German	translation_status	events	pages
1645e612504fcef59ced	ok	okain|qokain	FORMAL_COMPOSITIONAL_AXIS	spezifizierten Arbeitsposten einsetzen/aktivieren	RETAIN_WORKING_AXIS	5 verschiedene Karten, 24 Ereignisse; Kompletierungen tragen systematisch verschiedene Relationen	AKTIVIERUNG(ok) + exakte Koordinate fa436db0093634469c20 + lizenzierte Eintrittsform	aktiviere die Zugabe eines vorgeschriebenen Anteils	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	7	f81v|f82r|f83r
308e8ea2d5d190c498e8	ok	okal|qokal	FORMAL_COMPOSITIONAL_AXIS	spezifizierten Arbeitsposten einsetzen/aktivieren	RETAIN_WORKING_AXIS	5 verschiedene Karten, 24 Ereignisse; Kompletierungen tragen systematisch verschiedene Relationen	AKTIVIERUNG(ok) + exakte Koordinate 9a86ad2c9bcdc4433a17 + lizenzierte Eintrittsform	aktiviere das Zusammenführen beider bezeichneten Anteile	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	6	f55v|f81v|f82r|f83r
3ae9a121ba0045b913e8	ok	qokar	FORMAL_COMPOSITIONAL_AXIS	spezifizierten Arbeitsposten einsetzen/aktivieren	RETAIN_WORKING_AXIS	5 verschiedene Karten, 24 Ereignisse; Kompletierungen tragen systematisch verschiedene Relationen	AKTIVIERUNG(ok) + exakte Koordinate dda0ce94b28cdae70cfa + lizenzierte Eintrittsform	aktiviere den Arbeitsschritt an der bezeichneten Stelle	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	1	f82r
7d2404c835b10a2c06af	ok	okair	FORMAL_COMPOSITIONAL_AXIS	spezifizierten Arbeitsposten einsetzen/aktivieren	RETAIN_WORKING_AXIS	5 verschiedene Karten, 24 Ereignisse; Kompletierungen tragen systematisch verschiedene Relationen	AKTIVIERUNG(ok) + exakte Koordinate 5db18e798bfd04493555 + lizenzierte Eintrittsform	aktiviere als Nächstes den oberen Lauf	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	1	f83r
b5fcea1eaed06b2f2291	ok	okaiin|qokaiin	FORMAL_COMPOSITIONAL_AXIS	spezifizierten Arbeitsposten einsetzen/aktivieren	RETAIN_WORKING_AXIS	5 verschiedene Karten, 24 Ereignisse; Kompletierungen tragen systematisch verschiedene Relationen	AKTIVIERUNG(ok) + exakte Koordinate 62c544e4108c60c3227b + lizenzierte Eintrittsform	aktiviere den nächsten quantifizierten Arbeitsposten	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	9	f55v|f81v|f82r|f83r
65f320e75510b2f38182	chey	dchey	EXPLORATORY_LOCAL_FAMILY	möglicherweise ausgewählten Materialteil wählen	DO_NOT_USE_AS_DEFAULT_STEM	2 Karten, 3 Ereignisse; gemeinsame Bedeutung stammt aus erzwungener Bildlesung	AUSWAHL(chey) + exakte Koordinate fb61c4e2699f5c505886 + lizenzierte Eintrittsform	wähle den faserigen unteren Wurzelteil aus	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	1	f10r
faf321940aed922846a9	chey	otchey	EXPLORATORY_LOCAL_FAMILY	möglicherweise ausgewählten Materialteil wählen	DO_NOT_USE_AS_DEFAULT_STEM	2 Karten, 3 Ereignisse; gemeinsame Bedeutung stammt aus erzwungener Bildlesung	AUSWAHL(chey) + exakte Koordinate f217eb91add9e43ad300 + lizenzierte Eintrittsform	wähle den bezeichneten Materialanteil aus	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	2	f56r|f83r
6afeb5c9ab9f6cbdea0d	or	orain	PROVISIONAL_CONTENT_FAMILY	bereitetes Ergebnis oder Arbeitsmedium	RETAIN_PROVISIONAL_CORE	2 Karten, 8 Ereignisse; gemeinsame Ergebnislesung, aber aus kreativen Glossen abgeleitet	BEREITETES_ERGEBNIS(or) + exakte Koordinate fa436db0093634469c20 + lizenzierte Eintrittsform	gebrauche das bereitete Ergebnis frisch	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	1	f55v
7a4bb8136330ee4e6e56	or	chor|or|shor|sor	PROVISIONAL_CONTENT_FAMILY	bereitetes Ergebnis oder Arbeitsmedium	RETAIN_PROVISIONAL_CORE	2 Karten, 8 Ereignisse; gemeinsame Ergebnislesung, aber aus kreativen Glossen abgeleitet	BEREITETES_ERGEBNIS(or) + exakte Koordinate fb61c4e2699f5c505886 + lizenzierte Eintrittsform	das bereitete verwendbare Ergebnis des aktiven Ansatzes	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	7	f10r|f55v|f83r
10488b911aae52b3b334	chor	otchor|qotchor	EXPLORATORY_LOCAL_FAMILY	möglicherweise Sammel-/Beschaffungszeit	DO_NOT_USE_AS_DEFAULT_STEM	2 Karten, 3 Ereignisse im selben Herbal-Deutungsraum	BESCHAFFUNGSZEIT(chor) + exakte Koordinate f217eb91add9e43ad300 + lizenzierte Eintrittsform	beschaffe den Bildbesitzer vor der Blüte	LOCAL_CREATIVE_EXPANSION_NOT_STEM_EVIDENCE	2	f10r|f56r
