family_order	family_id	visible_core_or_variants	short_value_de	family_tier	bio_card_types	bio_event_memberships	mode_charge	mode_treat	mode_settle	mode_pass_filter	mode_discharge	mode_measure	mode_local_control	dominant_mode	dominant_mode_share	operational_interpretation	teaching_rule_de
1	OK	OK	EINSETZEN	CORE_PRODUCTIVE_FAMILY	19	68	25	27	1	0	0	8	7	TREAT	0.397	MULTIMODE_OPERATION_ACTIVATOR	OK setzt einen Arbeitsgang in Kraft, bestimmt aber nicht allein Behandlung oder Beschickung.
2	OL	OL	WEITER_GLEICHER_LAUF	CORE_PRODUCTIVE_FAMILY	15	33	4	0	1	0	1	0	27	LOCAL_CONTROL	0.818	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY	Trägt Folge, Adresse, Lauf, Bereitschaft oder Sammelstelle statt einer einzigen Handlung.
3	OT	OT	FOLGEPOSTEN	CORE_PRODUCTIVE_FAMILY	10	18	3	0	0	0	0	5	10	LOCAL_CONTROL	0.556	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY	Trägt Folge, Adresse, Lauf, Bereitschaft oder Sammelstelle statt einer einzigen Handlung.
4	AR	AR	VON_QUELLE	CORE_PRODUCTIVE_FAMILY	8	10	1	0	0	0	2	0	7	LOCAL_CONTROL	0.700	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY	Trägt Folge, Adresse, Lauf, Bereitschaft oder Sammelstelle statt einer einzigen Handlung.
5	AL	AL	ZU_ZIEL	CORE_PRODUCTIVE_FAMILY	19	34	8	0	2	2	1	0	21	LOCAL_CONTROL	0.618	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY	Trägt Folge, Adresse, Lauf, Bereitschaft oder Sammelstelle statt einer einzigen Handlung.
6	L	L	AB	CORE_PRODUCTIVE_FAMILY	15	23	0	0	0	0	22	0	1	DISCHARGE	0.957	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
7	P	P	ZU	SPECIALIST_PRODUCTIVE_FAMILY	2	2	2	0	0	0	0	0	0	CHARGE	1.000	NARROW_LOW_COUNT_SPECIALIST	Operativ konkret, aber auf den Bio-Seiten nur ein- oder zweimal belegt.
8	AIN	AIN	PORTION	CORE_PRODUCTIVE_FAMILY	4	13	13	0	0	0	0	0	0	CHARGE	1.000	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
9	AIIN	AIIN	SOLLWERT	CORE_PRODUCTIVE_FAMILY	6	25	0	0	1	0	0	22	2	MEASURE	0.880	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
10	IIN	IIN	STUFE	SPECIALIST_PRODUCTIVE_FAMILY	2	3	0	0	0	0	0	3	0	MEASURE	1.000	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
11	E_GRADE	E|EE|EEE	GRAD	CORE_PRODUCTIVE_FAMILY	30	72	0	33	16	2	0	2	19	TREAT	0.458	GRADE_REFERENT_ENDPOINT_FRAME	Grad, laufender Posten oder lizenzierter Schluss rahmen mehrere Betriebsarten.
12	Y	Y	DIES_AKTUELLER_POSTEN	CORE_PRODUCTIVE_FAMILY	29	69	19	14	0	5	2	0	29	LOCAL_CONTROL	0.420	GRADE_REFERENT_ENDPOINT_FRAME	Grad, laufender Posten oder lizenzierter Schluss rahmen mehrere Betriebsarten.
13	DY	DY	FESTSETZEN	CORE_PRODUCTIVE_FAMILY	23	60	10	19	15	2	3	2	9	TREAT	0.317	GRADE_REFERENT_ENDPOINT_FRAME	Grad, laufender Posten oder lizenzierter Schluss rahmen mehrere Betriebsarten.
