card_no	surfaces	component_parse	composition_status	surface_form_must_be_recognized	independent_semantic_whole_to_memorize	semantic_learning_rule	specialist_value_de	generated_or_recalled_value_de	occurrences
PROC001	dchey	CH+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz abziehen	1
PROC002	cthoor	CTH+O+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	bereit · Arbeitsgang · Ansatz	1
PROC003	char|dar|sar	AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	von dort	5
PROC004	chety|chty	T+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den aktuellen Posten eintragen	2
PROC005	os	OS	LEARNED_WHOLE_CARD	YES	YES	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	Arbeitsfach	Arbeitsfach	1
PROC006	chair	CH+AIR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten durch laufender Bestand abziehen	1
PROC007	otytchol	OT+Y+T+CH+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach fortsetzen diesen Posten eintragen und abziehen	1
PROC008	choky|oky|qoky	OK+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den aktuellen Posten in Einsatz bringen	10
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	vorgeschriebenes Maß	20
PROC010	etyd	E+T+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz eintragen	1
PROC011	chokchy|okchy|qokchy	OK+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den aktuellen Posten in Einsatz bringen	3
PROC012	qotchol	OT+CH+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach fortsetzen den laufenden Posten abziehen	1
PROC013	cheol|chol|ol|qol|sol|tol	OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen	19
PROC014	checthy|cthy|shcthy	CTH+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	bereit · dieser Posten	7
PROC015	ycheor	Y+CH+E+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz abziehen	1
PROC016	chor|or|shor|sor	OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Ansatz	7
PROC017	cthaiin	CTH+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	bereit · vorgeschriebenes Maß	1
PROC018	qoctholy	O+CTH+OL+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Arbeitsgang · bereit · fortsetzen · dieser Posten	1
PROC019	chey|chy|dy|shy|sy|y	Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	dieser Posten	18
PROC020	otchor|qotchor	OT+CH+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach den Ansatz abziehen	2
PROC021	otol	OT+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · fortsetzen	1
PROC022	cholor|olor	OL+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen · Ansatz	2
PROC023	oykchor	O+Y+K+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten zuführen	1
PROC024	kaiiin	K+IIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten zuführen bis Sollstufe	1
PROC025	chodaiin	CH+O+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang nach vorgeschriebenes Maß abziehen	1
PROC026	tshol	T+SH+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten eintragen und halten	1
PROC027	schoal	SH+O+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang an bezeichnete Stelle halten	1
PROC028	cfhy	CFH+Y	PARTIAL_WITH_LEARNED_ATOM	YES	YES	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	diesen Posten auswringen	diesen Posten auswringen	1
PROC029	shfydaiin	SH+Y+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten nach vorgeschriebenes Maß halten	1
PROC030	cphy	P+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten hineingeben	1
PROC031	cheey|shey	SH+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten länger halten	4
PROC032	tchody	T+CH+O+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang eintragen und abziehen; Schritt schließen	1
PROC033	shoyty	SH+O+Y+T+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten halten und eintragen	1
PROC034	dchol|schol	OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen	2
PROC035	kchy	K+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten zuführen	1
PROC036	qotchy	OT+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · dieser Posten	1
PROC037	okchol	OK+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten ansetzen	1
PROC038	okaiin|qokaiin	OK+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	nach vorgeschriebenem Maß in Einsatz bringen	9
PROC039	ykain	Y+K+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten nach Portion zuführen	1
PROC040	ykan	Y+K+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten nach Portion zuführen	1
PROC041	ody	O+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Arbeitsgang; Schritt schließen	1
PROC042	chdy|chedy	CHD+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den aktuellen Posten umsetzen	11
PROC043	talam	TALAM	LEARNED_WHOLE_CARD	YES	YES	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	den laufenden Posten verwahren	den laufenden Posten verwahren	1
PROC044	ykaiin	Y+K+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten nach vorgeschriebenes Maß zuführen	1
