event_id	page	record	statement_id	observed_surface	card_no	component_parse	semantic_source	semantic_value_de	local_action_de	card_roundtrip	surface_roundtrip	complete
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	diesen Posten kurz abziehen	abnehmen	YES	YES	YES
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	GENERATE_FROM_COMPONENTS_AND_FRAME	bereit · Arbeitsgang · Ansatz	NON_ACTION_CONTRIBUTION	YES	YES	YES
E003	f10r	H1	H1-S001	char	PROC003	AR	GENERATE_FROM_COMPONENTS_AND_FRAME	von dort	NON_ACTION_CONTRIBUTION	YES	YES	YES
E004	f10r	H1	H1-S001	chty	PROC004	T+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	den aktuellen Posten eintragen	übertragen	YES	YES	YES
E005	f10r	H1	H1-S001	os	PROC005	OS	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	Arbeitsfach	NON_ACTION_CONTRIBUTION	YES	YES	YES
E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	GENERATE_FROM_COMPONENTS_AND_FRAME	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	YES	YES	YES
E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	GENERATE_FROM_COMPONENTS_AND_FRAME	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	YES	YES	YES
E008	f10r	H1	H1-S001	oky	PROC008	OK+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	den aktuellen Posten in Einsatz bringen	einsetzen	YES	YES	YES
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	GENERATE_FROM_COMPONENTS_AND_FRAME	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	YES	YES	YES
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	diesen Posten kurz eintragen	eintragen	YES	YES	YES
E011	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	den aktuellen Posten in Einsatz bringen	einsetzen	YES	YES	YES
E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	GENERATE_FROM_COMPONENTS_AND_FRAME	danach fortsetzen den laufenden Posten abziehen	abnehmen	YES	YES	YES
E013	f10r	H1	H1-S002	chol	PROC013	OL	GENERATE_FROM_COMPONENTS_AND_FRAME	fortsetzen	NON_ACTION_CONTRIBUTION	YES	YES	YES
E014	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	bereit · dieser Posten	NON_ACTION_CONTRIBUTION	YES	YES	YES
E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	GENERATE_FROM_COMPONENTS_AND_FRAME	diesen Posten kurz abziehen	abziehen	YES	YES	YES
E016	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	bereit · dieser Posten	NON_ACTION_CONTRIBUTION	YES	YES	YES
E017	f10r	H2	H2-S001	chor	PROC016	OR	GENERATE_FROM_COMPONENTS_AND_FRAME	Ansatz	NON_ACTION_CONTRIBUTION	YES	YES	YES
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	GENERATE_FROM_COMPONENTS_AND_FRAME	bereit · vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	YES	YES	YES
E019	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	GENERATE_FROM_COMPONENTS_AND_FRAME	Arbeitsgang · bereit · fortsetzen · dieser Posten	NON_ACTION_CONTRIBUTION	YES	YES	YES
E020	f10r	H2	H2-S001	dy	PROC019	Y	GENERATE_FROM_COMPONENTS_AND_FRAME	dieser Posten	NON_ACTION_CONTRIBUTION	YES	YES	YES
E021	f10r	H2	H2-S001	chy	PROC019	Y	GENERATE_FROM_COMPONENTS_AND_FRAME	dieser Posten	NON_ACTION_CONTRIBUTION	YES	YES	YES
E022	f10r	H2	H2-S001	taiin	PROC009	AIIN	GENERATE_FROM_COMPONENTS_AND_FRAME	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	YES	YES	YES
E023	f10r	H2	H2-S001	shy	PROC019	Y	GENERATE_FROM_COMPONENTS_AND_FRAME	dieser Posten	NON_ACTION_CONTRIBUTION	YES	YES	YES
E024	f10r	H2	H2-S002	qotchor	PROC020	OT+CH+OR	GENERATE_FROM_COMPONENTS_AND_FRAME	danach den Ansatz abziehen	abziehen	YES	YES	YES
E025	f10r	H2	H2-S002	chor	PROC016	OR	GENERATE_FROM_COMPONENTS_AND_FRAME	Ansatz	NON_ACTION_CONTRIBUTION	YES	YES	YES
E026	f10r	H2	H2-S002	otol	PROC021	OT+OL	GENERATE_FROM_COMPONENTS_AND_FRAME	danach · fortsetzen	NON_ACTION_CONTRIBUTION	YES	YES	YES
E027	f10r	H2	H2-S002	chol	PROC013	OL	GENERATE_FROM_COMPONENTS_AND_FRAME	fortsetzen	NON_ACTION_CONTRIBUTION	YES	YES	YES
E028	f10r	H2	H2-S002	cholor	PROC022	OL+OR	GENERATE_FROM_COMPONENTS_AND_FRAME	fortsetzen · Ansatz	NON_ACTION_CONTRIBUTION	YES	YES	YES
E029	f10r	H2	H2-S002	chol	PROC013	OL	GENERATE_FROM_COMPONENTS_AND_FRAME	fortsetzen	NON_ACTION_CONTRIBUTION	YES	YES	YES
E030	f10r	H2	H2-S002	daiin	PROC009	AIIN	GENERATE_FROM_COMPONENTS_AND_FRAME	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	YES	YES	YES
