macro_id	intention_de	component_recipe	internal_surface	post_close_entry_surface	q_entry_alternation	all_observed_surfaces	observed_events	decode_de
M01	länger ansetzen; fertig	OK+EE+DY	okeedy	qokeedy	YES	qokeedy:38,okeedy:7	45	länger ansetzen; fertig
M02	kurz ansetzen; fertig	OK+E+DY	okedy	qokedy	YES	qokedy:38,okedy:7	45	kurz ansetzen; fertig
M03	dies länger ansetzen	OK+EE+Y	okeey	qokeey	YES	qokeey:20,okeey:8,chokeey:2	30	dies länger ansetzen
M04	dies kurz ansetzen	OK+E+Y	okey	qokey	YES	qokey:9,okey:6	15	dies kurz ansetzen
M05	länger halten; fertig	SH+EE+DY	sheedy	sheedy	NO	sheedy:7	7	länger halten; fertig
M06	kurz halten; fertig	SH+E+DY	dshedy	dshedy	NO	dshedy:6	6	kurz halten; fertig
M07	dies länger halten	SH+EE+Y	cheey	cheey	NO	cheey:15,sheey:6	21	dies länger halten
M08	dies kurz halten	SH+E+Y	shey	shey	NO	shey:25,tshey:1	26	dies kurz halten
M09	danach länger; fertig	OT+EE+DY	oteedy	qoteedy	YES	qoteedy:8,oteedy:3	11	danach länger; fertig
M10	danach kurz; fertig	OT+E+DY	otedy	qotedy	YES	otedy:8,qotedy:5	13	danach kurz; fertig
M11	ruhen lassen; fertig	SHED+DY	shedy	shedy	NO	shedy:46	46	ruhen lassen; fertig
M12	abführen und umsetzen; fertig	L+CHD+DY	lchedy	lchedy	NO	lchedy:20	20	abführen und umsetzen; fertig
M13	weiter umsetzen; fertig	OL+CHD+DY	olchedy	qolchedy	YES	olchedy:5,qolchedy:2	7	weiter umsetzen; fertig
M14	ansetzen und umsetzen; fertig	OK+CHD+DY	okchdy	qokchdy	YES	qokchdy:5,okchdy:2,okchedy:1	8	ansetzen und umsetzen; fertig
M15	einsetzen und umsetzen; fertig	P+CHD+DY	pchedy	pchedy	NO	pchedy:5	5	einsetzen und umsetzen; fertig
M16	kurz spülen; fertig	LSH+E+DY	lshedy	lshedy	NO	lshedy:6	6	kurz spülen; fertig
M17	dies umsetzen	CHD+Y	chedy	chedy	NO	chedy:43,chdy:8,chedchy:1	52	dies umsetzen
M18	dies durch den Durchlass	CKH+Y	chckhy	qckhsy	YES	chckhy:10,ckhy:2,qckhsy:1	13	dies durch den Durchlass
M19	den Auszug weiterleiten	CHEO+L	cheol	cheol	NO	cheol:13	13	den Auszug weiterleiten
M20	aus diesem Teil entnehmen	D_ADDR+AR	dar	dar	NO	dar:21	21	aus diesem Teil entnehmen
M21	nach Sollmaß ansetzen	OK+AIIN	okaiin	qokaiin	YES	qokaiin:18,okaiin:8	26	nach Sollmaß ansetzen
M22	eine Portion ansetzen	OK+AIN	okain	qokain	YES	qokain:30,okain:6,chokain:1	37	eine Portion ansetzen
M23	an der Zielstelle ansetzen	OK+AL	okal	qokal	YES	qokal:16,okal:9,chokal:1	26	an der Zielstelle ansetzen
M24	von der Entnahmestelle ansetzen	OK+AR	okar	qokar	YES	okar:13,qokar:8	21	von der Entnahmestelle ansetzen
M25	fortsetzen; fertig	OL+DY	oldy	qoldy	YES	oldy:12,qoldy:2	14	fortsetzen; fertig
M26	mit diesem fortsetzen	OL+Y	oly	qoly	YES	oly:6,olchey:3,choly:2,qoly:2,qolchey:1	14	mit diesem fortsetzen
M27	danach diesen Posten	OT+Y	oty	qoty	YES	qoty:10,oty:6,qotchy:5,otchey:3	24	danach diesen Posten
M28	das Sollmaß prüfen	S+AIIN	saiin	saiin	NO	saiin:9,saii:1	10	das Sollmaß prüfen
M29	die Portion prüfen	S+AIN	sain	sain	NO	sain:9	9	die Portion prüfen
M30	die Entnahmestelle prüfen	S+AR	sar	sar	NO	sar:11	11	die Entnahmestelle prüfen
M31	vom Ansatz entnehmen	CH+OR	chor	chor	NO	chor:9	9	vom Ansatz entnehmen
M32	die Bereitschaft dieses Postens prüfen	CTH+Y	cthy	cthy	NO	cthy:7,checthy:3	10	die Bereitschaft dieses Postens prüfen
M33	dies kurz behandeln	CHK+E+Y	cheky	cheky	NO	cheky:6,chekey:1	7	dies kurz behandeln
M34	dies länger behandeln	CHK+EE+Y	cheeky	cheeky	NO	cheeky:4,chkeey:1	5	dies länger behandeln
M35	dies länger an der Sammelstelle halten	SOLK+EE+Y	olkeey	olkeey	NO	olkeey:3,solkeey:2	5	dies länger an der Sammelstelle halten
M36	den Gang beginnen und fortsetzen	OK+OL	okol	qokol	YES	qokol:6,okol:4,qokchol:1,okchol:1,chokchol:1,chokol:1	14	den Gang beginnen und fortsetzen
M37	danach mit dem Ansatz	OT+OR	otor	qotor	YES	otor:7,qotor:3	10	danach mit dem Ansatz
M38	in diesem Teil fortsetzen	D_ADDR+OL	dol	dol	NO	dol:4,dchol:2	6	in diesem Teil fortsetzen
M39	dies in den Arbeitsgang einsetzen	O+P+Y	opchy	qopchy	YES	qopchy:3,opchy:1,opchey:1	5	dies in den Arbeitsgang einsetzen
M40	nach Sollmaß zuordnen	K+AIIN	kaiin	kaiin	NO	kaiin:2	2	nach Sollmaß zuordnen
M41	eine Portion zuordnen	K+AIN	kain	kain	NO	kain:4	4	eine Portion zuordnen
M42	der Zielstelle zuordnen	K+AL	kal	kal	NO	kal:2	2	der Zielstelle zuordnen
M43	den Ansatz halten	SH+OR	shor	shor	NO	shor:4	4	den Ansatz halten
M44	mit dem Ansatz fortsetzen	OL+OR	olor	olor	NO	olor:4,cholor:1	5	mit dem Ansatz fortsetzen
