read_order	surface_seen	owner_seen	microcycle_seen	reconstructed_joint_tuple_id	reconstructed_board_call	expected_board_call	identity_match	call_match	hidden_backread_de
1	sho	H4	C1	2cc054357a929df85f64	H4:C1:01@2cc05435	H4:C1:01@2cc05435	YES	YES	Zutat
2	or	H4	C1	7a4bb8136330ee4e6e56	H4:C1:02@7a4bb813	H4:C1:02@7a4bb813	YES	YES	Ansatz
3	cheoar	H4	C1	807591efc3d3f7ddbfab	H4:C1:03@807591ef	H4:C1:03@807591ef	YES	YES	Auszugnahme
4	cheky	H4	C1	d904bf7b044dd3922781	H4:C1:04@d904bf7b	H4:C1:04@d904bf7b	YES	YES	Kurzwärme
5	lcheey	H4	C2	5fca8fc3dee57e1d8c1f	H4:C2:05@5fca8fc3	H4:C2:05@5fca8fc3	YES	YES	Klarabzug
6	cphy	H4	C2	deb377381ceaf55ea310	H4:C2:06@deb37738	H4:C2:06@deb37738	YES	YES	Nachseihen
7	checthy	H4	C2	e0b630cb1b5df5e7105b	H4:C2:07@e0b630cb	H4:C2:07@e0b630cb	YES	YES	Bereit
8	dy	B3	C3	b921a237be883a820352	B3:C3:08@b921a237	B3:C3:08@b921a237	YES	YES	Diesposten
9	daiin	B3	C3	2f1c5e56e8f0ff459065	B3:C3:09@2f1c5e56	B3:C3:09@2f1c5e56	YES	YES	Sollmaß
10	shckhy	B3	C3	2cc8bb3c2af19607888f	B3:C3:10@2cc8bb3c	B3:C3:10@2cc8bb3c	YES	YES	durchleiten
11	qoky	B3	C3	276a7c2d74d1143446f4	B3:C3:11@276a7c2d	B3:C3:11@276a7c2d	YES	YES	Einsetzen
12	qokeey	B3	C4	0275fbf14e07935b0a45	B3:C4:12@0275fbf1	B3:C4:12@0275fbf1	YES	YES	Langkontakt
13	qokedy	B3	C4	7db18b2f0fb7ed0fcfd3	B3:C4:13@7db18b2f	B3:C4:13@7db18b2f	YES	YES	Kurzkontakt
14	talam	B3	C4	e026af581c99322fbd46	B3:C4:14@e026af58	B3:C4:14@e026af58	YES	YES	Verwahren
