primitive	role_code	role
C	L	literal_carrier
E	U	suffix_operator
F	P	prefix_operator
I	Y	syllabic_carrier
K	Y	syllabic_carrier
N	Y	syllabic_carrier
P	L	literal_carrier
S	L	literal_carrier
T	Y	syllabic_carrier
a	C	connector
b	P	prefix_operator
c	L	literal_carrier
d	U	suffix_operator
e	X	context_abbreviation_mark
f	L	literal_carrier
g	L	literal_carrier
h	L	literal_carrier
i	L	literal_carrier
j	L	literal_carrier
k	L	literal_carrier
l	X	context_abbreviation_mark
m	L	literal_carrier
n	L	literal_carrier
o	C	connector
p	U	suffix_operator
q	L	literal_carrier
r	L	literal_carrier
s	P	prefix_operator
t	L	literal_carrier
u	W	wholeform_logogram
v	L	literal_carrier
x	L	literal_carrier
y	N	null_layout
z	L	literal_carrier
