statement_id	page	record	ar_count	ckh_count	al_count	address_pattern	component_sequence	working_reading_de
H5-S002	f56r	H5	0	1	0	PATH	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.
B1-S002	f81v	B1	1	2	4	SOURCE+PATH+TARGET	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S006	f81v	B1	0	1	1	PATH+TARGET	OK+AIN | CKH+Y | L | R+AL	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.
B1-S011	f81v	B1	0	1	0	PATH	CKH+Y | OK+Y	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.
B1-S020	f81v	B1	0	1	0	PATH	CHK+E+Y | SH+CKH+E+DY	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.
B2-S004	f82r	B2	0	2	1	PATH+TARGET	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.
B2-S005	f82r	B2	0	1	1	PATH+TARGET	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
B2-S006	f82r	B2	0	1	1	PATH+TARGET	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
B4-S006	f83r	B4	0	1	0	PATH	SH+CKH+E+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S007	f83r	B4	0	1	0	PATH	SH+CKH+E+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S014	f83r	B4	0	1	0	PATH	OR | Y | O+CKH+E+Y | AIR+Y+DY	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.
B4-S015	f83r	B4	0	1	1	PATH+TARGET	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.
