event_id	page	record	statement_id	surface	component_recipe	reading_de	has_ar_source	has_al_target	path_role
E086	f56r	H5	H5-S002	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E115	f81v	B1	B1-S002	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	NO	YES	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E119	f81v	B1	B1-S002	chckhy	CKH+Y	DURCHLASS · POSTEN	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E128	f81v	B1	B1-S006	shckhy	CKH+Y	DURCHLASS · POSTEN	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E139	f81v	B1	B1-S011	chckhy	CKH+Y	DURCHLASS · POSTEN	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E165	f81v	B1	B1-S020	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E173	f82r	B2	B2-S004	lcheckhy	L+CKH+Y	LEITEN · DURCHLASS · POSTEN	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E176	f82r	B2	B2-S004	lcheckhedy	L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLUSS	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E179	f82r	B2	B2-S005	chckhy	CKH+Y	DURCHLASS · POSTEN	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E187	f82r	B2	B2-S006	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · POSTEN	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E330	f83r	B4	B4-S006	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E331	f83r	B4	B4-S007	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E350	f83r	B4	B4-S014	qockhey	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · POSTEN	NO	NO	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
E355	f83r	B4	B4-S015	chckhal	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	NO	YES	PASSAGE_OBJECT_BETWEEN_SOURCE_AND_TARGET
