page	locus	token_ordinal	surface	v62_source_gloss_de	v67_token_gloss_de	expected_verb_occurrences	expected_lemma_sequence	v67_observed_verb_occurrences	v67_observed_lemma_sequence	verb_multiset_exact	verb_sequence_exact	live_action_source
f104v	f104v.2	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f104v	f104v.2	2	qoteed	Ansatz vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	2	abkühlen|abziehen	2	abkühlen|abziehen	1	1	GDT689_V62_ACTION_ORDINAL
f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	2	nehmen|erhitzen	2	nehmen|erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f105r	f105r.2	6	qodor	eine Portion Ansatz abmessen	eine Portion des Ansatzes abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f105r	f105r.2	11	odar	erste Ansatzfraktion abmessen	Anteil I des Ansatzes abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	2	abfüllen|abschließen	2	abfüllen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f105v	f105v.1	4	ykaiin	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	1	erhitzen	1	erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f105v	f105v.1	8	ypcheddy	hieraus Pulver bis zur Mittelstufe trocknen	hieraus Pulver bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f105v	f105v.14	3	qokaiir	nimm die dritte erhitzte Drogenfraktion	nimm den heißen Drogenanteil III	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f105v	f105v.14	8	odar	erste Ansatzfraktion abmessen	Anteil I des Ansatzes abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f105v	f105v.14	10	chtchy	Droge kalt trocknen und leicht nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	2	trocknen|nachtrocknen	2	trocknen|nachtrocknen	1	1	GDT689_V62_ACTION_ORDINAL
f106r	f106r.23	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	das Arzneikompositum bis zur Mittelstufe aufbereiten	1	aufbereiten	1	aufbereiten	1	1	GDT689_V62_ACTION_ORDINAL
f107r	f107r.2	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f107r	f107r.2	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f107r	f107r.2	6	qor	nimm eine Drogenportion	nimm eine Drogenportion	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f107r	f107r.2	12	qeeey	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	2	führen|abschließen	2	führen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f10r	f10r.2	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f113v	f113v.17	7	yteeeor	hiervon eine Portion bis zur letzten Stufe abkühlen	hiervon eine Portion bis zur letzten Stufe abkühlen	1	abkühlen	1	abkühlen	1	1	GDT689_V62_ACTION_ORDINAL
f114r	f114r.26	1	ycheeodaiin	hiervon drei Dosen des zweiten Trockenansatzes abmessen	hiervon drei Dosen des zweiten Trockenansatzes abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f114v	f114v.36	6	qopchol	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f114v	f114v.36	7	qopaiin	drei Teile Pulveransatz nehmen	drei Teile Pulverzubereitung nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f115r	f115r.1	1	fdar	erste Blütenfraktion abmessen	Blütenanteil I abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f115r	f115r.1	2	qopchol	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f115r	f115r.1	3	qochedain	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f115r	f115r.23	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f115r	f115r.23	3	qokeod	heißen Auszug bereiten und abschließen	heißen Auszug bereiten und abschließen	2	bereiten|abschließen	2	bereiten|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f115r	f115r.23	5	qokcho	erhitze, trockne und setze an	erhitze, trockne und setze an	3	erhitzen|trocknen|ansetzen	3	erhitzen|trocknen|ansetzen	1	1	GDT689_V62_ACTION_ORDINAL
f116r	f116r.12	1	qoin	zweiten Ansatz nehmen	zweiten Ansatz nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f23r	f23r.6	5	yky	hierzu leicht erhitzen	hierzu leicht erhitzen	1	erhitzen	1	erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f23r	f23r.6	11	ytcho	hieraus einen Kalt-Trockenansatz herstellen	hieraus eine kalte Trockenmischung herstellen	1	herstellen	1	herstellen	1	1	GDT689_V62_ACTION_ORDINAL
