length	primitive_sequence	occurrences	macro_count	macros	gross_recipe_saving	definition_cost	selector_paid_gain	selected_subroutine
2	ACTIVATE_CHARGE>ACTIVATE_CHARGE	2	2	W:B1-S002|W:H5-S001	2	2	0	NO
2	ACTIVATE_CHARGE>CONTINUE_USE	2	2	W:B1-S002|W:H5-S001	2	2	0	NO
2	ACTIVATE_CHARGE>TARGET_HANDOFF	3	3	W:B1-S002|W:H1-S001|W:H5-S001	3	2	1	NO
2	CONTINUE_USE>METER_CHECK	3	3	W:B3-S021|W:H1-S001|W:H2-S001	3	2	1	SUB03
2	CONTINUE_USE>TARGET_HANDOFF	2	2	W:B3-S021|W:H5-S001	2	2	0	NO
2	METER_CHECK>ACTIVATE_CHARGE	2	2	W:H1-S001|W:H5-S001	2	2	0	NO
2	METER_CHECK>HOLD_STATE	3	2	W:B1-S002|W:B3-S021	3	2	1	NO
2	MOVE_PASS>ACTIVATE_CHARGE	2	2	W:B1-S002|W:H5-S001	2	2	0	NO
2	SOURCE_DRAW>CONTINUE_USE	2	2	W:B1-S002|W:H1-S001	2	2	0	NO
2	TARGET_HANDOFF>CONTINUE_USE	2	2	W:B1-S002|W:B3-S021	2	2	0	NO
2	TARGET_HANDOFF>SOURCE_DRAW	2	2	W:B1-S002|W:H1-S001	2	2	0	NO
3	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF	2	2	W:B1-S002|W:H5-S001	4	3	1	SUB01
3	MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE	2	2	W:B1-S002|W:H5-S001	4	3	1	SUB02
