world	locus	edition	source_group_ids_json	source_groups_json	separators_json	literal_json	confidence
ASCENT	f75r.15	ZL3b	"[""ZL3b|f75r.15|G001"", ""ZL3b|f75r.15|G002"", ""ZL3b|f75r.15|G003"", ""ZL3b|f75r.15|G004"", ""ZL3b|f75r.15|G005"", ""ZL3b|f75r.15|G006"", ""ZL3b|f75r.15|G007"", ""ZL3b|f75r.15|G008"", ""ZL3b|f75r.15|G009"", ""ZL3b|f75r.15|G010""]"	"[""sain"", ""qokain"", ""qolkeeoly"", ""saiin"", ""chedy"", ""sol"", ""or"", ""shedy"", ""okchdy"", ""qoky""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sain]"", ""Wasser?"", ""[qolkeeoly]"", ""[saiin]"", ""wird?"", ""[sol]"", ""[or]"", ""[shedy]"", ""[okchdy]"", ""[qoky]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
LIGHTNESS	f75r.15	ZL3b	"[""ZL3b|f75r.15|G001"", ""ZL3b|f75r.15|G002"", ""ZL3b|f75r.15|G003"", ""ZL3b|f75r.15|G004"", ""ZL3b|f75r.15|G005"", ""ZL3b|f75r.15|G006"", ""ZL3b|f75r.15|G007"", ""ZL3b|f75r.15|G008"", ""ZL3b|f75r.15|G009"", ""ZL3b|f75r.15|G010""]"	"[""sain"", ""qokain"", ""qolkeeoly"", ""saiin"", ""chedy"", ""sol"", ""or"", ""shedy"", ""okchdy"", ""qoky""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sain]"", ""Wasser?"", ""[qolkeeoly]"", ""[saiin]"", ""wird?"", ""[sol]"", ""[or]"", ""[shedy]"", ""[okchdy]"", ""[qoky]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
ASCENT	f75r.15	IT2a	"[""IT2a|f75r.15|G001"", ""IT2a|f75r.15|G002"", ""IT2a|f75r.15|G003"", ""IT2a|f75r.15|G004"", ""IT2a|f75r.15|G005"", ""IT2a|f75r.15|G006"", ""IT2a|f75r.15|G007"", ""IT2a|f75r.15|G008"", ""IT2a|f75r.15|G009"", ""IT2a|f75r.15|G010"", ""IT2a|f75r.15|G011""]"	"[""sain"", ""qokain"", ""qol"", ""keeoly"", ""saiin"", ""chedy"", ""sol"", ""or"", ""shedy"", ""okchdy"", ""qoky""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sain]"", ""Wasser?"", ""daraus?"", ""[keeoly]"", ""[saiin]"", ""wird?"", ""[sol]"", ""[or]"", ""[shedy]"", ""[okchdy]"", ""[qoky]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
LIGHTNESS	f75r.15	IT2a	"[""IT2a|f75r.15|G001"", ""IT2a|f75r.15|G002"", ""IT2a|f75r.15|G003"", ""IT2a|f75r.15|G004"", ""IT2a|f75r.15|G005"", ""IT2a|f75r.15|G006"", ""IT2a|f75r.15|G007"", ""IT2a|f75r.15|G008"", ""IT2a|f75r.15|G009"", ""IT2a|f75r.15|G010"", ""IT2a|f75r.15|G011""]"	"[""sain"", ""qokain"", ""qol"", ""keeoly"", ""saiin"", ""chedy"", ""sol"", ""or"", ""shedy"", ""okchdy"", ""qoky""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sain]"", ""Wasser?"", ""daraus?"", ""[keeoly]"", ""[saiin]"", ""wird?"", ""[sol]"", ""[or]"", ""[shedy]"", ""[okchdy]"", ""[qoky]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
ASCENT	f75r.15	RF1b	"[""RF1b|f75r.15|G001"", ""RF1b|f75r.15|G002"", ""RF1b|f75r.15|G003"", ""RF1b|f75r.15|G004"", ""RF1b|f75r.15|G005"", ""RF1b|f75r.15|G006"", ""RF1b|f75r.15|G007"", ""RF1b|f75r.15|G008"", ""RF1b|f75r.15|G009"", ""RF1b|f75r.15|G010""]"	"[""sain"", ""qokain"", ""qolkeeoly"", ""saiin"", ""chedy"", ""sol"", ""or"", ""shedy"", ""okchdy"", ""qoky""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sain]"", ""Wasser?"", ""[qolkeeoly]"", ""[saiin]"", ""wird?"", ""[sol]"", ""[or]"", ""[shedy]"", ""[okchdy]"", ""[qoky]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
LIGHTNESS	f75r.15	RF1b	"[""RF1b|f75r.15|G001"", ""RF1b|f75r.15|G002"", ""RF1b|f75r.15|G003"", ""RF1b|f75r.15|G004"", ""RF1b|f75r.15|G005"", ""RF1b|f75r.15|G006"", ""RF1b|f75r.15|G007"", ""RF1b|f75r.15|G008"", ""RF1b|f75r.15|G009"", ""RF1b|f75r.15|G010""]"	"[""sain"", ""qokain"", ""qolkeeoly"", ""saiin"", ""chedy"", ""sol"", ""or"", ""shedy"", ""okchdy"", ""qoky""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sain]"", ""Wasser?"", ""[qolkeeoly]"", ""[saiin]"", ""wird?"", ""[sol]"", ""[or]"", ""[shedy]"", ""[okchdy]"", ""[qoky]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
ASCENT	f75r.18	ZL3b	"[""ZL3b|f75r.18|G001"", ""ZL3b|f75r.18|G002"", ""ZL3b|f75r.18|G003"", ""ZL3b|f75r.18|G004"", ""ZL3b|f75r.18|G005"", ""ZL3b|f75r.18|G006"", ""ZL3b|f75r.18|G007"", ""ZL3b|f75r.18|G008"", ""ZL3b|f75r.18|G009""]"	"[""sol"", ""sheedy"", ""qol"", ""shedy"", ""qol"", ""otain"", ""char"", ""sar"", ""oly""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sol]"", ""wenn?"", ""daraus?"", ""[shedy]"", ""daraus?"", ""[otain]"", ""[char]"", ""[sar]"", ""[oly]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
LIGHTNESS	f75r.18	ZL3b	"[""ZL3b|f75r.18|G001"", ""ZL3b|f75r.18|G002"", ""ZL3b|f75r.18|G003"", ""ZL3b|f75r.18|G004"", ""ZL3b|f75r.18|G005"", ""ZL3b|f75r.18|G006"", ""ZL3b|f75r.18|G007"", ""ZL3b|f75r.18|G008"", ""ZL3b|f75r.18|G009""]"	"[""sol"", ""sheedy"", ""qol"", ""shedy"", ""qol"", ""otain"", ""char"", ""sar"", ""oly""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sol]"", ""wenn?"", ""daraus?"", ""[shedy]"", ""daraus?"", ""[otain]"", ""[char]"", ""[sar]"", ""[oly]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
ASCENT	f75r.18	IT2a	"[""IT2a|f75r.18|G001"", ""IT2a|f75r.18|G002"", ""IT2a|f75r.18|G003"", ""IT2a|f75r.18|G004"", ""IT2a|f75r.18|G005"", ""IT2a|f75r.18|G006"", ""IT2a|f75r.18|G007"", ""IT2a|f75r.18|G008"", ""IT2a|f75r.18|G009""]"	"[""sol"", ""sheedy"", ""qol"", ""shedy"", ""qol"", ""otain"", ""char"", ""sar"", ""oly""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sol]"", ""wenn?"", ""daraus?"", ""[shedy]"", ""daraus?"", ""[otain]"", ""[char]"", ""[sar]"", ""[oly]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
LIGHTNESS	f75r.18	IT2a	"[""IT2a|f75r.18|G001"", ""IT2a|f75r.18|G002"", ""IT2a|f75r.18|G003"", ""IT2a|f75r.18|G004"", ""IT2a|f75r.18|G005"", ""IT2a|f75r.18|G006"", ""IT2a|f75r.18|G007"", ""IT2a|f75r.18|G008"", ""IT2a|f75r.18|G009""]"	"[""sol"", ""sheedy"", ""qol"", ""shedy"", ""qol"", ""otain"", ""char"", ""sar"", ""oly""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DRAWING_INTERRUPTION"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sol]"", ""wenn?"", ""daraus?"", ""[shedy]"", ""daraus?"", ""[otain]"", ""[char]"", ""[sar]"", ""[oly]""]"	C0_EXPLORATORY_WHOLE_MEANING_NOT_IDENTIFICATION
