source_group_id	edition	locus	page	source_group_index	source_group_count	paragraph_start	paragraph_end	left_separator	right_separator	ivtff_group_raw	clean_ascii_fragments	clean_ascii_fragment_count	legacy_surface_positions_1based	legacy_mapping_status	block_id	left_group	right_group
ZL3b|f75r.18|G003	ZL3b	f75r.18	f75r	3	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	3	ONE_ASCII_FRAGMENT	f75r.1--f75r.26	sheedy	shedy
ZL3b|f75r.18|G005	ZL3b	f75r.18	f75r	5	9	0	0	DEFINITE_SPACE	DRAWING_INTERRUPTION	qol	qol	1	5	ONE_ASCII_FRAGMENT	f75r.1--f75r.26	shedy	otain
ZL3b|f75r.19|G002	ZL3b	f75r.19	f75r	2	8	0	0	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	qol	qol	1	2	ONE_ASCII_FRAGMENT	f75r.1--f75r.26	qokshedy	shey
ZL3b|f75r.23|G006	ZL3b	f75r.23	f75r	6	7	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	6	ONE_ASCII_FRAGMENT	f75r.1--f75r.26	sshey	chedyqokam
ZL3b|f75r.28|G007	ZL3b	f75r.28	f75r	7	11	0	0	DEFINITE_SPACE	DRAWING_INTERRUPTION	qol	qol	1	7	ONE_ASCII_FRAGMENT	f75r.27--f75r.31	shecthy	l
ZL3b|f76r.2|G009	ZL3b	f76r.2	f76r	9	12	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	9	ONE_ASCII_FRAGMENT	f76r.1--f76r.38	shedy	ain
ZL3b|f76r.24|G002	ZL3b	f76r.24	f76r	2	12	0	0	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	qol	qol	1	2	ONE_ASCII_FRAGMENT	f76r.1--f76r.38	dalshedy	sheedy
ZL3b|f76r.35|G010	ZL3b	f76r.35	f76r	10	12	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	10	ONE_ASCII_FRAGMENT	f76r.1--f76r.38	chedy	chcthy
ZL3b|f76r.53|G002	ZL3b	f76r.53	f76r	2	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	2	ONE_ASCII_FRAGMENT	f76r.51--f76r.56	saiin	shedy
ZL3b|f77r.13|G002	ZL3b	f77r.13	f77r	2	10	0	0	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	qol	qol	1	2	ONE_ASCII_FRAGMENT	f77r.9--f77r.24	qokeedy	sheedy
ZL3b|f77r.18|G009	ZL3b	f77r.18	f77r	9	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	9	ONE_ASCII_FRAGMENT	f77r.9--f77r.24	sheckhedy	cheedy
ZL3b|f77r.33|G003	ZL3b	f77r.33	f77r	3	9	0	0	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	qol	qol	1	3	ONE_ASCII_FRAGMENT	f77r.25--f77r.37	chedy	keedy
ZL3b|f77r.38|G006	ZL3b	f77r.38	f77r	6	9	1	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	6	ONE_ASCII_FRAGMENT	f77r.38--f77r.48	chcphey	ltaiin
ZL3b|f77r.38|G009	ZL3b	f77r.38	f77r	9	9	1	0	DEFINITE_SPACE	LINE_END	qol	qol	1	9	ONE_ASCII_FRAGMENT	f77r.38--f77r.48	shedy	LINE_END
ZL3b|f77r.44|G003	ZL3b	f77r.44	f77r	3	8	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	3	ONE_ASCII_FRAGMENT	f77r.38--f77r.48	qepchedy	cheedy
ZL3b|f81r.5|G001	ZL3b	f81r.5	f81r	1	9	0	0	LINE_START	DEFINITE_SPACE	qol	qol	1	1	ONE_ASCII_FRAGMENT	f81r.1--f81r.15	LINE_START	cheol
ZL3b|f81r.13|G004	ZL3b	f81r.13	f81r	4	6	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	4	ONE_ASCII_FRAGMENT	f81r.1--f81r.15	qotedy	chedy
ZL3b|f81r.20|G002	ZL3b	f81r.20	f81r	2	7	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	2	ONE_ASCII_FRAGMENT	f81r.16--f81r.31	qopchedy	chedy
ZL3b|f81r.22|G003	ZL3b	f81r.22	f81r	3	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qol	qol	1	3	ONE_ASCII_FRAGMENT	f81r.16--f81r.31	chedy	ol
ZL3b|f81r.25|G003	ZL3b	f81r.25	f81r	3	8	0	0	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	qol	qol	1	3	ONE_ASCII_FRAGMENT	f81r.16--f81r.31	shedy	otain
