lexeme_id	normalized_forms	canonical_noun_de	noun_class	content_status	note
L001	ansatz|ansatzes	Ansatz	PREPARATION	CONTENT	short preparation head
L002	ansatzcharge	Ansatzcharge	QUANTITY_PREPARATION	CONTENT	charge of a preparation
L003	ansatzfraktion	Ansatzfraktion	FRACTION_PREPARATION	CONTENT	fraction of a preparation
L004	ansatzrahmen	Ansatzrahmen	STRUCTURAL_META	APPARATUS_ONLY	analysis frame removed from main text
L005	anschlussform	Anschlussform	FORM_STAGE	FUNCTIONAL	bounded continuation form
L006	arzneikompositum|arzneikompositums	Arzneikompositum	MATERIAL	CONTENT	learned compound preparation head
L007	arzneikompositum-ansatzes	Arzneikompositum-Ansatz	PREPARATION	CONTENT	compound preparation source
L008	arzneispecies	Arzneispecies	MATERIAL	CONTENT_WITH_RIVAL	historical species is polysemous
L009	arzneimischung	Arzneimischung	MATERIAL	CONTENT	plain main-text selection for dshees
L010	auszug	Auszug	PREPARATION	CONTENT	extract rival and selected local value
L011	behandlung	Behandlung	PROCESS_NOUN	FUNCTIONAL	reference to preceding work
L012	blatt	Blatt	PLANT_PART	CONTENT	leaf rival in CTH family
L013	blüte	Blüte	PLANT_PART	CONTENT	selected shor value
L014	blüten|blütenteil	Blütenteil	PLANT_PART	CONTENT	flower material or part
L015	blütendroge|blütenrohdroge	Blütendroge	PLANT_MATERIAL	CONTENT	flower drug/material
L016	blütenansatz	Blütenansatz	PREPARATION	CONTENT	flower preparation
L017	blütenfraktion	Blütenfraktion	FRACTION_MATERIAL	CONTENT	flower fraction
L018	blütenzubereitung	Blütenzubereitung	PREPARATION	CONTENT	flower preparation
L019	bündel	Bündel	QUANTITY	CONTENT	bundle
L020	charge	Charge	QUANTITY	CONTENT_WITH_RIVAL	batch rather than dose
L021	cth-drogenmaterial	CTH-Drogenmaterial	STRUCTURAL_META	APPARATUS_ONLY	analysis family label removed from main text
L022	dosis|dosen	Dosis	QUANTITY	CONTENT	dose
L023	droge	Droge	MATERIAL	CONTENT	generic drug material at exact card only
L024	drogenansatz	Drogenansatz	PREPARATION	CONTENT	selected preparation phrase
L025	drogenbasis	Drogenbasis	MATERIAL	CONTENT	material base
L026	drogenfraktion	Drogenfraktion	FRACTION_MATERIAL	CONTENT	fraction of drug material
L027	drogenholz	Drogenholz	PLANT_MATERIAL	CONTENT_WITH_RIVAL	legacy compound normalized to Holz on productive l cards
L028	drogenholzpostens	Drogenholzposten	QUANTITY_MATERIAL	CONTENT_WITH_RIVAL	legacy compound normalized on productive l card
L029	drogenmaterial|drogenmaterials	Drogenmaterial	MATERIAL	CONTENT	material
L030	drogenportion	Drogenportion	QUANTITY_MATERIAL	CONTENT	portion of drug material
L031	drogenrohstoff	Drogenrohstoff	MATERIAL	CONTENT	raw drug material
L032	drogenstoff	Drogenstoff	MATERIAL	CONTENT	material head; Stoff is atomic working value
L033	einheit	Einheit	QUANTITY	CONTENT	unit
L034	einheitsform	Einheitsform	FORM_STAGE	FUNCTIONAL	unit form
L035	eintrag	Eintrag	STRUCTURAL_META	APPARATUS_ONLY	renderer record label removed from main text
L036	endportion	Endportion	QUANTITY	CONTENT	terminal portion
L037	feuchtansatz	Feuchtansatz	PREPARATION	CONTENT	moist preparation
L038	fraktion	Fraktion	FRACTION	CONTENT	fraction
L039	frucht-rohdroge|fruchtdroge	Fruchtdroge	PLANT_MATERIAL	CONTENT_WITH_RIVAL	shor rival kept in apparatus
L040	fruchtstand	Fruchtstand	PLANT_PART	CONTENT_WITH_RIVAL	shor rival kept in apparatus
L041	gran	Gran	QUANTITY	CONTENT_WITH_WARNING	historical unit but absolute identity weak
L042	grundansatz	Grundansatz	PREPARATION	CONTENT	base preparation
L043	gummi	Gummi	PLANT_MATERIAL	CONTENT_WITH_RIVAL	selected shx whole value
