rule_id	surface	expected_v62_gloss_de	main_gloss_de	selected_noun_de	live_rivals_de	provenance_tier	apparatus_note_de	basis
N001	shx	eingeweichtes Gummiharz	eingeweichtes Gummi	Gummi	Harz|Gummiharz|Pech	LOCAL_LEARNED_WHOLE	Ganzform shx; Gummi ist die kurze historisch belegte Arbeitswahl, Harz und Gummiharz bleiben Rivalen.	GDT681 exploratory resin identity plus the 1415 Gumi comparator; uncertainty moved out of main text
N002	shor	Blüten-/Fruchtstand; reproduktiver Teil	Blüte	Blüte	Fruchtstand|Samenstand|reproduktiver Pflanzenteil	LOCAL_LEARNED_WHOLE	shor wird im Haupttext einwertig als Blüte gelesen; die Fruchtlesung bleibt Rivale.	three V62 shor positions plus shoral and dshor family
N003	chor	Pflanzen-/Reproduktionsteil	Pflanzenteil	Pflanzenteil	Blütenteil|Fruchtteil	LOCAL_LEARNED_WHOLE	chor erhält eine kurze konkrete Hauptwahl; keine komplexe Metabedeutung wird vorgelesen.	two V62 chor positions; kept separate from the shor selection
N004	shoral	Blüten- oder Frucht-Rohdroge I	Blütenrohdroge I	Blütenrohdroge	Fruchtdroge|Rohdroge I	LOCAL_WHOLE_PLUS_VALUE	shor-Hauptwahl plus sichtbare al-Wertstufe; Frucht bleibt Rivale.	shor family with inherited material/value ending
N005	dshor	abgemessene Blüten-/Fruchtdroge	abgemessene Blütendroge	Blütendroge	Fruchtdroge	LOCAL_WHOLE_PLUS_MEASURE	Gemessene shor-Ganzform; der Haupttext folgt der Blütenwahl.	measured shor family occurrence
N006	cthoor	eine Portion Blatt- oder Krautansatz	eine Portion Krautansatz	Krautansatz	Blattansatz	LOCAL_CTH_FAMILY	CTH-Familie wird konkret als Kraut gelesen; Blatt bleibt Rivale.	CTH family consistency across six V62 cards
N007	cthororaiin	drei Portionen Blatt- oder Krautdroge	drei Portionen Krautdroge	Krautdroge	Blattdroge	LOCAL_CTH_FAMILY	CTH-Familie wird konkret als Kraut gelesen; Blatt bleibt Rivale.	CTH family consistency across six V62 cards
N008	ykecthey	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	Krautdroge	Blattdroge	LOCAL_CTH_FAMILY	CTH-Familie wird konkret als Kraut gelesen; Blatt bleibt Rivale.	CTH family consistency across six V62 cards
N009	checthy	trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut	trockenes Kraut	Kraut	Blattdroge|Krautdroge	LOCAL_CTH_FAMILY	CTH und Herbal sind Analysenotizen, keine gesprochenen Wörter; Hauptwahl ist Kraut.	CTH family plus Herbal-local reading
N010	checthedy	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Krautdroge	Blattdroge	LOCAL_CTH_FAMILY	CTH-Familie; konkrete Krautwahl wird beibehalten.	CTH family consistency across six V62 cards
N011	chcthey	Krautdroge bis zur mittleren Stufe trocknen	Krautdroge bis zur mittleren Stufe trocknen	Krautdroge	Blattdroge	LOCAL_CTH_FAMILY	CTH-Familie; konkrete Krautwahl wird beibehalten.	CTH family consistency across six V62 cards
N012	olkar	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	erste erhitzte Holzfraktion im Ansatz	Holz	Drogenholz|Holzstoff|Auszug	PROVISIONAL_LOCAL_SCOPE_HEAD	HOLZBINDUNG_OFFEN wird explorativ als getragener Holzkopf konkretisiert; der Scope-Tag selbst wird nicht vorgelesen.	sixteen V62 positions; provisional bounded head carry, explicitly not free internal-l promotion
