rule	mode	unit	record	first	last	groups	predicates	open_groups	missing_bearers
L	LOCAL	f17r:L1	f17r	f17r.4:1	f17r.4:9	9	1	7	0
L	LOCAL	f17r:L2	f17r	f17r.5:1	f17r.5:9	9	0	3	0
L	LOCAL	f17r:L3	f17r	f17r.6:1	f17r.6:5	5	0	4	0
L	LOCAL	f21r:L1	f21r	f21r.8:1	f21r.8:8	8	0	8	0
L	LOCAL	f21r:L2	f21r	f21r.9:1	f21r.9:9	9	2	2	0
L	LOCAL	f21r:L3	f21r	f21r.10:1	f21r.10:9	9	0	6	0
L	LOCAL	f21r:L4	f21r	f21r.11:1	f21r.11:9	9	4	5	4
L	LOCAL	f21r:L5	f21r	f21r.12:1	f21r.12:8	8	2	3	0
L	LOCAL	f32v:L1	f32v	f32v.7:1	f32v.7:10	10	0	8	0
L	LOCAL	f32v:L2	f32v	f32v.8:1	f32v.8:9	9	0	2	0
L	LOCAL	f32v:L3	f32v	f32v.9:1	f32v.9:7	7	1	1	1
L	LOCAL	f32v:L4	f32v	f32v.10:1	f32v.10:10	10	2	4	1
L	LOCAL	f32v:L5	f32v	f32v.11:1	f32v.11:3	3	1	0	1
L	LOCAL	f29v:L1	f29v	f29v.1:1	f29v.1:11	11	0	3	0
L	LOCAL	f29v:L2	f29v	f29v.2:1	f29v.2:9	9	2	1	0
L	LOCAL	f29v:L3	f29v	f29v.3:1	f29v.3:11	11	4	3	3
L	LOCAL	f29v:L4	f29v	f29v.4:1	f29v.4:9	9	1	2	0
L	CARRY	f17r:L1	f17r	f17r.4:1	f17r.4:9	9	1	7	0
L	CARRY	f17r:L2	f17r	f17r.5:1	f17r.5:9	9	0	3	0
L	CARRY	f17r:L3	f17r	f17r.6:1	f17r.6:5	5	0	4	0
L	CARRY	f21r:L1	f21r	f21r.8:1	f21r.8:8	8	0	8	0
L	CARRY	f21r:L2	f21r	f21r.9:1	f21r.9:9	9	2	2	0
L	CARRY	f21r:L3	f21r	f21r.10:1	f21r.10:9	9	0	6	0
L	CARRY	f21r:L4	f21r	f21r.11:1	f21r.11:9	9	4	5	0
L	CARRY	f21r:L5	f21r	f21r.12:1	f21r.12:8	8	2	3	0
L	CARRY	f32v:L1	f32v	f32v.7:1	f32v.7:10	10	0	8	0
L	CARRY	f32v:L2	f32v	f32v.8:1	f32v.8:9	9	0	2	0
L	CARRY	f32v:L3	f32v	f32v.9:1	f32v.9:7	7	1	1	0
L	CARRY	f32v:L4	f32v	f32v.10:1	f32v.10:10	10	2	4	0
L	CARRY	f32v:L5	f32v	f32v.11:1	f32v.11:3	3	1	0	0
L	CARRY	f29v:L1	f29v	f29v.1:1	f29v.1:11	11	0	3	0
L	CARRY	f29v:L2	f29v	f29v.2:1	f29v.2:9	9	2	1	0
L	CARRY	f29v:L3	f29v	f29v.3:1	f29v.3:11	11	4	3	0
L	CARRY	f29v:L4	f29v	f29v.4:1	f29v.4:9	9	1	2	0
R	LOCAL	f17r:R1	f17r	f17r.4:1	f17r.6:5	23	1	14	0
R	LOCAL	f21r:R1	f21r	f21r.8:1	f21r.11:2	28	4	16	0
R	LOCAL	f21r:R2	f21r	f21r.11:3	f21r.12:4	11	2	8	2
R	LOCAL	f21r:R3	f21r	f21r.12:5	f21r.12:8	4	2	0	0
R	LOCAL	f32v:R1	f32v	f32v.7:1	f32v.8:2	12	0	8	0
R	LOCAL	f32v:R2	f32v	f32v.8:3	f32v.8:4	2	0	0	0
R	LOCAL	f32v:R3	f32v	f32v.8:5	f32v.9:6	11	1	3	0
R	LOCAL	f32v:R4	f32v	f32v.9:7	f32v.11:3	14	3	4	1
R	LOCAL	f29v:R1	f29v	f29v.1:1	f29v.1:9	9	0	3	0
R	LOCAL	f29v:R2	f29v	f29v.1:10	f29v.2:3	5	1	0	0
R	LOCAL	f29v:R3	f29v	f29v.2:4	f29v.3:1	7	2	1	1
R	LOCAL	f29v:R4	f29v	f29v.3:2	f29v.4:8	18	4	5	2
R	LOCAL	f29v:R5	f29v	f29v.4:9	f29v.4:9	1	0	0	0
R	CARRY	f17r:R1	f17r	f17r.4:1	f17r.6:5	23	1	14	0
R	CARRY	f21r:R1	f21r	f21r.8:1	f21r.11:2	28	4	16	0
R	CARRY	f21r:R2	f21r	f21r.11:3	f21r.12:4	11	2	8	0
R	CARRY	f21r:R3	f21r	f21r.12:5	f21r.12:8	4	2	0	0
R	CARRY	f32v:R1	f32v	f32v.7:1	f32v.8:2	12	0	8	0
R	CARRY	f32v:R2	f32v	f32v.8:3	f32v.8:4	2	0	0	0
R	CARRY	f32v:R3	f32v	f32v.8:5	f32v.9:6	11	1	3	0
R	CARRY	f32v:R4	f32v	f32v.9:7	f32v.11:3	14	3	4	0
R	CARRY	f29v:R1	f29v	f29v.1:1	f29v.1:9	9	0	3	0
R	CARRY	f29v:R2	f29v	f29v.1:10	f29v.2:3	5	1	0	0
R	CARRY	f29v:R3	f29v	f29v.2:4	f29v.3:1	7	2	1	0
R	CARRY	f29v:R4	f29v	f29v.3:2	f29v.4:8	18	4	5	0
R	CARRY	f29v:R5	f29v	f29v.4:9	f29v.4:9	1	0	0	0
V	LOCAL	f17r:V1	f17r	f17r.4:1	f17r.4:2	2	1	0	0
V	LOCAL	f17r:V2	f17r	f17r.4:3	f17r.6:5	21	0	14	0
V	LOCAL	f21r:V1	f21r	f21r.8:1	f21r.9:3	11	1	8	0
V	LOCAL	f21r:V2	f21r	f21r.9:4	f21r.9:4	1	1	0	1
V	LOCAL	f21r:V3	f21r	f21r.9:5	f21r.11:1	15	1	8	0
V	LOCAL	f21r:V4	f21r	f21r.11:2	f21r.11:2	1	1	0	1
V	LOCAL	f21r:V5	f21r	f21r.11:3	f21r.11:3	1	1	0	1
V	LOCAL	f21r:V6	f21r	f21r.11:4	f21r.11:7	4	1	3	1
V	LOCAL	f21r:V7	f21r	f21r.11:8	f21r.12:6	8	1	5	0
V	LOCAL	f21r:V8	f21r	f21r.12:7	f21r.12:8	2	1	0	1
V	LOCAL	f32v:V1	f32v	f32v.7:1	f32v.9:2	21	1	10	0
V	LOCAL	f32v:V2	f32v	f32v.9:3	f32v.10:2	7	1	1	0
V	LOCAL	f32v:V3	f32v	f32v.10:3	f32v.10:4	2	1	0	0
V	LOCAL	f32v:V4	f32v	f32v.10:5	f32v.11:3	9	1	4	0
V	LOCAL	f29v:V1	f29v	f29v.1:1	f29v.2:3	14	1	3	0
V	LOCAL	f29v:V2	f29v	f29v.2:4	f29v.2:4	1	1	0	1
V	LOCAL	f29v:V3	f29v	f29v.2:5	f29v.3:1	6	1	1	0
V	LOCAL	f29v:V4	f29v	f29v.3:2	f29v.3:2	1	1	0	1
V	LOCAL	f29v:V5	f29v	f29v.3:3	f29v.3:4	2	1	0	1
V	LOCAL	f29v:V6	f29v	f29v.3:5	f29v.3:7	3	1	0	0
V	LOCAL	f29v:V7	f29v	f29v.3:8	f29v.4:9	13	1	5	0
V	CARRY	f17r:V1	f17r	f17r.4:1	f17r.4:2	2	1	0	0
V	CARRY	f17r:V2	f17r	f17r.4:3	f17r.6:5	21	0	14	0
V	CARRY	f21r:V1	f21r	f21r.8:1	f21r.9:3	11	1	8	0
V	CARRY	f21r:V2	f21r	f21r.9:4	f21r.9:4	1	1	0	0
V	CARRY	f21r:V3	f21r	f21r.9:5	f21r.11:1	15	1	8	0
V	CARRY	f21r:V4	f21r	f21r.11:2	f21r.11:2	1	1	0	0
V	CARRY	f21r:V5	f21r	f21r.11:3	f21r.11:3	1	1	0	0
V	CARRY	f21r:V6	f21r	f21r.11:4	f21r.11:7	4	1	3	0
V	CARRY	f21r:V7	f21r	f21r.11:8	f21r.12:6	8	1	5	0
V	CARRY	f21r:V8	f21r	f21r.12:7	f21r.12:8	2	1	0	0
V	CARRY	f32v:V1	f32v	f32v.7:1	f32v.9:2	21	1	10	0
V	CARRY	f32v:V2	f32v	f32v.9:3	f32v.10:2	7	1	1	0
V	CARRY	f32v:V3	f32v	f32v.10:3	f32v.10:4	2	1	0	0
V	CARRY	f32v:V4	f32v	f32v.10:5	f32v.11:3	9	1	4	0
V	CARRY	f29v:V1	f29v	f29v.1:1	f29v.2:3	14	1	3	0
V	CARRY	f29v:V2	f29v	f29v.2:4	f29v.2:4	1	1	0	0
V	CARRY	f29v:V3	f29v	f29v.2:5	f29v.3:1	6	1	1	0
V	CARRY	f29v:V4	f29v	f29v.3:2	f29v.3:2	1	1	0	0
V	CARRY	f29v:V5	f29v	f29v.3:3	f29v.3:4	2	1	0	0
V	CARRY	f29v:V6	f29v	f29v.3:5	f29v.3:7	3	1	0	0
V	CARRY	f29v:V7	f29v	f29v.3:8	f29v.4:9	13	1	5	0
