rule	record	unit	start	reason
L	f17r	f17r:L1	f17r.4:1	PARAGRAPH_START
L	f17r	f17r:L2	f17r.5:1	LINE_START
L	f17r	f17r:L3	f17r.6:1	LINE_START
L	f21r	f21r:L1	f21r.8:1	PARAGRAPH_START
L	f21r	f21r:L2	f21r.9:1	LINE_START
L	f21r	f21r:L3	f21r.10:1	LINE_START
L	f21r	f21r:L4	f21r.11:1	LINE_START
L	f21r	f21r:L5	f21r.12:1	LINE_START
L	f32v	f32v:L1	f32v.7:1	PARAGRAPH_START
L	f32v	f32v:L2	f32v.8:1	LINE_START
L	f32v	f32v:L3	f32v.9:1	LINE_START
L	f32v	f32v:L4	f32v.10:1	LINE_START
L	f32v	f32v:L5	f32v.11:1	LINE_START
L	f29v	f29v:L1	f29v.1:1	PARAGRAPH_START
L	f29v	f29v:L2	f29v.2:1	LINE_START
L	f29v	f29v:L3	f29v.3:1	LINE_START
L	f29v	f29v:L4	f29v.4:1	LINE_START
R	f17r	f17r:R1	f17r.4:1	PARAGRAPH_START
R	f21r	f21r:R1	f21r.8:1	PARAGRAPH_START
R	f21r	f21r:R2	f21r.11:3	REPEATED_WHOLE_FORM_IN_LINE
R	f21r	f21r:R3	f21r.12:5	REPEATED_WHOLE_FORM_IN_LINE
R	f32v	f32v:R1	f32v.7:1	PARAGRAPH_START
R	f32v	f32v:R2	f32v.8:3	REPEATED_WHOLE_FORM_IN_LINE
R	f32v	f32v:R3	f32v.8:5	REPEATED_WHOLE_FORM_IN_LINE
R	f32v	f32v:R4	f32v.9:7	REPEATED_WHOLE_FORM_IN_LINE
R	f29v	f29v:R1	f29v.1:1	PARAGRAPH_START
R	f29v	f29v:R2	f29v.1:10	REPEATED_WHOLE_FORM_IN_LINE
R	f29v	f29v:R3	f29v.2:4	REPEATED_WHOLE_FORM_IN_LINE
R	f29v	f29v:R4	f29v.3:2	REPEATED_WHOLE_FORM_IN_LINE
R	f29v	f29v:R5	f29v.4:9	REPEATED_WHOLE_FORM_IN_LINE
V	f17r	f17r:V1	f17r.4:1	PARAGRAPH_START
V	f17r	f17r:V2	f17r.4:3	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f21r	f21r:V1	f21r.8:1	PARAGRAPH_START
V	f21r	f21r:V2	f21r.9:4	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f21r	f21r:V3	f21r.9:5	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f21r	f21r:V4	f21r.11:2	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f21r	f21r:V5	f21r.11:3	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f21r	f21r:V6	f21r.11:4	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f21r	f21r:V7	f21r.11:8	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f21r	f21r:V8	f21r.12:7	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f32v	f32v:V1	f32v.7:1	PARAGRAPH_START
V	f32v	f32v:V2	f32v.9:3	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f32v	f32v:V3	f32v.10:3	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f32v	f32v:V4	f32v.10:5	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f29v	f29v:V1	f29v.1:1	PARAGRAPH_START
V	f29v	f29v:V2	f29v.2:4	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f29v	f29v:V3	f29v.2:5	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f29v	f29v:V4	f29v.3:2	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f29v	f29v:V5	f29v.3:3	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f29v	f29v:V6	f29v.3:5	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
V	f29v	f29v:V7	f29v.3:8	AFTER_AUTHORED_PREDICATE_AND_COMPLEMENT
