record	unit	locus	word	reading	status	claimed_complement
f17r	f17r:V1	f17r.4:1	tcho	Pflanzenmaterial	HYPOTHESIS	0
f17r	f17r:V1	f17r.4:2	shol	Pflanzenmaterial ist feucht	HYPOTHESIS	0
f17r	f17r:V2	f17r.4:3	qokol	[qokol]	OPEN	0
f17r	f17r:V2	f17r.4:4	qor	[qor]	OPEN	0
f17r	f17r:V2	f17r.4:5	olaiin	[olaiin]	OPEN	0
f17r	f17r:V2	f17r.4:6	opydg	[opydg]	OPEN	0
f17r	f17r:V2	f17r.4:7	som	[som]	OPEN	0
f17r	f17r:V2	f17r.4:8	ypchy	[ypchy]	OPEN	0
f17r	f17r:V2	f17r.4:9	ypaim	[ypaim]	OPEN	0
f17r	f17r:V2	f17r.5:1	ychekchy	[ychekchy]	OPEN	0
f17r	f17r:V2	f17r.5:2	cthy	Kraut	HYPOTHESIS	0
f17r	f17r:V2	f17r.5:3	chor	Blüten	HYPOTHESIS	0
f17r	f17r:V2	f17r.5:4	shor	Früchte	HYPOTHESIS	0
f17r	f17r:V2	f17r.5:5	cphor	[cphor]	OPEN	0
f17r	f17r:V2	f17r.5:6	cphaldy	[cphaldy]	OPEN	0
f17r	f17r:V2	f17r.5:7	dair	Anteil Β	HYPOTHESIS	0
f17r	f17r:V2	f17r.5:8	cthey	Arzneiform A	HYPOTHESIS	0
f17r	f17r:V2	f17r.5:9	qody	fertige Zubereitung	HYPOTHESIS	0
f17r	f17r:V2	f17r.6:1	tsho	[tsho]	OPEN	0
f17r	f17r:V2	f17r.6:2	qof	[qof]	OPEN	0
f17r	f17r:V2	f17r.6:3	cho	Inneres	HYPOTHESIS	0
f17r	f17r:V2	f17r.6:4	qokcheor	[qokcheor]	OPEN	0
f17r	f17r:V2	f17r.6:5	cheteg	[cheteg]	OPEN	0
f21r	f21r:V1	f21r.8:1	fcho	[fcho]	OPEN	0
f21r	f21r:V1	f21r.8:2	kshy	[kshy]	OPEN	0
f21r	f21r:V1	f21r.8:3	otor	[otor]	OPEN	0
f21r	f21r:V1	f21r.8:4	sheol	[sheol]	OPEN	0
f21r	f21r:V1	f21r.8:5	ocphal	[ocphal]	OPEN	0
f21r	f21r:V1	f21r.8:6	opsheas	[opsheas]	OPEN	0
f21r	f21r:V1	f21r.8:7	cthodaiin	[cthodaiin]	OPEN	0
f21r	f21r:V1	f21r.8:8	oty	[oty]	OPEN	0
f21r	f21r:V1	f21r.9:1	okaiin	Ansatz	HYPOTHESIS	0
f21r	f21r:V1	f21r.9:2	sho	Ansatz enthält Flüssigauszug	HYPOTHESIS	0
f21r	f21r:V1	f21r.9:3	tshaiin	Flüssigauszug	HYPOTHESIS	1
f21r	f21r:V2	f21r.9:4	chkaiin	Ansatz ist gemischt	HYPOTHESIS	0
f21r	f21r:V3	f21r.9:5	sh	[sh]	OPEN	0
f21r	f21r:V3	f21r.9:6	cthey	Arzneiform A	HYPOTHESIS	0
