rule	mode	record	unit	locus	word	bearer	right_complement	severed_candidate	issues	reading
L	LOCAL	f17r	f17r:L1	f17r.4:2	shol	f17r.4:1	NA	NA	NONE	Pflanzenmaterial ist feucht
L	LOCAL	f21r	f21r:L2	f21r.9:2	sho	f21r.9:1	f21r.9:3	NA	NONE	Ansatz enthält Flüssigauszug
L	LOCAL	f21r	f21r:L2	f21r.9:4	chkaiin	f21r.9:1	NA	NA	NONE	Ansatz ist gemischt
L	LOCAL	f21r	f21r:L4	f21r.11:1	shol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist feucht
L	LOCAL	f21r	f21r:L4	f21r.11:2	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
L	LOCAL	f21r	f21r:L4	f21r.11:3	shol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist feucht
L	LOCAL	f21r	f21r:L4	f21r.11:7	shey	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist heiß
L	LOCAL	f21r	f21r:L5	f21r.12:6	chol	f21r.12:5	NA	NA	NONE	Blüten ist trocken
L	LOCAL	f21r	f21r:L5	f21r.12:8	chkaiin	f21r.12:5	NA	NA	NONE	Blüten ist gemischt
L	LOCAL	f32v	f32v:L3	f32v.9:1	qotchy	MISSING	f32v.9:2	NA	MISSING_BEARER	?Gegenstand befindet sich bei Filterstelle
L	LOCAL	f32v	f32v:L4	f32v.10:1	sho	MISSING	f32v.10:2	NA	MISSING_BEARER	?Gegenstand enthält Öl
L	LOCAL	f32v	f32v:L4	f32v.10:4	chol	f32v.10:3	NA	NA	NONE	Blüten ist trocken
L	LOCAL	f32v	f32v:L5	f32v.11:2	sho	MISSING	f32v.11:3	NA	MISSING_BEARER	?Gegenstand enthält Wasser
L	LOCAL	f29v	f29v:L2	f29v.2:3	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
L	LOCAL	f29v	f29v:L2	f29v.2:4	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
L	LOCAL	f29v	f29v:L3	f29v.3:1	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
L	LOCAL	f29v	f29v:L3	f29v.3:2	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
L	LOCAL	f29v	f29v:L3	f29v.3:4	shey	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist heiß
L	LOCAL	f29v	f29v:L3	f29v.3:6	qotchy	f29v.3:5	f29v.3:7	NA	NONE	Zusatzportion befindet sich bei Auffanggefäß
L	LOCAL	f29v	f29v:L4	f29v.4:8	sho	f29v.4:4	f29v.4:9	NA	NONE	Kraut enthält Ansatz
L	CARRY	f17r	f17r:L1	f17r.4:2	shol	f17r.4:1	NA	NA	NONE	Pflanzenmaterial ist feucht
L	CARRY	f21r	f21r:L2	f21r.9:2	sho	f21r.9:1	f21r.9:3	NA	NONE	Ansatz enthält Flüssigauszug
L	CARRY	f21r	f21r:L2	f21r.9:4	chkaiin	f21r.9:1	NA	NA	NONE	Ansatz ist gemischt
L	CARRY	f21r	f21r:L4	f21r.11:1	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
L	CARRY	f21r	f21r:L4	f21r.11:2	chol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist trocken
L	CARRY	f21r	f21r:L4	f21r.11:3	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
L	CARRY	f21r	f21r:L4	f21r.11:7	shey	f21r.10:6	NA	NA	NONE	Trockenmaterial ist heiß
L	CARRY	f21r	f21r:L5	f21r.12:6	chol	f21r.12:5	NA	NA	NONE	Blüten ist trocken
L	CARRY	f21r	f21r:L5	f21r.12:8	chkaiin	f21r.12:5	NA	NA	NONE	Blüten ist gemischt
L	CARRY	f32v	f32v:L3	f32v.9:1	qotchy	f32v.8:9	f32v.9:2	NA	NONE	Feinanteil befindet sich bei Filterstelle
L	CARRY	f32v	f32v:L4	f32v.10:1	sho	f32v.9:6	f32v.10:2	NA	NONE	Pflanzenportion enthält Öl
L	CARRY	f32v	f32v:L4	f32v.10:4	chol	f32v.10:3	NA	NA	NONE	Blüten ist trocken
L	CARRY	f32v	f32v:L5	f32v.11:2	sho	f32v.10:8	f32v.11:3	NA	NONE	Trockenmaterial enthält Wasser
L	CARRY	f29v	f29v:L2	f29v.2:3	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
L	CARRY	f29v	f29v:L2	f29v.2:4	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
L	CARRY	f29v	f29v:L3	f29v.3:1	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
L	CARRY	f29v	f29v:L3	f29v.3:2	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
L	CARRY	f29v	f29v:L3	f29v.3:4	shey	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist heiß
L	CARRY	f29v	f29v:L3	f29v.3:6	qotchy	f29v.3:5	f29v.3:7	NA	NONE	Zusatzportion befindet sich bei Auffanggefäß
L	CARRY	f29v	f29v:L4	f29v.4:8	sho	f29v.4:4	f29v.4:9	NA	NONE	Kraut enthält Ansatz
R	LOCAL	f17r	f17r:R1	f17r.4:2	shol	f17r.4:1	NA	NA	NONE	Pflanzenmaterial ist feucht
R	LOCAL	f21r	f21r:R1	f21r.9:2	sho	f21r.9:1	f21r.9:3	NA	NONE	Ansatz enthält Flüssigauszug
R	LOCAL	f21r	f21r:R1	f21r.9:4	chkaiin	f21r.9:1	NA	NA	NONE	Ansatz ist gemischt
R	LOCAL	f21r	f21r:R1	f21r.11:1	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
R	LOCAL	f21r	f21r:R1	f21r.11:2	chol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist trocken
R	LOCAL	f21r	f21r:R2	f21r.11:3	shol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist feucht
R	LOCAL	f21r	f21r:R2	f21r.11:7	shey	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist heiß
R	LOCAL	f21r	f21r:R3	f21r.12:6	chol	f21r.12:5	NA	NA	NONE	Blüten ist trocken
R	LOCAL	f21r	f21r:R3	f21r.12:8	chkaiin	f21r.12:5	NA	NA	NONE	Blüten ist gemischt
R	LOCAL	f32v	f32v:R3	f32v.9:1	qotchy	f32v.8:9	f32v.9:2	NA	NONE	Feinanteil befindet sich bei Filterstelle
R	LOCAL	f32v	f32v:R4	f32v.10:1	sho	MISSING	f32v.10:2	NA	MISSING_BEARER	?Gegenstand enthält Öl
R	LOCAL	f32v	f32v:R4	f32v.10:4	chol	f32v.10:3	NA	NA	NONE	Blüten ist trocken
R	LOCAL	f32v	f32v:R4	f32v.11:2	sho	f32v.10:8	f32v.11:3	NA	NONE	Trockenmaterial enthält Wasser
R	LOCAL	f29v	f29v:R2	f29v.2:3	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
R	LOCAL	f29v	f29v:R3	f29v.2:4	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
R	LOCAL	f29v	f29v:R3	f29v.3:1	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
R	LOCAL	f29v	f29v:R4	f29v.3:2	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
R	LOCAL	f29v	f29v:R4	f29v.3:4	shey	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist heiß
R	LOCAL	f29v	f29v:R4	f29v.3:6	qotchy	f29v.3:5	f29v.3:7	NA	NONE	Zusatzportion befindet sich bei Auffanggefäß
R	LOCAL	f29v	f29v:R4	f29v.4:8	sho	f29v.4:4	NA	f29v.4:9	SEVERED_RIGHT_COMPLEMENT	Kraut enthält ?Ergänzung
R	CARRY	f17r	f17r:R1	f17r.4:2	shol	f17r.4:1	NA	NA	NONE	Pflanzenmaterial ist feucht
R	CARRY	f21r	f21r:R1	f21r.9:2	sho	f21r.9:1	f21r.9:3	NA	NONE	Ansatz enthält Flüssigauszug
R	CARRY	f21r	f21r:R1	f21r.9:4	chkaiin	f21r.9:1	NA	NA	NONE	Ansatz ist gemischt
R	CARRY	f21r	f21r:R1	f21r.11:1	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
R	CARRY	f21r	f21r:R1	f21r.11:2	chol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist trocken
R	CARRY	f21r	f21r:R2	f21r.11:3	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
R	CARRY	f21r	f21r:R2	f21r.11:7	shey	f21r.10:6	NA	NA	NONE	Trockenmaterial ist heiß
R	CARRY	f21r	f21r:R3	f21r.12:6	chol	f21r.12:5	NA	NA	NONE	Blüten ist trocken
R	CARRY	f21r	f21r:R3	f21r.12:8	chkaiin	f21r.12:5	NA	NA	NONE	Blüten ist gemischt
R	CARRY	f32v	f32v:R3	f32v.9:1	qotchy	f32v.8:9	f32v.9:2	NA	NONE	Feinanteil befindet sich bei Filterstelle
R	CARRY	f32v	f32v:R4	f32v.10:1	sho	f32v.9:6	f32v.10:2	NA	NONE	Pflanzenportion enthält Öl
R	CARRY	f32v	f32v:R4	f32v.10:4	chol	f32v.10:3	NA	NA	NONE	Blüten ist trocken
R	CARRY	f32v	f32v:R4	f32v.11:2	sho	f32v.10:8	f32v.11:3	NA	NONE	Trockenmaterial enthält Wasser
R	CARRY	f29v	f29v:R2	f29v.2:3	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
R	CARRY	f29v	f29v:R3	f29v.2:4	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
R	CARRY	f29v	f29v:R3	f29v.3:1	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
R	CARRY	f29v	f29v:R4	f29v.3:2	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
R	CARRY	f29v	f29v:R4	f29v.3:4	shey	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist heiß
R	CARRY	f29v	f29v:R4	f29v.3:6	qotchy	f29v.3:5	f29v.3:7	NA	NONE	Zusatzportion befindet sich bei Auffanggefäß
R	CARRY	f29v	f29v:R4	f29v.4:8	sho	f29v.4:4	NA	f29v.4:9	SEVERED_RIGHT_COMPLEMENT	Kraut enthält ?Ergänzung
V	LOCAL	f17r	f17r:V1	f17r.4:2	shol	f17r.4:1	NA	NA	NONE	Pflanzenmaterial ist feucht
V	LOCAL	f21r	f21r:V1	f21r.9:2	sho	f21r.9:1	f21r.9:3	NA	NONE	Ansatz enthält Flüssigauszug
V	LOCAL	f21r	f21r:V2	f21r.9:4	chkaiin	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist gemischt
V	LOCAL	f21r	f21r:V3	f21r.11:1	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
V	LOCAL	f21r	f21r:V4	f21r.11:2	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
