record	locus	word	L_LOCAL	L_CARRY	R_LOCAL	R_CARRY	V_LOCAL	V_CARRY
f17r	f17r.4:2	shol	f17r.4:1 / NA	f17r.4:1 / NA	f17r.4:1 / NA	f17r.4:1 / NA	f17r.4:1 / NA	f17r.4:1 / NA
f21r	f21r.9:2	sho	f21r.9:1 / f21r.9:3	f21r.9:1 / f21r.9:3	f21r.9:1 / f21r.9:3	f21r.9:1 / f21r.9:3	f21r.9:1 / f21r.9:3	f21r.9:1 / f21r.9:3
f21r	f21r.9:4	chkaiin	f21r.9:1 / NA	f21r.9:1 / NA	f21r.9:1 / NA	f21r.9:1 / NA	MISSING / NA	f21r.9:1 / NA
f21r	f21r.11:1	shol	MISSING / NA	f21r.10:6 / NA	f21r.10:6 / NA	f21r.10:6 / NA	f21r.10:6 / NA	f21r.10:6 / NA
f21r	f21r.11:2	chol	MISSING / NA	f21r.10:6 / NA	f21r.10:6 / NA	f21r.10:6 / NA	MISSING / NA	f21r.10:6 / NA
f21r	f21r.11:3	shol	MISSING / NA	f21r.10:6 / NA	MISSING / NA	f21r.10:6 / NA	MISSING / NA	f21r.10:6 / NA
f21r	f21r.11:7	shey	MISSING / NA	f21r.10:6 / NA	MISSING / NA	f21r.10:6 / NA	MISSING / NA	f21r.10:6 / NA
f21r	f21r.12:6	chol	f21r.12:5 / NA	f21r.12:5 / NA	f21r.12:5 / NA	f21r.12:5 / NA	f21r.12:5 / NA	f21r.12:5 / NA
f21r	f21r.12:8	chkaiin	f21r.12:5 / NA	f21r.12:5 / NA	f21r.12:5 / NA	f21r.12:5 / NA	MISSING / NA	f21r.12:5 / NA
f32v	f32v.9:1	qotchy	MISSING / f32v.9:2	f32v.8:9 / f32v.9:2	f32v.8:9 / f32v.9:2	f32v.8:9 / f32v.9:2	f32v.8:9 / f32v.9:2	f32v.8:9 / f32v.9:2
f32v	f32v.10:1	sho	MISSING / f32v.10:2	f32v.9:6 / f32v.10:2	MISSING / f32v.10:2	f32v.9:6 / f32v.10:2	f32v.9:6 / f32v.10:2	f32v.9:6 / f32v.10:2
f32v	f32v.10:4	chol	f32v.10:3 / NA	f32v.10:3 / NA	f32v.10:3 / NA	f32v.10:3 / NA	f32v.10:3 / NA	f32v.10:3 / NA
f32v	f32v.11:2	sho	MISSING / f32v.11:3	f32v.10:8 / f32v.11:3	f32v.10:8 / f32v.11:3	f32v.10:8 / f32v.11:3	f32v.10:8 / f32v.11:3	f32v.10:8 / f32v.11:3
f29v	f29v.2:3	chol	f29v.2:1 / NA	f29v.2:1 / NA	f29v.2:1 / NA	f29v.2:1 / NA	f29v.2:1 / NA	f29v.2:1 / NA
f29v	f29v.2:4	chol	f29v.2:1 / NA	f29v.2:1 / NA	MISSING / NA	f29v.2:1 / NA	MISSING / NA	f29v.2:1 / NA
f29v	f29v.3:1	chol	MISSING / NA	f29v.2:8 / NA	f29v.2:8 / NA	f29v.2:8 / NA	f29v.2:8 / NA	f29v.2:8 / NA
f29v	f29v.3:2	chol	MISSING / NA	f29v.2:8 / NA	MISSING / NA	f29v.2:8 / NA	MISSING / NA	f29v.2:8 / NA
f29v	f29v.3:4	shey	MISSING / NA	f29v.2:8 / NA	MISSING / NA	f29v.2:8 / NA	MISSING / NA	f29v.2:8 / NA
f29v	f29v.3:6	qotchy	f29v.3:5 / f29v.3:7	f29v.3:5 / f29v.3:7	f29v.3:5 / f29v.3:7	f29v.3:5 / f29v.3:7	f29v.3:5 / f29v.3:7	f29v.3:5 / f29v.3:7
f29v	f29v.4:8	sho	f29v.4:4 / f29v.4:9	f29v.4:4 / f29v.4:9	f29v.4:4 / NA	f29v.4:4 / NA	f29v.4:4 / f29v.4:9	f29v.4:4 / f29v.4:9
