unified_id	section	page	record_or_locus	case_ids	surface	local_identity	semantic_component_parse	workshop_role_de	owner_or_namespace_de	case_material_or_label_policy_de	architecture_role	learning_mode	required_for_case	orientation	cross_page_key
PROSE:E001	PROSE_CASE	f10r	H1	C1	dchey	PROC001	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E002	PROSE_CASE	f10r	H1	C1	cthoor	PROC002	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E003	PROSE_CASE	f10r	H1	C1	char	PROC003	AR	VORRAT	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E004	PROSE_CASE	f10r	H1	C1	chty	PROC004	T+Y	EINTRAGEN · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E005	PROSE_CASE	f10r	H1	C1	os	PROC005	OS	ARBEITSFACH	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E006	PROSE_CASE	f10r	H1	C1	chair	PROC006	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E007	PROSE_CASE	f10r	H1	C1	otytchol	PROC007	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E008	PROSE_CASE	f10r	H1	C1	oky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E009	PROSE_CASE	f10r	H1	C1	daiin	PROC009	AIIN	SOLLMASS	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
PROSE:E010	PROSE_CASE	f10r	H1	C1	etyd	PROC010	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	CASE_PREPARATION_OR_APPLICATION_COMMAND	39_WORD_COMPOSITION_OR_173_LEARNED_CARD	YES	NOT_APPLICABLE	NONE
