gdt755_occurrence_id	surface	page	locus	token_ordinal	line_position	field_channel	boundary_complete	selected_role_axes	historical_expression	working_candidate_de	working_confidence	spoken_candidate_render_de	written_line_eva	candidate_hybrid_line_de	unmapped_tokens_preserved_as_eva	candidate_layer_not_plaintext	literal_identity	confirmed_lexeme	component_export_credit
G755-O0001	chees	f2v	f2v.7	5	MIDDLE	DESCRIPTIVE_QUALITY	1	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	siccum	vollständig getrocknet	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: vollständig getrocknet	daiin chotchey qoteeey chokeos chees chr cheaiin	<daiin> <chotchey> <qoteeey> <chokeos> [vollständig getrocknet] <chr> <cheaiin>	1	1	OPEN	0	0
G755-O0002	okeol	f3v	f3v.9	2	MIDDLE	MATERIA_OR_INGREDIENT	1	HOT|MIDDLE_STAGE	calide in secundo gradu	heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: heiß im zweiten Grad	ytcheear okeol cthodoaly chor cthy	<ytcheear> [heiß im zweiten Grad] <cthodoaly> <chor> <cthy>	1	1	OPEN	0	0
G755-O0003	chky	f3v	f3v.13	6	LAST	DESCRIPTIVE_MATERIA	0	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	calidum et siccum in primo gradu	heiß und trocken im ersten Grad	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: heiß und trocken im ersten Grad	shar shkaiin qokchy yty cthal chky	<shar> <shkaiin> <qokchy> <yty> <cthal> [heiß und trocken im ersten Grad]	1	1	OPEN	0	0
G755-O0004	okeol	f4v	f4v.12	3	MIDDLE	DESCRIPTIVE_MATERIA	1	HOT|MIDDLE_STAGE	calide in secundo gradu	heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: heiß im zweiten Grad	qokey sho okeol s keey shar char ody	<qokey> <sho> [heiß im zweiten Grad] <s> <keey> <shar> <char> <ody>	1	1	OPEN	0	0
G755-O0005	qoaiin	f5r	f5r.3	1	FIRST	OPEN	0	LEVEL_III|PROCESS	Recipe iii vel iiii guttas	nimm drei Einheiten	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: nimm drei Einheiten	qoaiin otan chy daiin oteeeb chocthy otchy qotchody	[nimm drei Einheiten] <otan> <chy> <daiin> <oteeeb> <chocthy> <otchy> <qotchody>	1	1	OPEN	0	0
G755-O0006	qoaiin	f5r	f5r.5	3	MIDDLE	DESCRIPTIVE_MATERIA	0	LEVEL_III|PROCESS	Recipe iii vel iiii guttas	nimm drei Einheiten	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: nimm drei Einheiten	tchy shody qoaiin cholols sho qotcheo daiin shodaiin	<tchy> <shody> [nimm drei Einheiten] <cholols> <sho> <qotcheo> <daiin> <shodaiin>	1	1	OPEN	0	0
G755-O0007	ychor	f6v	f6v.8	1	FIRST	PRESCRIPTIVE_RECIPE	1	PART|PASS	Recipe	nimm	C2_STRONG_EXPLORATORY	Arbeitshypothese: nimm	ychor chor okchey qokom	[nimm] <chor> <okchey> <qokom>	1	1	OPEN	0	0
G755-O0008	chky	f8r	f8r.5	8	MIDDLE	OPEN	1	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	calidum et siccum in primo gradu	heiß und trocken im ersten Grad	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: heiß und trocken im ersten Grad	okchey do r cheeey dy ky scho chky ooaiin chy taiin	<okchey> <do> <r> <cheeey> <dy> <ky> <scho> [heiß und trocken im ersten Grad] <ooaiin> <chy> <taiin>	1	1	OPEN	0	0
G755-O0009	qoaiin	f9v	f9v.2	2	MIDDLE	DESCRIPTIVE_MATERIA	0	LEVEL_III|PROCESS	Recipe iii vel iiii guttas	nimm drei Einheiten	C1_CONSTRAINED_CANDIDATE	Arbeitshypothese: nimm drei Einheiten	dchor qoaiin chkaiin cthor chol chor cphol dy oty qokaiin dy	<dchor> [nimm drei Einheiten] <chkaiin> <cthor> <chol> <chor> <cphol> <dy> <oty> <qokaiin> <dy>	1	1	OPEN	0	0
G755-O0010	ychor	f9v	f9v.11	1	FIRST	OPEN	1	PART|PASS	Recipe	nimm	C2_STRONG_EXPLORATORY	Arbeitshypothese: nimm	ychor chshoty oky kaiin	[nimm] <chshoty> <oky> <kaiin>	1	1	OPEN	0	0
