surface	bridge_rank	candidate_rank	selected_primary	candidate_id	historical_expression	candidate_base_gloss_de	target_specific_working_candidate_de	working_confidence_if_primary	candidate_kind	candidate_register_family	gdt754_register_family	register_family_match	target_role_axes	candidate_required_all_axes	candidate_required_any_axes	hard_role_fit	preferred_axis_overlap	content_slot_axis	literal_content_axis_supported	reader_exact_occurrences	complete_independent_fields	preferred_channel_hits	preferred_channel_rate	layout_hits	layout_rate	historical_date_tier_0_3	historical_source_ids	historical_source_summary	attested_form	historical_locator	attestation_scope	fit_score_0_100_diagnostic	selection_reason_if_primary	counterevidence	comparison_unit	historical_graphic_match_claimed	literal_identity	confirmed_lexeme	component_export_credit
air	1	1	1	E002	parte	Teil oder Anteil	zweiter Teil oder Abschnitt	C1_CONSTRAINED_CANDIDATE	FORMULAIC_PART	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	LEVEL_II|PART	PART	NONE	1	LEVEL_II	NONE	1	44	22	3	0.136364	44	1.000000	1	HX006	HX006: Aligned John of Burgundy plague-tract abbreviation corpus (1450s to 1490s)	parte	aligned recipe table 4	CORPUS_EXPRESSION	66.727	Exact PART plus level II bundle and overwhelmingly internal placement fit a bound section or part field; external quantity evidence is weak.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
air	1	2	0	E001	ii partes	zwei Teile oder Anteile	zwei Teile oder Anteile	ALTERNATE_NOT_SELECTED	FORMULAIC_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	LEVEL_II|PART	PART|LEVEL_II	NONE	1	NONE	NONE	1	44	22	3	0.136364	44	1.000000	3	HX005|HX007	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	ii partes aque	Alphita Idromel recipe; BnF lat.8651 f88v	DIRECT_EXPRESSION	77.727	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
air	1	3	0	E003	semis	Haelfte	Haelfte	ALTERNATE_NOT_SELECTED	FORMULAIC_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	LEVEL_II|PART	PART	MIDDLE_STAGE|AMOUNT	0	NONE	NONE	1	44	22	3	0.136364	44	1.000000	1	HX006|HX009	HX006: Aligned John of Burgundy plague-tract abbreviation corpus (1450s to 1490s) || HX009: Abbreviations in Medieval Medical Manuscripts (late 14th to 15th century)	semis	aligned recipe table 4	CORPUS_FORMULA	34.727	ALTERNATE_RIVAL	required target axes incomplete	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
lkaiin	2	1	1	E010	calide in tertio gradu	heiss im dritten Grad	heiß im dritten Grad	C2_STRONG_EXPLORATORY	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	HOT|LEVEL_III	HOT|LEVEL_III	NONE	1	NONE	NONE	1	43	16	3	0.187500	42	0.976744	3	HX001|HX002	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400) || HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century)	Calide in 3o gradu; c. et s. in iii gradu	Pal.lat.1234 f1r; Wellcome MS.542 f119v	DIRECT_EXPRESSION_CLASS	70.401	HOT plus level III is the only top-24 bundle with later occurrence-local support and has an exact period quality-degree expression class.	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
lkaiin	2	2	0	E050	calidum	heiss oder warm	heiss oder warm	ALTERNATE_NOT_SELECTED	QUALITY_STATE	QUALITY_STATE_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	HOT|LEVEL_III	HOT	NONE	1	NONE	NONE	1	43	16	3	0.187500	42	0.976744	3	HX001|HX002|HX007	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400) || HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	calidum	quality rubrics and materia entries	DIRECT_EXPRESSION_CLASS	65.401	ALTERNATE_RIVAL	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
lkaiin	2	3	0	E014	calidum et siccum in tertio gradu	heiss und trocken im dritten Grad	heiss und trocken im dritten Grad	ALTERNATE_NOT_SELECTED	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	HOT|LEVEL_III	HOT|DRY|LEVEL_III	NONE	0	NONE	NONE	1	43	16	3	0.187500	42	0.976744	3	HX002	HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century)	Eleborus radix c. et s. in iii gradu	Wellcome MS.542 f119v	DIRECT_EXPRESSION	40.401	ALTERNATE_RIVAL	required target axes incomplete; changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
opchedy	3	1	1	E043	sicca	trockne	trockne	C1_CONSTRAINED_CANDIDATE	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	1	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	DRY|PROCESS	NONE	1	MATERIAL|PREPARATION|CLOSE	NONE	1	36	18	1	0.055556	36	1.000000	1	HX011	HX011: Oxford Trinity College MS 9 recipe collection (late medieval)	sicca ad solem vel ad umbram	Oxford Trinity College MS 9 recipe catalogue	CATALOGUE_EXPRESSION	74.111	DRY plus PROCESS dominates the old role bundle; external fields are mixed so verbal drying stays ahead of a dry-state reading only provisionally.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
opchedy	3	2	0	E019	repone	stelle zurueck oder bewahre auf	stelle zurueck oder bewahre auf	ALTERNATE_NOT_SELECTED	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	1	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	PROCESS|CLOSE	NONE	1	PREPARATION	NONE	1	36	18	1	0.055556	36	1.000000	3	HX005	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century)	repone	BnF lat.8651 f88v	DIRECT_EXPRESSION	78.111	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
opchedy	3	3	0	E015	siccum	trocken oder getrocknet	trocken oder getrocknet	ALTERNATE_NOT_SELECTED	QUALITY_STATE	QUALITY_STATE_OR_DEGREE_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	0	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	DRY	NONE	1	MATERIAL|PREPARATION	NONE	1	36	18	4	0.222222	36	1.000000	2	HX002|HX007	HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	siccum	Wellcome MS.542 f118r and Alphita entries	DIRECT_EXPRESSION_CLASS	66.444	ALTERNATE_RIVAL	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
okeol	4	1	1	E009	calide in secundo gradu	heiss im zweiten Grad	heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	1	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	NONE	1	NONE	NONE	1	41	17	5	0.294118	40	0.975610	3	HX001	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400)	Calide in 2o gradu	Pal.lat.1234 f1r	DIRECT_EXPRESSION	80.516	The corrected whole-pair retains HOT plus middle stage and independent fields lean descriptive or materia rather than command.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
