line_initial_rate_rank	surface	reader_exact_occurrences	line_first_occurrences	line_first_rate	line_last_occurrences	paragraph_first_occurrences	section_counts	top24_target	gdt754_productive_compound_surface	comparison_used_semantics	reader_exact_minimum_occurrences	confirmed_lexeme
1	ychor	13	13	1.000000	0	0	H:9|P:2|S:1|T:1	1	1	0	10	0
2	ycheey	17	15	0.882353	1	1	B:1|H:6|P:1|S:9	0	0	0	10	0
3	pol	13	11	0.846154	0	7	B:6|H:1|S:5|T:1	0	0	0	10	0
4	dshedy	19	16	0.842105	0	0	B:11|C:1|H:3|S:2|T:2	0	0	0	10	0
5	qotchor	11	9	0.818182	0	0	H:11	0	0	0	10	0
6	tchedy	24	19	0.791667	0	9	B:8|C:2|H:3|S:10|T:1	0	0	0	10	0
7	soiin	12	9	0.750000	0	0	B:3|H:5|P:2|S:2	0	0	0	10	0
8	sor	34	25	0.735294	0	0	B:12|H:15|P:1|S:5|T:1	0	0	0	10	0
9	dchedy	15	11	0.733333	0	0	B:6|H:2|S:6|T:1	0	0	0	10	0
10	pchor	10	7	0.700000	0	6	B:1|H:5|S:3|T:1	0	0	0	10	0
11	dchey	13	9	0.692308	0	0	H:10|P:1|S:2	0	0	0	10	0
12	dshor	12	8	0.666667	0	0	B:1|H:8|P:1|S:1|T:1	0	0	0	10	0
13	tchor	17	11	0.647059	0	5	B:1|H:14|P:1|S:1	0	0	0	10	0
14	ychey	11	7	0.636364	1	0	B:2|C:1|H:5|P:1|S:1|T:1	0	0	0	10	0
15	sol	49	31	0.632653	1	1	B:31|H:9|P:4|S:5	0	0	0	10	0
16	oain	10	6	0.600000	0	0	H:3|P:1|S:6	0	0	0	10	0
17	pcheol	10	6	0.600000	0	5	B:4|H:2|P:1|S:3	0	0	0	10	0
18	tol	27	16	0.592593	0	4	B:6|H:14|P:1|S:5|T:1	0	0	0	10	0
19	ydaiin	14	8	0.571429	3	0	H:10|P:1|S:2|T:1	0	0	0	10	0
20	sair	16	9	0.562500	0	0	B:2|H:3|P:1|S:6|T:4	0	0	0	10	0
21	sain	53	29	0.547170	6	1	B:17|C:2|H:3|P:1|S:23|T:7	0	0	0	10	0
22	oaiin	17	9	0.529412	0	0	H:11|P:1|S:5	0	0	0	10	0
23	saiin	89	46	0.516854	5	0	B:23|C:1|H:23|P:4|S:32|T:6	0	0	0	10	0
24	dchor	22	11	0.500000	1	0	B:1|H:21	0	0	0	10	0
25	qotor	22	11	0.500000	1	1	C:1|H:17|S:4	0	0	0	10	0
26	sar	45	21	0.466667	6	0	B:10|C:1|H:7|P:4|S:22|T:1	0	0	0	10	0
27	o	33	14	0.424242	11	0	B:3|H:15|S:9|T:6	0	0	0	10	0
28	dchol	20	8	0.400000	1	0	B:2|H:15|S:2|T:1	0	0	0	10	0
29	tar	33	13	0.393939	2	3	B:4|H:10|S:14|T:5	0	0	0	10	0
30	otchor	16	6	0.375000	1	0	H:14|P:1|S:1	0	0	0	10	0
31	qor	19	7	0.368421	2	0	B:6|H:6|S:6|T:1	0	0	0	10	0
32	tchol	11	4	0.363636	0	4	C:1|H:9|S:1	0	0	0	10	0
33	y	84	29	0.345238	22	0	B:10|H:44|S:25|T:5	0	0	0	10	0
34	dor	48	16	0.333333	0	0	B:4|H:37|P:3|S:3|T:1	0	0	0	10	0
35	otchol	24	8	0.333333	0	0	H:22|P:1|T:1	0	0	0	10	0
36	kchor	18	6	0.333333	1	2	H:17|S:1	0	0	0	10	0
37	tor	12	4	0.333333	1	1	B:1|H:8|P:1|S:2	0	0	0	10	0
38	ytor	12	4	0.333333	0	0	H:9|S:1|T:2	0	0	0	10	0
39	taiin	38	12	0.315789	3	1	B:2|C:1|H:14|P:1|S:18|T:2	0	0	0	10	0
40	shodaiin	16	5	0.312500	3	0	C:1|H:10|S:4|T:1	0	0	0	10	0
41	qotchy	55	17	0.309091	3	0	B:3|H:46|P:1|S:5	0	0	0	10	0
42	d	20	6	0.300000	13	0	B:1|H:14|T:5	0	0	0	10	0
43	lcheey	10	3	0.300000	0	0	B:1|S:8|T:1	0	0	0	10	0
44	tair	10	3	0.300000	0	0	H:1|S:8|T:1	0	0	0	10	0
45	sho	93	27	0.290323	0	0	H:77|P:4|S:12	0	0	0	10	0
46	dair	63	18	0.285714	5	0	B:2|C:2|H:27|P:3|S:24|T:5	0	0	0	10	0
47	cheeo	14	4	0.285714	0	0	S:13|T:1	0	0	0	10	0
48	pchedy	25	7	0.280000	1	3	B:11|H:1|S:10|T:3	0	0	0	10	0
49	ykaiin	33	9	0.272727	1	0	B:1|C:5|H:9|S:8|T:10	0	0	0	10	0
50	ytol	11	3	0.272727	0	0	H:10|P:1	0	0	0	10	0
51	ykchy	15	4	0.266667	1	0	H:14|T:1	0	0	0	10	0
52	yteedy	19	5	0.263158	0	0	B:2|H:5|S:10|T:2	0	0	0	10	0
53	dain	149	39	0.261745	17	2	B:28|H:69|P:4|S:39|T:9	0	0	0	10	0
54	qoaiin	20	5	0.250000	0	0	H:8|P:1|S:9|T:2	1	1	0	10	0
55	okchor	12	3	0.250000	2	0	C:1|H:10|S:1	0	0	0	10	0
56	qody	12	3	0.250000	2	1	B:3|H:4|S:4|T:1	0	0	0	10	0
57	qokechy	12	3	0.250000	1	1	H:2|P:1|S:8|T:1	0	0	0	10	0
58	ytar	21	5	0.238095	1	0	B:1|H:4|S:10|T:6	0	0	0	10	0
59	qokchy	58	13	0.224138	2	0	B:3|H:40|P:1|S:13|T:1	0	0	0	10	0
60	ykeey	41	9	0.219512	0	0	B:7|C:1|H:13|P:6|S:13|T:1	0	0	0	10	0
61	olkeey	32	7	0.218750	0	0	B:13|H:1|P:1|S:12|T:5	0	0	0	10	0
62	lshey	14	3	0.214286	0	0	B:5|S:8|T:1	0	0	0	10	0
63	orain	14	3	0.214286	7	1	B:3|H:3|P:2|S:6	1	1	0	10	0
64	qokeed	14	3	0.214286	0	1	B:4|H:2|S:7|T:1	0	0	0	10	0
65	qokeeo	14	3	0.214286	0	0	P:3|S:10|T:1	0	0	0	10	0
66	qokeor	14	3	0.214286	2	0	B:1|H:2|P:6|S:3|T:2	0	0	0	10	0
67	ytchy	14	3	0.214286	0	0	H:11|S:1|T:2	0	0	0	10	0
68	sal	33	7	0.212121	10	2	B:12|H:8|P:3|S:6|T:4	0	0	0	10	0
69	ykeedy	19	4	0.210526	1	0	B:7|C:1|H:5|S:6	0	0	0	10	0
70	shor	77	16	0.207792	2	0	B:2|C:2|H:57|P:3|S:5|T:8	0	0	0	10	0
71	okchy	20	4	0.200000	4	0	B:1|H:14|P:1|S:2|T:2	0	0	0	10	0
72	yteey	20	4	0.200000	0	0	B:3|C:5|H:5|S:5|T:2	0	0	0	10	0
73	chotchy	10	2	0.200000	2	0	H:10	0	0	0	10	0
74	olain	10	2	0.200000	0	0	B:1|S:5|T:4	0	0	0	10	0
75	otchdy	10	2	0.200000	1	1	B:2|C:1|H:2|S:4|T:1	0	0	0	10	0
76	shocthy	10	2	0.200000	0	0	H:7|P:2|S:1	0	0	0	10	0
77	shod	10	2	0.200000	0	0	H:4|S:5|T:1	0	0	0	10	0
78	daiin	602	119	0.197674	95	0	B:57|C:7|H:379|P:28|S:112|T:19	0	0	0	10	0
79	okchey	26	5	0.192308	2	0	B:4|C:1|H:12|S:9	0	0	0	10	0
80	qokor	21	4	0.190476	0	0	B:1|H:9|P:2|S:9	0	0	0	10	0
81	okor	16	3	0.187500	0	0	B:1|H:10|P:3|S:2	0	0	0	10	0
82	olchey	16	3	0.187500	2	0	B:8|C:1|H:3|S:4	0	0	0	10	0
83	ykar	27	5	0.185185	1	0	H:14|P:1|S:5|T:7	0	0	0	10	0
84	qokeeey	22	4	0.181818	0	0	B:4|H:2|P:1|S:13|T:2	0	0	0	10	0
85	otaly	11	2	0.181818	4	0	B:3|H:1|P:2|S:5	1	1	0	10	0
86	qoteedy	51	9	0.176471	3	0	B:28|H:2|S:19|T:2	0	0	0	10	0
87	odar	17	3	0.176471	2	0	B:1|C:2|H:5|S:8|T:1	0	0	0	10	0
88	qotol	40	7	0.175000	0	1	B:6|H:19|P:3|S:8|T:4	0	0	0	10	0
89	oteol	24	4	0.166667	3	0	B:2|H:10|P:4|S:8	0	0	0	10	0
90	qo	24	4	0.166667	0	0	B:4|H:8|S:8|T:4	0	0	0	10	0
91	daiiin	12	2	0.166667	3	0	B:2|H:8|S:2	0	0	0	10	0
92	teol	12	2	0.166667	0	0	B:4|H:4|P:1|S:3	0	0	0	10	0
93	ytedy	12	2	0.166667	1	0	B:3|H:7|S:1|T:1	0	0	0	10	0
94	lol	31	5	0.161290	15	0	B:17|H:1|S:10|T:3	0	0	0	10	0
95	l	38	6	0.157895	5	0	B:7|H:7|P:1|S:19|T:4	0	0	0	10	0
96	dol	64	10	0.156250	5	0	B:15|H:35|P:4|S:6|T:4	0	0	0	10	0
97	kor	13	2	0.153846	0	0	H:10|P:2|S:1	0	0	0	10	0
98	qotchol	13	2	0.153846	1	0	H:13	0	0	0	10	0
99	dchy	20	3	0.150000	1	0	B:1|H:19	0	0	0	10	0
100	oraiin	21	3	0.142857	5	0	B:1|C:1|H:3|P:2|S:9|T:5	0	0	0	10	0
101	dary	14	2	0.142857	11	0	B:3|H:6|P:1|S:3|T:1	0	0	0	10	0
102	olol	14	2	0.142857	6	0	B:7|H:5|S:2	0	0	0	10	0
103	qol	124	17	0.137097	9	0	B:93|H:3|S:25|T:3	0	0	0	10	0
104	qokchol	15	2	0.133333	0	0	H:13|P:1|S:1	0	0	0	10	0
105	otchey	23	3	0.130435	0	0	B:2|C:2|H:8|S:10|T:1	0	0	0	10	0
106	sheor	31	4	0.129032	0	0	B:8|H:9|P:6|S:6|T:2	0	0	0	10	0
107	ytaiin	39	5	0.128205	6	0	B:2|C:5|H:14|S:8|T:10	0	0	0	10	0
108	otol	56	7	0.125000	4	0	B:8|H:30|P:2|S:11|T:5	0	0	0	10	0
109	otor	24	3	0.125000	1	0	B:1|H:15|S:7|T:1	0	0	0	10	0
110	qokchey	24	3	0.125000	0	0	B:3|C:1|H:5|S:14|T:1	0	0	0	10	0
111	tchey	16	2	0.125000	1	0	B:2|C:1|H:8|S:4|T:1	0	0	0	10	0
112	yty	16	2	0.125000	3	0	B:1|H:13|P:1|T:1	0	0	0	10	0
113	qokeedy	201	25	0.124378	0	3	B:102|C:1|H:5|S:86|T:7	0	0	0	10	0
114	dar	195	24	0.123077	31	0	B:35|C:5|H:88|P:6|S:37|T:24	0	0	0	10	0
115	qokol	82	10	0.121951	0	0	B:20|H:30|P:15|S:13|T:4	0	0	0	10	0
116	shody	41	5	0.121951	8	0	H:26|P:1|S:11|T:3	0	0	0	10	0
117	odaiin	42	5	0.119048	2	0	B:1|C:1|H:20|P:1|S:14|T:5	0	0	0	10	0
118	oldy	17	2	0.117647	9	0	B:8|H:3|P:5|S:1	0	0	0	10	0
119	olky	17	2	0.117647	4	0	B:9|H:4|P:1|T:3	0	0	0	10	0
120	qokeody	17	2	0.117647	0	0	C:1|H:2|P:8|S:3|T:3	0	0	0	10	0
121	qotchey	18	2	0.111111	0	0	B:2|C:1|H:9|S:6	0	0	0	10	0
122	shaiin	18	2	0.111111	0	0	H:12|S:6	0	0	0	10	0
123	chodaiin	37	4	0.108108	4	0	H:21|P:3|S:11|T:2	0	0	0	10	0
124	or	235	25	0.106383	9	0	B:38|C:12|H:95|P:12|S:50|T:28	0	0	0	10	0
125	qoteey	38	4	0.105263	0	0	B:6|C:2|H:7|P:1|S:21|T:1	0	0	0	10	0
126	kchol	19	2	0.105263	0	2	B:1|H:16|S:1|T:1	0	0	0	10	0
127	qokaiin	241	25	0.103734	11	0	B:71|C:2|H:32|P:2|S:116|T:18	0	0	0	10	0
128	shol	146	15	0.102740	3	0	B:11|C:1|H:99|P:5|S:24|T:6	0	0	0	10	0
129	okol	50	5	0.100000	6	0	B:6|H:22|P:13|S:8|T:1	0	0	0	10	0
130	lor	30	3	0.100000	4	0	B:7|H:3|S:18|T:2	0	0	0	10	0
131	choiin	10	1	0.100000	1	0	H:10	0	0	0	10	0
132	kchdy	10	1	0.100000	1	0	H:8|S:1|T:1	0	0	0	10	0
133	qokeeody	10	1	0.100000	0	0	P:1|S:7|T:2	0	0	0	10	0
134	yky	10	1	0.100000	3	0	H:8|S:2	0	0	0	10	0
135	qokeey	264	26	0.098485	9	2	B:62|C:2|H:18|P:11|S:160|T:11	0	0	0	10	0
136	okeey	116	11	0.094828	3	0	B:13|H:11|P:8|S:82|T:2	0	0	0	10	0
137	olaiin	32	3	0.093750	3	0	B:4|C:1|H:9|P:4|S:12|T:2	0	0	0	10	0
138	olor	22	2	0.090909	5	0	B:13|H:5|S:3|T:1	0	0	0	10	0
139	odal	11	1	0.090909	0	0	B:1|H:5|P:1|S:4	0	0	0	10	0
140	ypchedy	11	1	0.090909	0	1	H:7|S:4	0	0	0	10	0
141	qokeol	34	3	0.088235	1	0	B:1|H:7|P:15|S:11	1	1	0	10	0
142	qotey	23	2	0.086957	0	0	B:6|H:1|P:1|S:12|T:3	0	0	0	10	0
143	qokedy	164	14	0.085366	4	0	B:97|H:26|S:33|T:8	0	0	0	10	0
144	otchy	36	3	0.083333	1	0	B:1|H:28|S:5|T:2	0	0	0	10	0
145	shar	24	2	0.083333	1	0	B:5|H:6|P:1|S:11|T:1	0	0	0	10	0
146	chkeey	12	1	0.083333	0	0	B:1|H:7|P:2|S:2	0	0	0	10	0
147	okeody	12	1	0.083333	1	0	H:3|P:3|S:4|T:2	0	0	0	10	0
148	opchy	12	1	0.083333	3	0	H:5|P:1|S:6	0	0	0	10	0
149	ory	12	1	0.083333	9	0	B:7|H:2|S:3	0	0	0	10	0
150	ytain	12	1	0.083333	1	0	B:1|C:2|H:1|S:5|T:3	0	0	0	10	0
151	ytal	12	1	0.083333	3	0	B:1|H:4|S:3|T:4	0	0	0	10	0
152	qokal	158	13	0.082278	12	0	B:85|C:4|H:11|S:45|T:13	0	0	0	10	0
153	qokain	256	21	0.082031	9	0	B:142|C:1|H:6|P:1|S:98|T:8	0	0	0	10	0
154	okain	112	9	0.080357	9	0	B:32|H:18|S:56|T:6	0	0	0	10	0
155	shdy	25	2	0.080000	1	0	B:1|H:9|S:7|T:8	0	0	0	10	0
156	oteey	90	7	0.077778	4	0	B:14|C:5|H:9|P:4|S:56|T:2	0	0	0	10	0
157	chokaiin	13	1	0.076923	3	0	H:6|P:1|S:6	0	0	0	10	0
158	chokchy	13	1	0.076923	1	0	H:11|S:2	0	0	0	10	0
159	dl	13	1	0.076923	5	0	B:3|H:4|S:4|T:2	0	0	0	10	0
160	okchedy	13	1	0.076923	1	0	B:1|S:11|T:1	0	0	0	10	0
161	chos	27	2	0.074074	3	0	H:11|P:5|S:11	0	0	0	10	0
162	qokchedy	27	2	0.074074	2	0	B:4|C:1|S:21|T:1	0	0	0	10	0
163	okaiin	177	13	0.073446	13	0	B:27|H:53|P:5|S:82|T:10	0	0	0	10	0
164	chkaiin	14	1	0.071429	3	0	H:7|S:7	0	0	0	10	0
165	chocthy	14	1	0.071429	2	0	H:10|S:3|T:1	0	0	0	10	0
166	okaly	14	1	0.071429	5	0	B:3|H:4|S:7	0	0	0	10	0
167	qockhy	14	1	0.071429	0	0	B:1|H:5|P:4|S:4	0	0	0	10	0
168	shed	14	1	0.071429	0	0	B:2|H:2|S:7|T:3	0	0	0	10	0
169	tal	14	1	0.071429	1	0	B:8|S:4|T:2	0	0	0	10	0
170	teey	14	1	0.071429	0	0	B:5|H:3|S:6	0	0	0	10	0
171	r	57	4	0.070175	8	0	B:16|H:26|P:2|S:10|T:3	0	0	0	10	0
172	qokchdy	29	2	0.068966	1	0	B:8|H:5|S:11|T:5	0	0	0	10	0
173	otedy	75	5	0.066667	5	1	B:21|C:1|H:9|S:37|T:7	0	0	0	10	0
174	chedal	15	1	0.066667	1	0	B:1|S:14	0	0	0	10	0
175	om	15	1	0.066667	11	0	H:5|P:3|S:6|T:1	0	0	0	10	0
176	tchy	15	1	0.066667	1	1	B:1|H:13|S:1	0	0	0	10	0
177	s	154	10	0.064935	34	0	B:8|H:113|P:11|S:16|T:6	0	0	0	10	0
178	qotaiin	77	5	0.064935	7	0	B:12|C:4|H:14|S:41|T:6	0	0	0	10	0
