concept_de	candidate_id	historical_expression	candidate_kind	required_all_axes	required_any_axes	specific_content_axis	structurally_compatible_top24_surfaces	structurally_compatible_count	literal_axis_supported_top24_surfaces	literal_axis_supported_count	used_as_primary_top24_surfaces	disposition	historical_source_ids	practical_reading	historical_graphic_match_claimed	confirmed_lexeme
Wasser	E029	aqua	CONTENT_NOUN	WATER|LIQUID	NONE	WATER	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX004|HX005|HX007	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Wein	E030	vinum	CONTENT_NOUN	WINE|LIQUID	NONE	WINE	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX004|HX005|HX006	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Oel	E028	oleum	CONTENT_NOUN	OIL|LIQUID	NONE	OIL	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX004|HX007	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Salz	E031	sal	CONTENT_NOUN	SALT|MATERIAL	NONE	SALT	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX004|HX007	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Wurzel	E034	radix	CONTENT_NOUN	ROOT|PLANT_PART|MATERIAL	NONE	ROOT	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX001|HX002	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Blatt	E032	folia	CONTENT_NOUN	LEAF|PLANT_PART|MATERIAL	NONE	LEAF	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX001|HX004	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Samen	E033	semen	CONTENT_NOUN	SEED|PLANT_PART|MATERIAL	NONE	SEED	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX001|HX003	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Holz	E035	lignum	CONTENT_NOUN	WOOD|PLANT_PART|MATERIAL	NONE	WOOD	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX001|HX002	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Pulver	E036	pulvis	CONTENT_NOUN	POWDER|MATERIAL	NONE	POWDER	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX003|HX007	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Honig	E042	mel	CONTENT_NOUN	HONEY|MATERIAL	NONE	HONEY	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX004|HX007	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Aqua vitae	E045	aqua vitae	CONTENT_NOUN	WATER|LIQUID|PREPARATION	NONE	DISTILLED_WATER	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX004|HX012	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Gefaess	E037	vas distillatorium	CONTENT_NOUN	VESSEL	NONE	VESSEL	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX007	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Frau	E041	mulier	CONTENT_NOUN	PERSON|FEMALE	NONE	FEMALE_PERSON	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX012	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Krankheit	E038	morbum	CONTENT_NOUN	DISEASE	NONE	DISEASE	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX006|HX012	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Heilmittel oder Behandlung	E040	medicina	CONTENT_NOUN	TREATMENT	NONE	TREATMENT	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX012	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
Salbe	E026	unguentum	PREPARATION_NOUN	PREPARATION|MATERIAL	NONE	OINTMENT	chees|cthody|okam|olar|olchedy|olchy|opchedy|otaly|qockhey|qopchedy|qopchey	11	NONE	0	cthody	FORCED_PRIMARY_LITERAL_CANDIDATE_WITHOUT_SPECIFIC_AXIS	HX004	A broad carrier slot exists, but this concrete noun lacks its own axis.	0	0
Latwerge	E039	electuarium	PREPARATION_NOUN	PREPARATION|MATERIAL	NONE	ELECTUARY	chees|cthody|okam|olar|olchedy|olchy|opchedy|otaly|qockhey|qopchedy|qopchey	11	NONE	0	NONE	STRUCTURAL_SLOT_EXISTS_LITERAL_IDENTITY_UNSUPPORTED	HX006|HX008	A broad carrier slot exists, but this concrete noun lacks its own axis.	0	0
nimm	E016	Recipe	FORMULAIC_COMMAND	NONE	PROCESS|PASS	NONE	chdam|chees|chky|olchedy|olchy|opchedy|qoaiin|qockhey|qolchedy|qopchedy|qopchey|ychor|ykedy|ykol	14	chdam|chees|chky|olchedy|olchy|opchedy|qoaiin|qockhey|qolchedy|qopchedy|qopchey|ychor|ykedy|ykol	14	ychor	ROLE_SLOT_EXISTS_OPERATION_OR_FIELD_STILL_AMBIGUOUS	HX004|HX006|HX009	A process/formula slot exists, but exact operation remains a candidate.	0	0
mischen	E018	misce	PROCESS_VERB	PROCESS|PREPARATION	NONE	NONE	chees|olchedy|olchy|opchedy|qockhey|qopchedy|qopchey	7	chees|olchedy|olchy|opchedy|qockhey|qopchedy|qopchey	7	qockhey	ROLE_SLOT_EXISTS_OPERATION_OR_FIELD_STILL_AMBIGUOUS	HX004	A process/formula slot exists, but exact operation remains a candidate.	0	0
zerreiben	E044	tere	PROCESS_VERB	PROCESS	NONE	NONE	chdam|chees|chky|olchedy|olchy|opchedy|qoaiin|qockhey|qolchedy|qopchedy|qopchey	11	chdam|chees|chky|olchedy|olchy|opchedy|qoaiin|qockhey|qolchedy|qopchedy|qopchey	11	NONE	ROLE_SLOT_EXISTS_OPERATION_OR_FIELD_STILL_AMBIGUOUS	HX009	A process/formula slot exists, but exact operation remains a candidate.	0	0
erwaermen oder kochen	E021	fac bullire	PROCESS_VERB	HOT|PROCESS	NONE	NONE	chky	1	chky	1	NONE	ROLE_SLOT_EXISTS_OPERATION_OR_FIELD_STILL_AMBIGUOUS	HX005	A process/formula slot exists, but exact operation remains a candidate.	0	0
abkuehlen	E020	refrigeretur	PROCESS_VERB	COLD	PROCESS|PASS|CLOSE	NONE	otaly	1	otaly	1	NONE	ROLE_SLOT_EXISTS_OPERATION_OR_FIELD_STILL_AMBIGUOUS	HX004	A process/formula slot exists, but exact operation remains a candidate.	0	0
trocknen	E043	sicca	PROCESS_VERB	DRY|PROCESS	NONE	NONE	chdam|chees|chky|olchedy|olchy|opchedy|qolchedy|qopchedy|qopchey	9	chdam|chees|chky|olchedy|olchy|opchedy|qolchedy|qopchedy|qopchey	9	opchedy|qopchey	ROLE_SLOT_EXISTS_OPERATION_OR_FIELD_STILL_AMBIGUOUS	HX011	A process/formula slot exists, but exact operation remains a candidate.	0	0
einweichen	E023	temperando usque ad mane	PROCESS_VERB	MOIST|PROCESS	NONE	NONE	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX005	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
aufbewahren	E027	custodiatur	PROCESS_VERB	PASS|CLOSE	NONE	NONE	ykedy	1	ykedy	1	ykedy	ROLE_SLOT_EXISTS_OPERATION_OR_FIELD_STILL_AMBIGUOUS	HX004	A process/formula slot exists, but exact operation remains a candidate.	0	0
baden	E052	ponatur infirmum in balneum	PROCESS_VERB	BATH|PROCESS	NONE	BATH	NONE	0	NONE	0	NONE	NO_TOP24_ROLE_SLOT	HX013	Search other recurrent learned wholes; the top-24 deck lacks the required role.	0	0
