bridge_rank	surface	selected_role_axes	gdt754_historical_register_family	strongest_later_evidence_tier_0_4	reader_exact_occurrences	reader_exact_pages	complete_independent_fields	complete_independent_field_pages	anchored_complete_fields	nonopen_complete_fields	nonopen_complete_field_rate	dominant_nonopen_channel	dominant_nonopen_channel_count	complete_channel_counts	all_field_channel_counts	complete_independent_anchor_axis_counts	line_first_occurrences	line_last_occurrences	paragraph_first_occurrences	paragraph_last_occurrences	mean_normalized_position	section_counts	suspect_neighbor_axes_excluded	all_172_productive_compound_axes_excluded_from_fields	literal_identity	confirmed_lexeme	component_export_credit
1	air	LEVEL_II|PART	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	44	29	22	18	8	8	0.363636	PRESCRIPTIVE_RECIPE	3	DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:1|OPEN:14|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:3	DESCRIPTIVE_MATERIA:9|DESCRIPTIVE_QUALITY:2|MATERIA_OR_INGREDIENT:4|OPEN:20|PRESCRIPTIVE_PROCESS:2|PRESCRIPTIVE_RECIPE:4|QUANTITY_OR_PART:3	HOT:4|DRY:1|AMOUNT:4|PART:1|MATERIAL:3|PREPARATION:5|PROCESS:4|CLOSE:1|MIDDLE_STAGE:2|END_STAGE:2	1	2	0	0	0.509338	B:1|H:7|P:2|S:32|T:2	2	1	OPEN	0	0
2	lkaiin	HOT|LEVEL_III	MEASURE_FRACTION_OR_DEGREE_REGISTER	4	43	19	16	11	6	6	0.375000	PRESCRIPTIVE_RECIPE	3	DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1|OPEN:10|PRESCRIPTIVE_RECIPE:3	DESCRIPTIVE_MATERIA:15|DESCRIPTIVE_QUALITY:5|MATERIA_OR_INGREDIENT:1|OPEN:16|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:4|QUANTITY_OR_PART:1	HOT:3|COLD:1|DRY:3|AMOUNT:1|PART:1|MATERIAL:1|PREPARATION:3|PROCESS:1|CLOSE:1|PASS:2|END_STAGE:2|LEVEL_II:1	1	3	0	2	0.545739	B:3|S:36|T:4	4	1	OPEN	0	0
3	opchedy	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	RECIPE_ACTION_OR_COMMAND_REGISTER	0	36	28	18	15	8	8	0.444444	QUANTITY_OR_PART	3	DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:2|OPEN:10|PRESCRIPTIVE_PROCESS:1|QUANTITY_OR_PART:3	DESCRIPTIVE_MATERIA:10|DESCRIPTIVE_QUALITY:2|MATERIA_OR_INGREDIENT:1|OPEN:19|PRESCRIPTIVE_PROCESS:1|QUANTITY_OR_PART:3	HOT:3|COLD:2|DRY:2|AMOUNT:2|PART:2|MATERIAL:4|PROCESS:1|BEGIN_STAGE:2|MIDDLE_STAGE:2|END_STAGE:1	0	1	0	0	0.571595	B:10|H:3|S:19|T:4	1	1	OPEN	0	0
4	okeol	HOT|MIDDLE_STAGE	QUALITY_STATE_OR_DEGREE_REGISTER	2	41	24	17	12	12	12	0.705882	DESCRIPTIVE_MATERIA	5	DESCRIPTIVE_MATERIA:5|MATERIA_OR_INGREDIENT:2|OPEN:5|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:3|QUANTITY_OR_PART:1	DESCRIPTIVE_MATERIA:15|DESCRIPTIVE_QUALITY:2|MATERIA_OR_INGREDIENT:4|OPEN:10|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:7|QUANTITY_OR_PART:2	HOT:5|COLD:2|DRY:2|MOIST:1|PART:4|MATERIAL:7|PREPARATION:7|PROCESS:4|CLOSE:4|MIDDLE_STAGE:3|END_STAGE:6	1	5	0	2	0.505280	B:2|H:8|P:18|S:13	12	1	OPEN	0	0
5	qokeol	HOT|MIDDLE_STAGE	QUALITY_STATE_OR_DEGREE_REGISTER	2	34	24	13	11	8	8	0.615385	DESCRIPTIVE_MATERIA	4	DESCRIPTIVE_MATERIA:4|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:1|OPEN:5|PRESCRIPTIVE_RECIPE:2	DESCRIPTIVE_MATERIA:10|DESCRIPTIVE_QUALITY:6|MATERIA_OR_INGREDIENT:3|OPEN:12|PRESCRIPTIVE_RECIPE:3	HOT:4|COLD:2|DRY:4|MOIST:1|PART:1|MATERIAL:6|PREPARATION:5|PROCESS:2|CLOSE:1|BEGIN_STAGE:1|MIDDLE_STAGE:2|END_STAGE:3	3	1	0	0	0.459938	B:1|H:7|P:15|S:11	10	1	OPEN	0	0
6	olchedy	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	RECIPE_ACTION_OR_COMMAND_REGISTER	0	20	15	7	4	3	3	0.428571	DESCRIPTIVE_MATERIA	3	DESCRIPTIVE_MATERIA:3|OPEN:4	DESCRIPTIVE_MATERIA:5|DESCRIPTIVE_QUALITY:6|MATERIA_OR_INGREDIENT:1|OPEN:5|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:1|QUANTITY_OR_PART:1	HOT:2|COLD:2|DRY:1|AMOUNT:1|MATERIAL:2|PREPARATION:2|CLOSE:2|MIDDLE_STAGE:3|END_STAGE:2	1	5	0	1	0.608914	B:13|H:1|S:4|T:2	0	1	OPEN	0	0
7	chees	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	RECIPE_ACTION_OR_COMMAND_REGISTER	0	29	24	11	10	9	9	0.818182	DESCRIPTIVE_QUALITY	3	DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:3|MATERIA_OR_INGREDIENT:1|OPEN:2|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:1	DESCRIPTIVE_MATERIA:8|DESCRIPTIVE_QUALITY:5|MATERIA_OR_INGREDIENT:4|OPEN:4|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:4|QUANTITY_OR_PART:3	HOT:1|COLD:3|DRY:3|MOIST:1|PART:1|MATERIAL:1|PREPARATION:4|PROCESS:3|CLOSE:2|BEGIN_STAGE:1|MIDDLE_STAGE:4|END_STAGE:3	1	0	0	0	0.482954	B:5|H:11|P:3|S:8|T:2	4	1	OPEN	0	0
8	qopchedy	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	RECIPE_ACTION_OR_COMMAND_REGISTER	0	23	17	13	11	7	7	0.538462	DESCRIPTIVE_MATERIA	4	DESCRIPTIVE_MATERIA:4|OPEN:6|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2	DESCRIPTIVE_MATERIA:8|OPEN:11|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:3	HOT:6|DRY:1|MATERIAL:2|PREPARATION:4|PROCESS:3|CLOSE:3|END_STAGE:5|LEVEL_II:1|LEVEL_III:1	1	2	0	0	0.539416	B:5|S:16|T:2	0	1	OPEN	0	0
9	okam	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	17	17	5	5	2	2	0.400000	DESCRIPTIVE_MATERIA	1	DESCRIPTIVE_MATERIA:1|OPEN:3|PRESCRIPTIVE_RECIPE:1	DESCRIPTIVE_MATERIA:5|OPEN:11|PRESCRIPTIVE_RECIPE:1	DRY:1|MOIST:1|PART:1|MATERIAL:1|PROCESS:1|MIDDLE_STAGE:1	0	11	0	1	0.841311	H:10|S:6|T:1	4	1	OPEN	0	0
10	qoaiin	LEVEL_III|PROCESS	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	20	18	5	5	4	3	0.600000	DESCRIPTIVE_QUALITY	1	DESCRIPTIVE_QUALITY:1|OPEN:2|PRESCRIPTIVE_RECIPE:1|QUANTITY_OR_PART:1	DESCRIPTIVE_MATERIA:9|DESCRIPTIVE_QUALITY:2|OPEN:5|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:2	HOT:2|COLD:1|DRY:2|AMOUNT:2|MATERIAL:2|PREPARATION:1|PROCESS:1|END_STAGE:3	5	0	0	0	0.329884	H:8|P:1|S:9|T:2	1	1	OPEN	0	0
