bridge_rank	surface	gdt754_working_whole_default_de	gdt755_primary_historical_expression	gdt755_working_candidate_de	gdt755_spoken_candidate_render_de	working_confidence	evidence	selection_reason	counterevidence	alternate_candidate_1	alternate_candidate_2	candidate_register_family	register_migration_from_gdt754	candidate_layer_scope	historical_graphic_match_claimed	literal_identity	confirmed_lexeme	component_export_credit
1	air	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	parte	zweiter Teil oder Abschnitt	Arbeitshypothese: zweiter Teil oder Abschnitt	C1_CONSTRAINED_CANDIDATE	whole axes LEVEL_II|PART; 44 exact occurrences, 22 complete external fields; complete channels DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:1|OPEN:14|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:3; layout first/last 1/2; historical parte (HX006)	Exact PART plus level II bundle and overwhelmingly internal placement fit a bound section or part field; external quantity evidence is weak.	NONE	E001	E003	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
2	lkaiin	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle; genaue Ganzformbedeutung offen	calide in tertio gradu	heiß im dritten Grad	Arbeitshypothese: heiß im dritten Grad	C2_STRONG_EXPLORATORY	whole axes HOT|LEVEL_III; 43 exact occurrences, 16 complete external fields; complete channels DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1|OPEN:10|PRESCRIPTIVE_RECIPE:3; layout first/last 1/3; historical Calide in 3o gradu; c. et s. in iii gradu (HX001|HX002)	HOT plus level III is the only top-24 bundle with later occurrence-local support and has an exact period quality-degree expression class.	changes GDT754 broad register family	E050	E014	QUALITY_STATE_OR_DEGREE_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
3	opchedy	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	sicca	trockne	Arbeitshypothese: trockne	C1_CONSTRAINED_CANDIDATE	whole axes DRY|MATERIAL|PREPARATION|PROCESS|CLOSE; 36 exact occurrences, 18 complete external fields; complete channels DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:2|OPEN:10|PRESCRIPTIVE_PROCESS:1|QUANTITY_OR_PART:3; layout first/last 0/1; historical sicca ad solem vel ad umbram (HX011)	DRY plus PROCESS dominates the old role bundle; external fields are mixed so verbal drying stays ahead of a dry-state reading only provisionally.	NONE	E019	E015	RECIPE_ACTION_OR_COMMAND_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
4	okeol	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	calide in secundo gradu	heiß im zweiten Grad	Arbeitshypothese: heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	whole axes HOT|MIDDLE_STAGE; 41 exact occurrences, 17 complete external fields; complete channels DESCRIPTIVE_MATERIA:5|MATERIA_OR_INGREDIENT:2|OPEN:5|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:3|QUANTITY_OR_PART:1; layout first/last 1/5; historical Calide in 2o gradu (HX001)	The corrected whole-pair retains HOT plus middle stage and independent fields lean descriptive or materia rather than command.	NONE	E024	E050	QUALITY_STATE_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
5	qokeol	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	calide in secundo gradu	heiß im zweiten Grad	Arbeitshypothese: heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	whole axes HOT|MIDDLE_STAGE; 34 exact occurrences, 13 complete external fields; complete channels DESCRIPTIVE_MATERIA:4|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:1|OPEN:5|PRESCRIPTIVE_RECIPE:2; layout first/last 3/1; historical Calide in 2o gradu (HX001)	The corrected whole-pair retains the same HOT plus middle-stage role; no independent q-side command split survives.	NONE	E024	E050	QUALITY_STATE_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
6	olchedy	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	siccum	getrocknet	Arbeitshypothese: getrocknet	C1_CONSTRAINED_CANDIDATE	whole axes DRY|MATERIAL|PREPARATION|PROCESS|CLOSE; 20 exact occurrences, 7 complete external fields; complete channels DESCRIPTIVE_MATERIA:3|OPEN:4; layout first/last 1/5; historical siccum (HX002|HX007)	Three of seven complete independent fields are descriptive materia and the form is relatively late, favouring a state over an imperative.	changes GDT754 broad register family	E043	E025	QUALITY_STATE_OR_DEGREE_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
7	chees	Arbeitshypothese: trocken, End-/Vollstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	siccum	vollständig getrocknet	Arbeitshypothese: vollständig getrocknet	C1_CONSTRAINED_CANDIDATE	whole axes DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS; 29 exact occurrences, 11 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:3|MATERIA_OR_INGREDIENT:1|OPEN:2|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:1; layout first/last 1/0; historical siccum (HX002|HX007)	DRY plus end-stage and a descriptive-leaning external mix favour a completed state; process remains an alternate.	changes GDT754 broad register family	E043	E025	QUALITY_STATE_OR_DEGREE_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
8	qopchedy	Arbeitshypothese: trocken, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	usque ad mediam partem	bis zur Hälfte trocknen	Arbeitshypothese: bis zur Hälfte trocknen	C1_CONSTRAINED_CANDIDATE	whole axes DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE; 23 exact occurrences, 13 complete external fields; complete channels DESCRIPTIVE_MATERIA:4|OPEN:6|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2; layout first/last 1/2; historical usque ad mediam partem (HX005)	MIDDLE_STAGE plus DRY and PROCESS matches an attested until-half process target, with the drying operation supplied only by the whole-role hypothesis.	NONE	E043	E019	RECIPE_ACTION_OR_COMMAND_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
9	okam	Arbeitshypothese: heiß/warm, Index/Stufe I, Mengen-/Maßfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	drachma i	eine Drachme	Arbeitshypothese: eine Drachme	C1_CONSTRAINED_CANDIDATE	whole axes HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION; 17 exact occurrences, 5 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|OPEN:3|PRESCRIPTIVE_RECIPE:1; layout first/last 0/11; historical drachm logogram (HX006|HX009)	AMOUNT plus level I and eleven of seventeen line-final occurrences fit a compact terminal dose or measure.	NONE	E005	E006	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
10	qoaiin	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Recipe iii vel iiii guttas	nimm drei Einheiten	Arbeitshypothese: nimm drei Einheiten	C1_CONSTRAINED_CANDIDATE	whole axes LEVEL_III|PROCESS; 20 exact occurrences, 5 complete external fields; complete channels DESCRIPTIVE_QUALITY:1|OPEN:2|PRESCRIPTIVE_RECIPE:1|QUANTITY_OR_PART:1; layout first/last 5/0; historical R. iii vel iiii guttas (HX002)	LEVEL_III plus PROCESS and a relatively early profile fit a terse command-number macro better than a descriptive degree.	NONE	E049	E016	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
