gdt755_occurrence_id	bridge_rank	surface	selected_role_axes_not_used_as_self_anchor	gdt754_whole_default_not_used_as_self_anchor	page	physical_folio	locus	token_ordinal	line_token_count	normalized_position	line_position	paragraph_first_token	paragraph_last_token	section	language	hand	written_line_eva	left_extent	right_extent	left_boundary_reason	right_boundary_reason	boundary_complete	independent_anchor_count	independent_anchor_surfaces	independent_anchor_tags	independent_anchor_evidence	field_channel	slot_class	suspect_172_neighbor_cells_with_axes_excluded	unknown_neighbor_cells	target_current_cache_value_not_used_as_anchor	target_current_cache_confidence_not_used_as_anchor	all_172_productive_compound_axes_excluded_from_field	reader_exact_target	literal_identity	confirmed_lexeme	component_export_credit
G755-O0001	7	chees	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	Arbeitshypothese: trocken, End-/Vollstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	f2v	f2	f2v.7	5	7	0.666667	MIDDLE	0	0	H	A	1	daiin chotchey qoteeey chokeos chees chr cheaiin	4	2	LINE_EDGE_AFTER_R4	LINE_EDGE_AFTER_R2	1	1	cheaiin	DRY	R2 cheaiin=trocken im dritten Grad [DRY;W2_PROVISIONAL_WORKING]	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	1	3	vollständig getrocknete Kräutermischung	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
G755-O0002	4	okeol	HOT|MIDDLE_STAGE	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	f3v	f3	f3v.9	2	5	0.250000	MIDDLE	0	0	H	A	1	ytcheear okeol cthodoaly chor cthy	1	3	LINE_EDGE_AFTER_R1	LINE_EDGE_AFTER_R3	1	1	cthy	MATERIAL	R3 cthy=CTH-Drogenmaterial [MATERIAL;W3_SOLID_WORKING_THEORY]	MATERIA_OR_INGREDIENT	LEMMA_OR_INGREDIENT	0	2	Grundansatz bis zur mittleren Heizstufe erwärmt	W2_PROVISIONAL_WORKING	1	1	OPEN	0	0
G755-O0003	14	chky	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	f3v	f3	f3v.13	6	6	1.000000	LAST	0	0	H	A	1	shar shkaiin qokchy yty cthal chky	5	0	RADIUS5_CENSORED	LINE_EDGE_AFTER_R0	0	3	cthal|shkaiin|shar	HOT|MOIST|PART|MATERIAL|LEVEL_III	L5 shar=angefeuchtete Drogenfraktion I [MOIST|PART|MATERIAL;W3_SOLID_WORKING_THEORY] || L4 shkaiin=eingeweichte und erhitzte Droge auf Stufe III [HOT|MATERIAL|LEVEL_III;W3_SOLID_WORKING_THEORY] || L1 cthal=Pflanzendroge aus Rohdroge I [MATERIAL;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	0	getrocknete Droge leicht erhitzen	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
G755-O0004	4	okeol	HOT|MIDDLE_STAGE	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	f4v	f4	f4v.12	3	8	0.285714	MIDDLE	0	0	H	A	1	qokey sho okeol s keey shar char ody	2	5	LINE_EDGE_AFTER_R2	CURRENT_CLOSE_INCLUDED_R5	1	3	sho|shar|ody	MOIST|PART|MATERIAL|PREPARATION|CLOSE|END_STAGE	L1 sho=feuchter Ansatz [MOIST|PREPARATION;W3_SOLID_WORKING_THEORY] || R3 shar=angefeuchtete Drogenfraktion I [MOIST|PART|MATERIAL;W3_SOLID_WORKING_THEORY] || R5 ody=fertiggestellter Ansatz [PREPARATION|CLOSE|END_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	0	Grundansatz bis zur mittleren Heizstufe erwärmt	W2_PROVISIONAL_WORKING	1	1	OPEN	0	0
G755-O0005	10	qoaiin	LEVEL_III|PROCESS	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	f5r	f5	f5r.3	1	8	0.000000	FIRST	0	0	H	A	1	qoaiin otan chy daiin oteeeb chocthy otchy qotchody	0	5	LINE_EDGE_AFTER_R0	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	0	1	nimm drei Teile	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
G755-O0006	10	qoaiin	LEVEL_III|PROCESS	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	f5r	f5	f5r.5	3	8	0.285714	MIDDLE	0	0	H	A	1	tchy shody qoaiin cholols sho qotcheo daiin shodaiin	2	5	LINE_EDGE_AFTER_R2	RADIUS5_CENSORED	0	3	shody|sho|shodaiin	MOIST|AMOUNT|PREPARATION|END_STAGE	L1 shody=vollständig eingeweichter Ansatz [PREPARATION|END_STAGE;W3_SOLID_WORKING_THEORY] || R2 sho=feuchter Ansatz [MOIST|PREPARATION;W3_SOLID_WORKING_THEORY] || R5 shodaiin=drei Portionen Feuchtansatz [MOIST|AMOUNT|PREPARATION;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	2	nimm drei Teile	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
G755-O0007	16	ychor	PART|PASS	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	f6v	f6	f6v.8	1	4	0.000000	FIRST	0	0	H	A	1	ychor chor okchey qokom	0	3	LINE_EDGE_AFTER_R0	LINE_EDGE_AFTER_R3	1	2	okchey|qokom	HOT|DRY|AMOUNT|PREPARATION|PROCESS|MIDDLE_STAGE	R2 okchey=heiß-trockener Ansatz in der Mitte des Grades [HOT|DRY|PREPARATION|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY] || R3 qokom=erhitze eine Handvoll Ansatz [HOT|AMOUNT|PREPARATION|PROCESS;W2_PROVISIONAL_WORKING]	PRESCRIPTIVE_RECIPE	INGREDIENT_OR_COMMAND_CONTENT	0	0	nimm hiervon den Pflanzenteil	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
G755-O0008	14	chky	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	f8r	f8	f8r.5	8	11	0.700000	MIDDLE	0	0	H	A	1	okchey do r cheeey dy ky scho chky ooaiin chy taiin	0	3	STRICT_INITIAL_BEFORE_R1	LINE_EDGE_AFTER_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	0	1	getrocknete Droge leicht erhitzen	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
G755-O0009	10	qoaiin	LEVEL_III|PROCESS	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	f9v	f9	f9v.2	2	11	0.100000	MIDDLE	0	0	H	A	1	dchor qoaiin chkaiin cthor chol chor cphol dy oty qokaiin dy	1	5	LINE_EDGE_AFTER_R1	RADIUS5_CENSORED	0	4	dchor|chkaiin|cthor|cphol	HOT|DRY|AMOUNT|PART|MATERIAL|LEVEL_III	L1 dchor=abgemessener Pflanzenteil [PART;W3_SOLID_WORKING_THEORY] || R1 chkaiin=heiß-trocken, Grad III [HOT|DRY|LEVEL_III;W3_SOLID_WORKING_THEORY] || R2 cthor=eine Portion Pflanzendroge [AMOUNT|MATERIAL;W3_SOLID_WORKING_THEORY] || R5 cphol=zusammengesetzter Drogenstoff [MATERIAL;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	0	nimm drei Teile	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
G755-O0010	16	ychor	PART|PASS	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	f9v	f9	f9v.11	1	4	0.000000	FIRST	0	0	H	A	1	ychor chshoty oky kaiin	0	3	LINE_EDGE_AFTER_R0	LINE_EDGE_AFTER_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	0	0	nimm hiervon den Pflanzenteil	W3_SOLID_WORKING_THEORY	1	1	OPEN	0	0
