family_id	family_head_de	semantic_cues	candidate_count	controlled_phrases	atomic_values_de	source_events	next_teaching_move
A02	Festmachen	BINDEN	2	SCHLUSS[Bindestufe]|SCHLUSS[befestigen]	Bindestufe|befestigen	2	WHOLE_CARD_PAIR
B01	Material	PORTION+PFLANZENTEIL	2	BEZUG[Pflanzenteil]|BEZUG[Wurzelteil]	Pflanzenteil|Wurzelteil	2	WHOLE_CARD_PAIR
B03	Ansatz	ANSATZ	2	BEZUG[Ansatz]|BEZUG[Auszugsansatz]	Ansatz|Auszugsansatz	8	WHOLE_CARD_PAIR
B03	Ansatz	FOLGE+ANSATZ	2	BEZUG[Folgeansatz]|BEZUG[Fortsetzungsansatz]	Folgeansatz|Fortsetzungsansatz	4	WHOLE_CARD_PAIR
B04	Fortsetzung	FOLGE	6	BEZUG[Anschluss]|BEZUG[Folgefortsetzung]|BEZUG[Fortsetzung]|BEZUG[Weiterlauf]|BEZUG[Weiterweg]|BEZUG[weiterführen]	Anschluss|Folgefortsetzung|Fortsetzung|Weiterlauf|Weiterweg|weiterführen	27	WHOLE_CARD_ROW
B04	Fortsetzung	FOLGE+LANG	3	BEZUG[Langfolge]|BEZUG[Langfolgestufe]|BEZUG[Langfortsetzung]	Langfolge|Langfolgestufe|Langfortsetzung	5	WHOLE_CARD_ROW
B04	Fortsetzung	FOLGE+POSTEN	3	BEZUG[Folgefortsetzungsposten]|BEZUG[Folgeposten]|BEZUG[Weiterposten]	Folgefortsetzungsposten|Folgeposten|Weiterposten	5	WHOLE_CARD_ROW
D04	Wärmen	LANG	2	ZUSTAND[Langwärme]|ZUSTAND[Langwärmen]	Langwärme|Langwärmen	4	WHOLE_CARD_PAIR
M01	Sollmaß	MASS	2	MASS[Sollmaß]|MASS[Sollstellung]	Sollmaß|Sollstellung	28	WHOLE_CARD_PAIR
M02	Portion	POSTEN+PORTION	2	MASS[Postenportion]|MASS[Postenzweitportion]	Postenportion|Postenzweitportion	2	WHOLE_CARD_PAIR
M03	Zugabe	ZUGABE	4	MASS[Auszugzugabe]|MASS[Einlage]|MASS[Zugabe]|MASS[Zusatz]	Auszugzugabe|Einlage|Zugabe|Zusatz	12	WHOLE_CARD_ROW
T01	Transfer	OHNE_ZUSATZ	2	TRANSFER[Auszugnahme]|TRANSFER[Laufschluss]	Auszugnahme|Laufschluss	2	WHOLE_CARD_PAIR
T01	Transfer	TRANSFER	4	TRANSFER[Transfer]|TRANSFER[Umsetzen]|TRANSFER[Umsetzschluss]|TRANSFER[überführen]	Transfer|Umsetzen|Umsetzschluss|überführen	17	WHOLE_CARD_ROW
T03	Abführung	ABFÜHREN	5	TRANSFER[Abführgut]|TRANSFER[Abführung]|TRANSFER[Abzug]|TRANSFER[abführen]|TRANSFER[abziehen]	Abführgut|Abführung|Abzug|abführen|abziehen	14	WHOLE_CARD_ROW
T03	Abführung	QUELLE+ABFÜHREN	2	TRANSFER[Quellabführung]|TRANSFER[Quellabzug]	Quellabführung|Quellabzug	2	WHOLE_CARD_PAIR
T04	Durchgang	DURCHGANG	3	TRANSFER[Beckenlauf]|TRANSFER[durchlassen]|TRANSFER[durchleiten]	Beckenlauf|durchlassen|durchleiten	8	WHOLE_CARD_ROW
T04	Durchgang	KURZ+DURCHGANG	2	TRANSFER[Kurzdurchgang]|TRANSFER[Kurzpassage]	Kurzdurchgang|Kurzpassage	2	WHOLE_CARD_PAIR
T05	Absetzen	ABSETZEN	3	TRANSFER[Absetzschluss]|TRANSFER[Einsatzabsetzen]|TRANSFER[Standzeit]	Absetzschluss|Einsatzabsetzen|Standzeit	3	WHOLE_CARD_ROW
T07	Klären	KLÄREN+ABFÜHREN	2	TRANSFER[Klarabzug]|TRANSFER[Trennabzug]	Klarabzug|Trennabzug	2	WHOLE_CARD_PAIR
T09	Waschgang	WASCHEN	2	TRANSFER[Waschgang]|TRANSFER[Wasserzulauf]	Waschgang|Wasserzulauf	4	WHOLE_CARD_PAIR
Z01	Zielstelle	ZIEL	6	ZIEL[Stelle]|ZIEL[Zieleingabe]|ZIEL[Zieleinsatz]|ZIEL[Zielmarke]|ZIEL[Zielschluss]|ZIEL[Zwischenziel]	Stelle|Zieleingabe|Zieleinsatz|Zielmarke|Zielschluss|Zwischenziel	21	WHOLE_CARD_ROW
Z02	Einsetzen	OHNE_ZUSATZ	4	ZIEL[Einsetzen]|ZIEL[Laufeinsatz]|ZIEL[Neueinsatz]|ZIEL[Wiedereinsatz]	Einsetzen|Laufeinsatz|Neueinsatz|Wiedereinsatz	19	WHOLE_CARD_ROW
