order_id	biological_record	station_block	owner_de	statement_trace	first_mark	last_mark	marks	surface_sequence	literal_sequence_de
WH01	B1	WH01-ST01	gemeinsame zweireihige Figuren-/Beckenstation	B1-S001,B1-S002,B1-S003,B1-S004,B1-S005,B1-S006,B1-S007,B1-S008,B1-S009,B1-S010,B1-S011,B1-S012,B1-S013,B1-S014,B1-S015,B1-S016,B1-S017,B1-S018,B1-S019,B1-S020,B1-S021	WH01-R015	WH01-R080	66	qokedy qokaiin kair qokal char ol kain olkain dal ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy ol sshkchdy chedy ol shedy qolchedy qokain chckhy dl ral qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky lsho okey lshedy lshedy chedy qolky lchedal ol otar ytey okchedy qokal qokeey ol shedy dal teol dchdy ly dsheol oiiin olkeedy shedy cheky shckhedy dal	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · EIN ABGEGRENZTER TEIL; WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL; ZIELSTELLE; WEITER; ABKUEHLEN UND WEITERARBEITEN; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · ZIELSTELLE; EIN KLEINER SCHOEPFBECHER; ANSETZEN · DREI KURZE ARBEITSGAENGE · ZIELSTELLE; EIN KLEINER SCHOEPFBECHER; DURCHLASS · POSTEN; UMSETZEN · SCHLUSS; WEITER; HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS; UMSETZEN · POSTEN; WEITER; STEHENLASSEN · SCHLUSS; WEITER · UMSETZEN · SCHLUSS; ANSETZEN · EIN ABGEGRENZTER TEIL; DURCHLASS · POSTEN; LEITEN; KUEHLEN · ZIELSTELLE; ANSETZEN · UMSETZEN · SCHLUSS; POSTEN; WEITER; WAERMEN · EIN KURZER ARBEITSGANG · POSTEN; WEITER; STEHENLASSEN · SCHLUSS; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS; DURCHLASS · POSTEN; ANSETZEN · POSTEN; SPUELEN · ARBEITSGANG; ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN; SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS; SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS; UMSETZEN · POSTEN; SAMMELN · POSTEN; LEITEN · UMSETZEN · ZIELSTELLE; WEITER; DANACH · QUELLE; BEARBEITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · UMSETZEN · SCHLUSS; ANSETZEN · ZIELSTELLE; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; WEITER; STEHENLASSEN · SCHLUSS; ZIELSTELLE; EIN KURZER ARBEITSGANG · WEITER; UMSETZEN · SCHLUSS; LEITEN · POSTEN; HALTEN · EIN KURZER ARBEITSGANG · WEITER; ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE; SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS; STEHENLASSEN · SCHLUSS; WAERMEN · EIN KURZER ARBEITSGANG · POSTEN; HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS; ZIELSTELLE
WH02	B2	WH02-ST01	oberes Beckenpaar mit Zylinder	B2-S001,B2-S002,B2-S003,B2-S004,B2-S005,B2-S006	WH02-R018	WH02-R039	22	schedy qolchedy qokain chey qokeedy qokal lcheckhy lched qokeey lcheckhedy qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy oteey qokal sheckhy qoky	UMSETZEN · SCHLUSS; WEITER · UMSETZEN · SCHLUSS; ANSETZEN · EIN ABGEGRENZTER TEIL; POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; ANSETZEN · ZIELSTELLE; LEITEN · DURCHLASS · POSTEN; LEITEN · UMSETZEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; LEITEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS; ANSETZEN · ZIELSTELLE · POSTEN; SAMMELN · EIN KLEINER SCHOEPFBECHER; DURCHLASS · POSTEN; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ARBEITSGANG · BEREITEN · EIN KURZER ARBEITSGANG · WEITER; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN; LEITEN · SCHLUSS; DANACH · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · ZIELSTELLE; HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · POSTEN; ANSETZEN · POSTEN
WH02	B2	WH02-ST02	mittleres linkes Handgerät mit Inline-Knoten	B2-S007,B2-S008,B2-S009,B2-S010	WH02-R040	WH02-R048	9	dshedy otaiin qokar shedy solshedy qokeey qoky ls cheey	HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS; DANACH · EIN KLEINER SCHOEPFBECHER; ANSETZEN · QUELLE; STEHENLASSEN · SCHLUSS; WEITER · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · POSTEN; WEITERARBEITEN; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN
WH02	B2	WH02-ST03	mittlere rechte unklare Station	B2-S011,B2-S012	WH02-R049	WH02-R053	5	qokain char qokain qokeedy lchy	ANSETZEN · EIN ABGEGRENZTER TEIL; QUELLE; ANSETZEN · EIN ABGEGRENZTER TEIL; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; LEITEN · ENTNEHMEN · POSTEN
WH02	B2	WH02-ST04	unteres grünes Mehrfigurenbecken	B2-S012,B2-S013,B2-S014	WH02-R054	WH02-R062	9	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; DEN POSTEN LAENGER LEITEN; EIN KLEINER SCHOEPFBECHER; POSTEN; DEN GANZEN POSTEN ANSETZEN UND SCHLIESSEN; LEITEN · UMSETZEN · SCHLUSS; LEITEN · QUELLE
WH02	B2	WH02-ST05	kleine Randstationen des unteren Beckens	B2-S015,B2-S016,B2-S017,B2-S018,B2-S019,B2-S020,B2-S021,B2-S022	WH02-R063	WH02-R079	17	tshey qokeedy dal lchedar ches daiin oteey qokaiin okey pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	HALTEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; ZIELSTELLE; LEITEN · UMSETZEN · QUELLE; ENTNEHMEN · EIN KURZER ARBEITSGANG · PROBE; EIN KLEINER SCHOEPFBECHER; DANACH · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN; EINBRINGEN · UMSETZEN · SCHLUSS; KUEHLEN · HALTEN · EIN KURZER ARBEITSGANG · ZIELSTELLE; ZIELSTELLE · SCHLUSS; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; KUEHLEN · STEHENLASSEN · SCHLUSS; DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS
WH03	B3	WH03-ST01	obere offene Fächerstation am Rand	B3-S001,B3-S002,B3-S003,B3-S004	WH03-R015	WH03-R024	10	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal char	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS; DANACH · ZIELSTELLE; WAERMEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; POSTEN; EIN KLEINER SCHOEPFBECHER; POSTEN; LEITEN · UMSETZEN · SCHLUSS; ANSETZEN · EIN KLEINER SCHOEPFBECHER; DANACH · ZIELSTELLE; QUELLE
WH03	B3	WH03-ST02	mittlere Randfigur im runden Gefäß	B3-S005,B3-S006,B3-S007,B3-S008,B3-S009	WH03-R025	WH03-R033	9	schedy chedchy qokal qolchedy qokaiin chedy qokeedy lchedy qoky	UMSETZEN · SCHLUSS; UMSETZEN · POSTEN; ANSETZEN · ZIELSTELLE; WEITER · UMSETZEN · SCHLUSS; ANSETZEN · EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; LEITEN · UMSETZEN · SCHLUSS; ANSETZEN · POSTEN
WH03	B3	WH03-ST03	untere Randfigur im korbartigen Gefäß	B3-S010,B3-S011,B3-S012,B3-S013,B3-S014,B3-S015,B3-S016	WH03-R034	WH03-R049	16	pchedal otedy shecthedchy qoky chedy chary or shedy qokaiin kain qcthey qokedy okair sheedy lchedy lo	EINBRINGEN · UMSETZEN · ZIELSTELLE; DANACH · EIN KURZER ARBEITSGANG · SCHLUSS; HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · UMSETZEN · POSTEN; ANSETZEN · POSTEN; UMSETZEN · POSTEN; QUELLE · POSTEN; ANSATZ; STEHENLASSEN · SCHLUSS; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ZUGEBEN · EIN ABGEGRENZTER TEIL; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS; ANSETZEN · WASSER; HALTEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; LEITEN · UMSETZEN · SCHLUSS; LEITEN · ARBEITSGANG
WH03	B3	WH03-ST04	unverbundener Zwischenbereich	B3-S016,B3-S017,B3-S018,B3-S019,B3-S020,B3-S021,B3-S022,B3-S023,B3-S024,B3-S025,B3-S026	WH03-R050	WH03-R076	27	okchedy qokeedy shedy qokshedy dal lchedy qokaiin checthy dal chey daiin shedal shecthy chey dal checthy dalchdy qotchedy lchedy schedy qokchdy cheedar chldaiin chedy qokain checthy chealror	ANSETZEN · UMSETZEN · SCHLUSS; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS; STEHENLASSEN · SCHLUSS; ANSETZEN · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS; ZIELSTELLE; LEITEN · UMSETZEN · SCHLUSS; ANSETZEN · EIN KLEINER SCHOEPFBECHER; BEREITEN · POSTEN; ZIELSTELLE; POSTEN; EIN KLEINER SCHOEPFBECHER; STEHENLASSEN · ZIELSTELLE; HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · POSTEN; POSTEN; ZIELSTELLE; BEREITEN · POSTEN; ZIELSTELLE · UMSETZEN · SCHLUSS; DANACH · UMSETZEN · SCHLUSS; LEITEN · UMSETZEN · SCHLUSS; UMSETZEN · SCHLUSS; ANSETZEN · UMSETZEN · SCHLUSS; DREI KURZE ARBEITSGAENGE · QUELLE; LEITEN · EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; ANSETZEN · EIN ABGEGRENZTER TEIL; BEREITEN · POSTEN; ZIELSTELLE · KUEHLEN · ANSATZ
