locus	head_ordinals	value_ordinals	close_ordinal	decision	contextual_reading_de	note
f112r.36	5	6	NONE	BIND	heißer Ansatz am Ende des Grades: ein Maß Ansatz-/Drogenmaterial	OLAM is the adjacent unit of OKEEY.
f112v.10	3	4	NONE	BIND	heiß-trockener Mittelstufenansatz, abgeschlossen: zwei Portionen	OROR is the terminal quantity of OKCHEDY.
f113v.17	4	5	NONE	BIND	erhitzte Fraktion I im Ansatz: Grad III	OKAIIN is the adjacent grade of OLKAR; local wood cue remains separate.
f113v.3	6	7	NONE	BIND	Holzdrogen-Grundansatz: ein Maß	OLAM binds locally to OLOL; O+L versus OL stays globally open.
f26r.2	1	2	NONE	BIND_NOMINAL	abgemessene Trockendroge der Mittelstufe, abgeschlossen: Menge III	AIIN forces the initial DCHEY occurrence to a nominal measured result rather than one dose plus value III.
f75r.3	8	9	NONE	BIND	erhitzte Fraktion I im Ansatz: eine Drogenportion	OR is the adjacent quantity of OLKAR.
f76v.10	8	9	10	BIND	mittelstufig eingeweichtes Arzneikompositum: Wert III; Feld geschlossen	DAIIN binds to SHECPHY and DY closes the value field.
f80r.17	9	10	NONE	BIND	erhitzte Fraktion I im Ansatz: Grad II	OKAIN is the adjacent grade of OLKAR.
f86v5.4	10	11	NONE	BIND	erhitzte Fraktion I im Ansatz: eine Maßeinheit	AM is the adjacent unit of OLKAR.
f86v6.5	4	5	NONE	BIND	erhitzte Fraktion I im Ansatz: Grad III	DAIIN is the adjacent grade of OLKAR.
f113v.12	4	5	NONE	PROVISIONAL	vorstehender offener OL-CHEY-Kopf: zwei Portionen	OROR is adjacent, but the head gloss remains open.
f114r.26	9	10	NONE	PROVISIONAL	vorstehender offener AIROY-Kopf: ein Maß	OLAM is adjacent, but the head gloss remains open.
f86v6.4	12	13	NONE	PROVISIONAL	erhitzte Fraktion I im Ansatz: ein Maß Rohdroge I	DALAM is adjacent; keep the binding provisional.
f107r.40	7	8	NONE	REJECT_JUMP	erhitzte Fraktion I und danach zweite kalte Fraktion	OTAIR is a contrast item, not a value of OLKAR.
f56r.6	3	5	NONE	REJECT_JUMP	abgemessene Trockendroge; heiß am Ende des Grades: Wert III	DAIIN attaches to the nearer KEEY, not back across it to DCHEY.
f86v3.13	6	7	NONE	REJECT_JUMP	erhitzte Fraktion I; danach abgemessene Trockendroge Dosis III	CHEDAIIN is a new head, not a value of OLKAR.
f86v5.24	8	7|9	NONE	REJECT_JUMP	kalter Grad III; erhitzte Fraktion I; kalter Grad III	The flanking OTAIIN fields form a contrast series, not OLKAR values.
