locus	line_mode	action_ordinals	working_line_de	review_note
f102v2.3	QUANTITY_LABEL	NONE	Zwei Portionen.	HOLD: oror ist hier ein vollständiges Mengenlabel.
f104v.2	NOMINAL_REGISTER	NONE	⟦ychedaiin:?⟧ · ⟦qoteed:?⟧ · Arzneikompositum im Trockenansatz, Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ⟦qokamdy:?⟧ · ⟦otarar:?⟧ · Rohdroge I, bis Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.	HOLD/SPLIT: alched ist hier klar resultative Rohdroge, kein Trocknungsbefehl.
f105r.2	MIXED_RECORD	11|13	Dosis oder Charge vollständig eingeweichter Arzneispecies · ⟦yey:?⟧ · trocken, Endstufe · Wurzel, Charge III · kalt-trockener Ansatz, Anfangsstufe, abgeschlossen · ⟦qodor:?⟧ · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken, Endstufe · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · Zubereitung fertigstellen.	HOLD: dshees ist nominale Dosis/Charge; die Handlungen stehen erst am Zeilenende.
f105r.31	NOMINAL_REGISTER	NONE	⟦kodeey:?⟧ · getrocknetes Drogenholz · ⟦shx:?⟧ · Drogenfraktion I · ⟦aiijy:?⟧ · ⟦cpheesy:?⟧ · Rohstoffklasse I im heißen Anfangsansatz · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken, Mittelstufe, abgeschlossen · heiß, Grad III · Drogenportion · ⟦fchoky:?⟧.	HOLD: lchl als getrocknetes Drogenholz passt in das Holz-/Fraktionsregister.
f105v.1	MIXED_RECORD	4	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · hiervon auf Stufe III erhitzen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	HOLD/SPLIT: olpchedy bezeichnet das Ergebnis der unmittelbar vorausgehenden Erhitzung.
f105v.14	ACTION_SEQUENCE	3|8|10	⟦pchedaiin:?⟧ · trockenes Arzneikompositum, Anfangsstufe, abgeschlossen · dritte erhitzte Drogenfraktion nehmen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦olord:?⟧ · Menge/Klasse IV · ⟦tail:?⟧ · erste Ansatzfraktion abmessen · ⟦kard:?⟧ · Droge kalt trocknen und leicht nachtrocknen.	HOLD/SPLIT: olpchedy ist das entnommene Fertigpulver, nicht ein zweiter Befehl.
f106r.23	MIXED_RECORD	2	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · ⟦aror:?⟧.	HOLD/SPLIT: shecphy ist ein eingeweichtes Fertigergebnis innerhalb einer gestuften Fraktionszeile.
f107r.2	MIXED_RECORD	1|6	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦qoteos:?⟧ · Menge III · feucht, Mittelstufe, abgeschlossen · ⟦oteed:?⟧ · eine Drogenportion nehmen · Menge III · trocken angesetztes Arzneikompositum, Anfangsstufe · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken, Mittelstufe · ⟦qeeey:?⟧ · Holzportion.	HOLD: zeileninitiales dchey trägt hier eine echte Handlungsvalenz.
f107r.40	NOMINAL_REGISTER	NONE	⟦lolkaiin:?⟧ · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	HOLD: olkar ist eine erhitzte Fraktion; die mögliche Holzbindung bleibt offen.
f10r.2	MIXED_RECORD	1	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦cthoor:?⟧ · Trockenfraktion I · trocken-kalt, Anfangsstufe · Ansatzcharge · ⟦chair:?⟧ · ⟦otytchol:?⟧ · heißer Ansatz, Anfangsstufe · Grad/Maß III · ⟦etyd:?⟧.	HOLD: dchey kann zeileninitial als Anweisung stehen; der Rest spezifiziert Charge und Stufe.
