master_card_id	master_head_form	registered_surface_family	atom_sequence	predicted_nucleus_de	existing_short_meaning_de	source_component_formula	prose_event_count	prediction_use_de
MC009	chary	chary	AR+Y	POSTEN VOM AUSGANG	aus diesem Posten	AR_FROM+Y_CURRENT	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC001	chdal	chdal	CHD+AL	ZUM ZIEL ÜBERTRAGEN	dort umsetzen	CHD_TRANSFER+AL_TO	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC145	chedain	chedain	CHD+AIN	ANTEIL ÜBERTRAGEN	Portion umsetzen	CHED_TRANSFER+AIN_PORTION	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC042	cheedar	cheedar	CHD+AR	VOM AUSGANG ÜBERTRAGEN	von dort umsetzen	CHED_TRANSFER+AR_FROM	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC105	chkain	chkain|kain	AIN	ANTEIL	eine Portion	AIN_PORTION	3	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC125	chochor	chochor	HO+OR	EINGANGSANSATZ	Zutatenansatz	HO_INGREDIENT+OR_BATCH	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC087	chodaiin	chodaiin	HO+AIIN	EINGANGSWERT	Zutatenmaß	HO_INGREDIENT+AIIN_MEASURE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC010	chodaly	chodaly	HO+AL+Y	EINGANGSPOSTEN ZUM ZIEL	diese Zutat zur Stelle bringen	HO_INGREDIENT+AL_TO+Y_ITEM	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC131	choy	choy	HO+Y	AKTUELLER EINGANGSPOSTEN	diese Zutat	HO_INGREDIENT+Y_CURRENT	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC031	dalchdy	dalchdy	AL+CHD+CLOSE	ZUM ZIEL ÜBERTRAGEN; SCHLUSS	dorthin umsetzen; Schluss	D+AL_TO+CHD_TRANSFER+CLOSE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC139	dchdy	dchdy	CHD+CLOSE	ÜBERTRAGEN; SCHLUSS	weitergeführten Posten überführen; Schluss	D+CHD_TRANSFER+CLOSE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
