master_card_id	master_head_form	shared_visible_surfaces	atom_sequence	portable_nucleus_de	current_prose_meaning_de	prose_event_count	composition_mode
MC002	okeey	okeey	OK+EE+Y	LANGE STUFE SETZEN	länger ansetzen	7	PORTABLE_ATOM_COMPOSITION
MC007	okey	okey	OK+E+Y	KURZE STUFE SETZEN	kurz ansetzen	2	PORTABLE_ATOM_COMPOSITION
MC017	okain	okain	OK+AIN	GEZÄHLTEN TEIL ZUGEBEN	eine Portion zugeben	7	PORTABLE_ATOM_COMPOSITION
MC019	oldy	oldy	OL+CLOSE	FORTSETZEN; SCHLUSS	Fortsetzung abschließen	2	PORTABLE_ATOM_COMPOSITION
MC026	choky	choky;oky	OK+Y	AKTUELLEN POSTEN SETZEN	aktuellen Posten ansetzen	10	PORTABLE_ATOM_COMPOSITION
MC034	cho	cho	HO	EINGANGSPOSTEN	Zutat	4	PORTABLE_ATOM_COMPOSITION
MC039	aiin	aiin;daiin;saiin	AIIN	VORGABEWERT	Sollmaß	20	PORTABLE_ATOM_COMPOSITION
MC040	okal	okal	OK+AL	AM ZIEL SETZEN	dort ansetzen	6	PORTABLE_ATOM_COMPOSITION
MC053	otol	otol	OT+OL	DANACH FORTSETZEN	danach fortsetzen	1	PORTABLE_ATOM_COMPOSITION
MC055	char	char;dar;sar	AR	VOM AUSGANG	aus dem Ansatz	5	PORTABLE_ATOM_COMPOSITION
MC059	dain	dain	DAIN	ABDECKTRÄGER	Tuch	2	LEARNED_PORTABLE_WHOLE_CARD
MC063	oteey	oteey	OT+EE+Y	NÄCHSTER POSTEN; LANGE STUFE	langer Folgeposten	2	PORTABLE_ATOM_COMPOSITION
MC067	otchdy	otchdy	OT+CHD+CLOSE	FOLGENDEN POSTEN ÜBERTRAGEN; SCHLUSS	Folgegang vollziehen; Schluss	1	PORTABLE_ATOM_COMPOSITION
MC074	chdy	chdy	CHD+Y	AKTUELLEN POSTEN ÜBERTRAGEN	laufenden Posten umsetzen	11	PORTABLE_ATOM_COMPOSITION
MC080	chor	or;sor	OR	ANSATZ	Ansatz	7	PORTABLE_ATOM_COMPOSITION
MC095	sheey	sheey	SH+EE+Y	LÄNGER HALTEN	laenger ruhen	1	PORTABLE_ATOM_COMPOSITION
MC100	ody	ody	ODY	ZURÜCKNEHMEN	kühlen	1	LEARNED_PORTABLE_WHOLE_CARD
MC103	chokchy	okchy	OK+Y	AKTUELLEN POSTEN SETZEN	Posten zur Weiterbearbeitung ansetzen	3	PORTABLE_ATOM_COMPOSITION
MC117	kchy	kchy	KCH+Y	BEARBEITEN	diesen Posten bearbeiten	1	PORTABLE_ATOM_COMPOSITION
MC119	cheey	cheey;shey	CHEEY	FREIGEGEBENER WERT	klarer Auszug	4	LEARNED_PORTABLE_WHOLE_CARD
MC121	otar	otar	OT+AR	DANACH VOM AUSGANG	danach von dort	1	PORTABLE_ATOM_COMPOSITION
MC122	kchey	kchey	KCH+E+Y	KURZ BEARBEITEN	diesen Posten kurz bearbeiten	1	PORTABLE_ATOM_COMPOSITION
MC123	chey	chey;chy;dy;sy;y	Y	AKTUELLER POSTEN	dieser Posten	18	PORTABLE_ATOM_COMPOSITION
MC140	qokeeedy	qokeeedy	OK+EEE+CLOSE	VOLLSTÄNDIG SETZEN; SCHLUSS	vollständig ansetzen; Schluss	1	PORTABLE_ATOM_COMPOSITION
MC153	cheol	chol;ol;tol	OL	FORTSETZEN	fortsetzen	19	PORTABLE_ATOM_COMPOSITION
MC154	al	cheal;dal;sal	AL	ZUM ZIEL	dorthin	10	PORTABLE_ATOM_COMPOSITION
MC157	cholor	olor	OL+OR	FORTGESETZTER ANSATZ	Fortsetzungsansatz	2	PORTABLE_ATOM_COMPOSITION
MC159	os	os	OS	UMSCHLIESSENDER TRÄGER	Mischgefäß	1	LEARNED_PORTABLE_WHOLE_CARD
MC171	otchey	otchey	OT+Y	NÄCHSTER POSTEN	nächster Teilposten	2	PORTABLE_ATOM_COMPOSITION
