unified_serial	register	page	source_group_id	reading_unit_id	visible_owner	visible_surface	lookup_id	resolved_entry_id	resolved_reading_de	lookup_status	shared_card_status	common_family_id	common_nucleus_de	final_register_reading_de	common_reader_path	portable_component_status	portable_atom_sequence	portable_nucleus_de	final_local_expansion_de
U001	PROSE	f10r	E001	H1-S001	NOT_REQUIRED	dchey	PR062	MC071	Wurzel	DIRECT_PROSE_SURFACE_PASS	NOT_SHARED_ACROSS_REGISTERS	LOCAL_OR_REGISTER_CARD	Wurzel	Wurzel	CURRENT_LOCAL_READER_VALUE	LOCAL_LEARNED_CARD	LOCAL_WHOLE	Wurzel	Wurzel
U002	PROSE	f10r	E002	H1-S001	NOT_REQUIRED	cthoor	PR050	MC158	Ansatz bereit	DIRECT_PROSE_SURFACE_PASS	NOT_SHARED_ACROSS_REGISTERS	LOCAL_OR_REGISTER_CARD	Ansatz bereit	Ansatz bereit	CURRENT_LOCAL_READER_VALUE	LOCAL_LEARNED_CARD	LOCAL_WHOLE	Ansatz bereit	Ansatz bereit
U003	PROSE	f10r	E003	H1-S001	NOT_REQUIRED	char	PR007	MC055	aus dem Ansatz	DIRECT_PROSE_SURFACE_PASS	COMMON_44_CARD	F02_AR_SOURCE	VOM AUSGANG	aus dem Ansatz	COMMON_NUCLEUS_THEN_REGISTER_EXPANSION	SHARED_SEED_CARD	AR	VOM AUSGANG	aus dem Ansatz
U004	PROSE	f10r	E004	H1-S001	NOT_REQUIRED	chty	PR046	MC086	Teil abtrennen	DIRECT_PROSE_SURFACE_PASS	NOT_SHARED_ACROSS_REGISTERS	LOCAL_OR_REGISTER_CARD	Teil abtrennen	Teil abtrennen	CURRENT_LOCAL_READER_VALUE	LOCAL_LEARNED_CARD	LOCAL_WHOLE	Teil abtrennen	Teil abtrennen
U005	PROSE	f10r	E005	H1-S001	NOT_REQUIRED	os	PR121	MC159	Mischgefäß	DIRECT_PROSE_SURFACE_PASS	COMMON_44_CARD	F17_OS_ENCLOSURE	UMSCHLIESSENDER TRÄGER	Mischgefäß	COMMON_NUCLEUS_THEN_REGISTER_EXPANSION	SHARED_SEED_CARD	OS	UMSCHLIESSENDER TRÄGER	Mischgefäß
U006	PROSE	f10r	E006	H1-S001	NOT_REQUIRED	chair	PR005	MC014	Wasserzulauf	DIRECT_PROSE_SURFACE_PASS	NOT_SHARED_ACROSS_REGISTERS	LOCAL_OR_REGISTER_CARD	Wasserzulauf	Wasserzulauf	CURRENT_LOCAL_READER_VALUE	LOCAL_LEARNED_CARD	LOCAL_WHOLE	Wasserzulauf	Wasserzulauf
U007	PROSE	f10r	E007	H1-S001	NOT_REQUIRED	otytchol	PR132	MC069	naechsten Teilposten weiterfuehren	DIRECT_PROSE_SURFACE_PASS	NOT_SHARED_ACROSS_REGISTERS	LOCAL_OR_REGISTER_CARD	naechsten Teilposten weiterfuehren	naechsten Teilposten weiterfuehren	CURRENT_LOCAL_READER_VALUE	LOCAL_LEARNED_CARD	LOCAL_WHOLE	naechsten Teilposten weiterfuehren	naechsten Teilposten weiterfuehren
U008	PROSE	f10r	E008	H1-S001	NOT_REQUIRED	oky	PR110	MC026	aktuellen Posten ansetzen	DIRECT_PROSE_SURFACE_PASS	COMMON_44_CARD	F07_OK_CURRENT_SET	AKTUELLEN POSTEN SETZEN	aktuellen Posten ansetzen	COMMON_NUCLEUS_THEN_REGISTER_EXPANSION	SHARED_SEED_CARD	OK+Y	AKTUELLEN POSTEN SETZEN	aktuellen Posten ansetzen
U009	PROSE	f10r	E009	H1-S001	NOT_REQUIRED	daiin	PR053	MC039	Sollmaß	DIRECT_PROSE_SURFACE_PASS	COMMON_44_CARD	F01_AIIN_VALUE	VORGABEWERT	Sollmaß	COMMON_NUCLEUS_THEN_REGISTER_EXPANSION	SHARED_SEED_CARD	AIIN	VORGABEWERT	Sollmaß
U010	PROSE	f10r	E010	H1-S001	NOT_REQUIRED	etyd	PR068	MC108	kleiner Restteil	DIRECT_PROSE_SURFACE_PASS	NOT_SHARED_ACROSS_REGISTERS	LOCAL_OR_REGISTER_CARD	kleiner Restteil	kleiner Restteil	CURRENT_LOCAL_READER_VALUE	LOCAL_LEARNED_CARD	LOCAL_WHOLE	kleiner Restteil	kleiner Restteil
