event_id	page	record_unit_id	statement_id	field_id	field_position	visible_owner	visible_surface	master_card_id	component_parse	concrete_default_de	composition_status	memorized_residue	terminal_status
E001	f10r	H1	H1-S001	F001	1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey	MC071	DCHEY	Wurzel	LEARNED_WHOLE_NOUN	DCHEY root core	NONCLOSE
E002	f10r	H1	H1-S001	F001	2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthoor	MC158	CTH + OR	den Ansatz bereitstellen	FULL_COMPOSITION	NONE	NONCLOSE
E003	f10r	H1	H1-S001	F001	3	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	char	MC055	COMMON_CORE	davon	KNOWN_FROM_BIOLOGICAL	NONE	NONCLOSE
E004	f10r	H1	H1-S001	F001	4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chty	MC086	COMMON_CORE	Teil	KNOWN_FROM_BIOLOGICAL	NONE	NONCLOSE
E005	f10r	H1	H1-S001	F001	5	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	os	MC159	OS	Aufnahmegefäß	LEARNED_WHOLE_NOUN	OS receiver-vessel core	NONCLOSE
E006	f10r	H1	H1-S001	F001	6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chair	MC014	CH + AIR	laufendes Medium zugießen	PARTIAL_COMPOSITION	CH pouring core	NONCLOSE
E007	f10r	H1	H1-S001	F001	7	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otytchol	MC069	OT + YTY + OL	Folgeteil	PARTIAL_COMPOSITION	YTY material-part core	NONCLOSE
E008	f10r	H1	H1-S001	F001	8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	MC026	COMMON_CORE	einsetzen	KNOWN_FROM_BIOLOGICAL	NONE	NONCLOSE
E009	f10r	H1	H1-S001	F001	9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	MC039	COMMON_CORE	Sollmaß	KNOWN_FROM_BIOLOGICAL	NONE	NONCLOSE
E010	f10r	H1	H1-S001	F001	10	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	etyd	MC108	ETYD	kleiner Rest	LEARNED_WHOLE_NOUN	ETYD remainder core	NONCLOSE
