lesson	entry	meaning_de	learning_status
HERBAL_NOUN_CORE	CHO	ZUTAT	productive noun core
HERBAL_NOUN_CORE	SCHOAL	SUDANSATZ	whole noun
HERBAL_NOUN_CORE	DCHEY	WURZEL	whole noun
HERBAL_NOUN_CORE	TSHOL	KOCHGUT	whole noun
HERBAL_NOUN_CORE	ETYD	REST	whole noun
HERBAL_NOUN_CORE	SH	STAENGEL	whole noun
HERBAL_NOUN_CORE	OS	AUFNAHMEGEFAESS	whole noun
HERBAL_NOUN_CORE	TALAM	VERWAHRORT	whole noun
HERBAL_NOUN_CORE	CH	ZUGIESSEN	residual action core in noun compound
HERBAL_NOUN_CORE	OYK	ZUBEREITUNGSGEFAESS	residual container core
HERBAL_NOUN_CORE	K	ORDNUNGS_ODER_INDEXWERT	residual noun index core
HERBAL_NOUN_CORE	YTY	MATERIALTEIL	residual part core
HERBAL_NOUN_CORE	KCHO	BEARBEITETER_AUSZUG	residual preparation core
HERBAL_OPERATION_CORE	TCH	BEREITUNG	partial-operation residual
HERBAL_OPERATION_CORE	SHFY	STEHZEIT	partial-operation residual
HERBAL_OPERATION_CORE	D	VORIGE_QUELLE	partial-operation residual
HERBAL_OPERATION_CORE	TCHO	KALT_STELLEN	whole operation
HERBAL_OPERATION_CORE	SOTODAN	FOLGEANWENDUNG	whole operation
HERBAL_OPERATION_CORE	CHEECKHO	AUFTRAGEN	whole operation
HERBAL_OPERATION_CORE	O	ABKUEHLEN	whole operation
HERBAL_OPERATION_CORE	CFHY	AUSWRINGEN	whole operation
HERBAL_OPERATION_CORE	CPHY	NACHSEIHEN	whole operation
