locus	token_index	surface	contextual_render_de	head_token_index	relation	rationale
f1r.2	11	dan	ein Maß der vorstehenden Kraut- oder Blattfraktion	10	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt zwei cthar-Stoffköpfen
f1r.4	6	daiin	drei Maße der vorstehenden Kraut- oder Blattfraktion	5	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt cthiar
f1r.8	8	dain	zwei Maße des folgenden Pflanzenteils	9	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht unmittelbar vor chor
f1r.9	1	daiin	drei Maße der folgenden Charge Feuchtansatz	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert eröffnet die Zeile vor shos
f1r.10	1	dain	zwei Maße der folgenden Ansatzcharge	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor os
f1r.12	8	daiin	drei Maße des vorstehenden Saatgut-Kompositums	7	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt sckhey
f1r.14	1	dain	zwei Maße der folgenden Zubereitungsform III	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor oiin
f1r.14	8	dn	eine Dosis beziehungsweise ein Teil der folgenden Krautdroge	9	RIGHT_MATERIAL_QUANTITY	Alternativleser dan und an binden beide rechts an cthy; kein Grad
f1r.15	1	daiin	drei Maße des folgenden feuchten Kompositums	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor shckhey
f1r.18	7	ain	zwei Teile der vorstehenden ersten Fraktion	6	LEFT_MATERIAL_QUANTITY	ain folgt dem Fraktionskopf dar
f1r.18	8	dain	zwei Maße der folgenden Kompositum-Species	9	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor ckhyds
f1r.20	4	dain	zwei Maße des folgenden Kompositums	5	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor ckhey
f1r.21	2	daiiin	vier Maße des vorstehenden kalten Zubereitungsguts	1	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt otol
f1r.23	3	dain	zwei Maße der vorstehenden Trockendroge	2	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt chol
f1r.24	6	daiin	drei Maße des vorstehenden heißen Ansatzstoffs	5	LEFT_MATERIAL_QUANTITY	der erste nackte D-Wert folgt okol
f1r.24	9	daiin	drei Maße des vorstehenden Krautdrogenstoffs	8	LEFT_MATERIAL_QUANTITY	der zweite nackte D-Wert folgt cthol
f1r.25	4	daiin	drei Maße des vorstehenden heißen Ansatzes am Gradanfang	3	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt oky
