locus	frame	working_translation_de	uncertainty_note
f1r.1	MIXED	⟦≈Getrocknete Blüten- oder Arzneispecies, abgeschlossen?⟧ Eintrag: heißer Rohstoff I; erste Fraktion; ein gleicher Teil auf Kältestufe III; Feuchtdroge; Blüten- oder Fruchtstand in Grundform; ⟦≈Kraut- oder Wurzelspecies der Mittelstufe?⟧ Hierzu eine heiße Drogenportion; die vollständig eingeweichte Droge.	fachys und cthres sind LOW gelernte Ganzwörter; RF1b taiin lässt gegenüber ataiin den gleichen Teil aus
f1r.2	CATALOGUE	Abgeschlossene Samenportion; erste Kompositumfraktion, eine Drogenportion. Zweite heiße Fraktion; getrocknete Droge auf Kältestufe III; erste angefeuchtete Fraktion; ⟦≈gleicher Speciesanteil auf Mittelstufe?⟧; zweimal erste Kraut- oder Blattfraktion; ein Maß der zuletzt genannten Fraktion.	ase ist LOW; y ist nur die occurrence-spezifische linke Abschlussgrenze
f1r.3	INSTRUCTION	⟦≈Saatgutfraktion III, abgeschlossen?⟧ Bis zur Mittelstufe einweichen, erhitzen und abschließen; eine Drogenportion. Hiervon auf Stufe III erhitzen; den Feuchtansatz abschließen; die erste Krautansatzfraktion abteilen und abschließen; Kraut- oder Blattspecies der Mittelstufe; drei Teile der ersten Fraktion abmessen; Saatgut in Grundform.	syaiir ist LOW gelernt
f1r.4	MIXED	Saatgutzubereitung Form III; Kaltansatz auf Endstufe; Kaltansatz-Charge auf Mittelstufe. Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen. ⟦≈Drei Maße der ersten Kraut- oder Blattfraktion?⟧; Ansatz auf Heizstufe III; eine Drogenportion; Ansatz auf Heizstufe I.	cthiar ist LOW Leseralias; IT2a otaiin ergäbe hier Kälte- statt Heizstufe III
f1r.5	CATALOGUE	Samenfraktion II. Erste Trockenfraktion; drei Teile Kraut- oder Blattdroge; erste Kompositumfraktion; ⟦≈drei Teile Blütendroge?⟧.	cfhaiin ist LOW gelernt; y ist nur die occurrence-spezifische linke Abschlussgrenze
f1r.6	INSTRUCTION	⟦≈Hiervon die erste Fraktion abmessen, leicht einweichen und abschließen?⟧	ydaraishy ist LOW; sichtbarer innerer ai-Block bleibt unbestimmt
f1r.7	MIXED	Die erste Ansatzfraktion abmessen; Feuchtdroge; Kompositum ansetzen und leicht abschließen; die erste Fraktion des Grundansatzes abmessen; einweichen; ⟦Species- oder Chargensiglum?⟧; ⟦≈drei Teile Blütenansatz?⟧; die erste Feuchtansatzfraktion abmessen und abschließen.	freies s ist occurrence-spezifisch und cfhoaiin ist LOW gelernt
f1r.8	MIXED	Hiervon bis zur Mittelstufe einweichen; fertig eingeweichter Ansatz. Heißen Ansatz trocknen, erneut ansetzen und abschließen; kalt-trockener Zubereitungsstoff; trockene Krautzubereitung. Ansatzcharge, trocken am Anfang des Grades; zwei Maße des folgenden Pflanzenteils; Charge Heißansatz.	os und chy werden bilateral als oschy gelesen; beide Token bleiben sichtbar
f1r.9	CATALOGUE	Drei Maße einer Charge Feuchtansatz; ⟦≈Blütendrogenstoff oder Blütenauszug?⟧; fertig eingeweichter Ansatz.	cfhol ist LOW gelernt und behält zwei konkrete Rivalen
f1r.10	INSTRUCTION	Zwei Maße einer Ansatzcharge; den Ansatz abkühlen und abschließen.	os ist reader-instabil; RF1b liest or
