surface	count	class	composition	working_meaning_de	confidence
fachys	1	W	LEARNED_FACHYS_WHOLE	getrocknete Blüten- oder Arzneispecies, abgeschlossen	LOW
ataiin	1	P	A_PART_OR_LINK+T_COLD+AIIN_III	gleicher Teil auf Kältestufe III	MEDIUM
shory	1	P	KNOWN_SHOR+Y_START_OR_CLOSE	Blüten- oder Fruchtstand in Grundform, abgeschlossen	MEDIUM
cthres	1	W	LEARNED_CTHRES_WHOLE	Kraut- oder Wurzelspecies der Mittelstufe	LOW
y	3	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM
sory	1	P	KNOWN_SOR+Y_START_OR_CLOSE	Samenportion, abgeschlossen	MEDIUM
ckhar	1	P	CKH_COMPOSITE+AR_FRACTION_I	erste Kompositumfraktion	HIGH
chtaiin	1	P	CH_DRY+T_COLD+AIIN_III	getrocknete Droge auf Kältestufe III	HIGH
ase	1	W	KNOWN_AS+E_MIDDLE	gleicher Anteil einer Arzneispecies auf Mittelstufe	LOW
syaiir	1	W	LEARNED_SYAIIR_WHOLE	Saatgutfraktion III, abgeschlossen	LOW
shod	1	P	SH_MOIST+O_PREP+D_TERM_CLOSE	Feuchtansatz abschließen	HIGH
cthoary	1	P	CTH_HERB+O_PREP+AR_FRACTION_I+Y_START_OR_CLOSE	erste Krautansatzfraktion abteilen und abschließen	HIGH
cthes	1	P	CTH_HERB+E_MIDDLE+S_TERM_SPECIES	Kraut- oder Blattspecies der Mittelstufe	MEDIUM
daraiin	1	P	D_MEASURE+AR_FRACTION_I+AIIN_III	drei Teile der ersten Fraktion abmessen	HIGH
roloty	1	P	R_ROOT+OL_MATERIAL+O_PREP+T_COLD+Y_START_OR_CLOSE	Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen	MEDIUM
cthiar	1	W	LEARNED_READER_ALIAS_CTHAR	erste Kraut- oder Blattfraktion	LOW
cphar	1	P	CPH_COMPOSITE+AR_FRACTION_I	erste Kompositumfraktion	HIGH
cfhaiin	1	W	LEARNED_FLOWER_WHOLE	Blütendroge, Menge III	LOW
ydaraishy	1	W	LEARNED_YDARAISHY_WHOLE	hiervon die erste Fraktion abmessen, leicht einweichen und abschließen	LOW
odar	1	P	O_PREP+D_MEASURE+AR_FRACTION_I	erste Ansatzfraktion abmessen	HIGH
cphoy	1	P	CPH_COMPOSITE+O_PREP+Y_START_OR_CLOSE	Kompositum ansetzen und leicht abschließen	MEDIUM
oydar	1	P	OY_PREP_BASE+D_MEASURE+AR_FRACTION_I	erste Fraktion des Grundansatzes abmessen	HIGH
s	1	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW
cfhoaiin	1	W	LEARNED_FLOWER_WHOLE	Blütenansatz, Menge III	LOW
shodary	1	P	SH_MOIST+O_PREP+D_MEASURE+AR_FRACTION_I+Y_START_OR_CLOSE	erste Feuchtansatzfraktion abmessen und abschließen	HIGH
okchoy	1	P	O_PREP+K_HOT+CH_DRY+O_PREP+Y_START_OR_CLOSE	heißen Ansatz trocknen, erneut ansetzen und abschließen	HIGH
os	2	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM
kos	1	P	K_HOT+O_PREP+S_TERM_SPECIES	Charge Heißansatz	HIGH
shos	1	P	SH_MOIST+O_PREP+S_TERM_SPECIES	Charge Feuchtansatz	HIGH
cfhol	1	W	LEARNED_FLOWER_WHOLE	Blütendrogenstoff oder Blütenauszug	LOW
cphesaiin	1	P	CPH_COMPOSITE+E_MIDDLE+S_SEED+AIIN_III	drei Teile Saatgut-Kompositum der Mittelstufe	MEDIUM
cphey	1	P	CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Kompositum auf Mittelstufe, abgeschlossen	HIGH
ytain	1	P	Y_REFERENCE+T_COLD+AIN_II	hiervon auf Kältestufe II abkühlen	HIGH
shoshy	1	P	SH_MOIST+O_PREP+SH_MOIST+Y_START_OR_CLOSE	Feuchtansatz erneut leicht einweichen und abschließen	HIGH
cphodal	1	P	CPH_COMPOSITE+O_PREP+D_MEASURE+AL_RAW_I	Rohstoffmenge I des Kompositumansatzes abmessen	HIGH
es	1	W	LEARNED_ES_WHOLE	Mittelstufen-Species	LOW
oksho	1	P	O_PREP+K_HOT+SH_MOIST+O_PREP	Ansatz erhitzen, einweichen und erneut ansetzen	HIGH
kshoy	1	P	K_HOT+SH_MOIST+O_PREP+Y_START_OR_CLOSE	erhitzen, einweichen, ansetzen und abschließen	HIGH
otairin	1	P	O_PREP+T_COLD+AIR_FRACTION_II+IN_FORM_II	Kaltansatz, zweite Fraktion, Form II	HIGH
shodain	1	P	SH_MOIST+O_PREP+D_MEASURE+AIN_II	zwei Dosen Feuchtansatz	HIGH
sckhey	1	W	LEARNED_SEED_COMPOSITE_WHOLE	Saatgut-Kompositum auf Mittelstufe, abgeschlossen	LOW
shoy	1	P	SH_MOIST+O_PREP+Y_START_OR_CLOSE	Feuchtansatz leicht abschließen	HIGH
cphodaiils	1	W	LEARNED_CPHODAIILS_WHOLE	Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage	LOW
oldain	1	P	O_PREP+L_WOOD+D_MEASURE+AIN_II	zwei Dosen Holzdroge im Ansatz abmessen	MEDIUM
d	2	O	FREE_D_OCCURRENCE	abschließen oder mit folgendem or eine Portion abmessen	MEDIUM
chodain	1	P	CH_DRY+O_PREP+D_MEASURE+AIN_II	zwei Dosen Trockenansatz	HIGH
dn	1	W	LEARNED_READER_ALIAS_DAN_AN	Grad- oder Maßwert I	MEDIUM
kod	1	P	K_HOT+O_PREP+D_TERM_CLOSE	Heißansatz abschließen	HIGH
eo	2	W	LEARNED_EO_SHORT_WHOLE	Mittelstufenansatz	LOW
r	1	O	FREE_R_OCCURRENCE	Wurzel; bindet lokal an die folgende Trockenfraktion	MEDIUM
shodan	1	P	SH_MOIST+O_PREP+D_MEASURE+AN_I	eine Dosis Feuchtansatz	HIGH
koeam	1	P	K_HOT+O_PREP+E_MIDDLE+AM_UNIT_I	ein Maß Ansatz bis zur Mittelstufe erhitzen	MEDIUM
pshol	1	P	P_POWDER+SH_MOIST+OL_MATERIAL	eingeweichter Pulverstoff	HIGH
dydyd	1	W	LEARNED_DOUBLE_FINISH_WHOLE	zweifacher Fertigstellungs- und Abschlusscode	LOW
daiy	1	W	LEARNED_DAIY_WHOLE	abgemessene Drogenportion, abgeschlossen	MEDIUM
yto	1	P	Y_REFERENCE+T_COLD+O_PREP	hiervon einen Ansatz abkühlen	HIGH
kodshey	1	W	LEARNED_KODSHEY_SEQUENCE	Heißansatz abschließen und anschließend bis Mittelstufe einweichen	LOW
cphealy	1	P	CPH_COMPOSITE+E_MIDDLE+AL_RAW_I+Y_START_OR_CLOSE	Rohdroge-I-Kompositum bis Mittelstufe, abgeschlossen	MEDIUM
ckhyds	1	W	LEARNED_CKHYDS_WHOLE	abgeschlossene Kompositum-Species	LOW
dchar	1	P	D_MEASURE+CH_DRY+AR_FRACTION_I	erste Trockenfraktion abmessen	HIGH
shcthaiin	1	P	SH_MOIST+CTH_HERB+AIIN_III	drei Teile eingeweichte Krautdroge	HIGH
okaiir	1	P	O_PREP+K_HOT+AIIR_FRACTION_III	dritte erhitzte Ansatzfraktion	HIGH
cthols	1	P	CTH_HERB+OL_MATERIAL+S_TERM_SPECIES	Charge Krautdrogenstoff	HIGH
dloo	1	W	LEARNED_DLOO_WHOLE	Holzdroge abmessen und zweimal ansetzen	LOW
cpho	1	P	CPH_COMPOSITE+O_PREP	Kompositumansatz	HIGH
shokcheey	1	P	SH_MOIST+O_PREP+K_HOT+CH_DRY+EE_END+Y_START_OR_CLOSE	Feuchtansatz erhitzen, vollständig trocknen und abschließen	HIGH
