rule_id	trigger	output_contract	forbidden_shortcut
R01_THREE_LAYER	jede Passage	EVA; Tokenwerte mit Herkunft und Stärke; vorsichtige Satzrealisierung	keine nur-flüssige Ausgabe ohne Interlinear
R02_ACTION_GATE	explizite Aktionskarte	nur die Aktionskarte darf einen Imperativ eröffnen	prozesshaltige Nominalkarten teol toldy shekain nicht verbalisieren
R03_INTERNAL_OBJECT	Ganzkarte mit internem Objekt	das geschriebene interne Objekt bleibt an seiner Karte	keine Nachbarwörter zusätzlich in die Karte ziehen
R04_Q_LIST	QO oder QOL mit folgendem Stoff-/Prozessrest	folgende Liste bis zum nächsten Aktionskopf Strukturmarker oder unsicheren Token anbinden	keine unbegrenzte Zeilenverschlingung
R05_REFERENCE	lizenzierte y- oder freie y-Stelle	hiervon oder hierzu nur mit sichtbarem Antezedenten; sonst Bezug außerhalb der Passage	kein ungebundenes es dieses dasselbe hierzu davon
R06_VALUE_TYPING	an ain aiin daiin und verwandte Werte	Prozesskopf ergibt Stufe; Messkopf ergibt Maß Teile oder Dosis	keine Disambiguierung nur aus der Minimenform
R07_PROCESS_ORDER	mehrere sichtbare Prozessköpfe	Reihenfolge vollständig bewahren	keine Kürzung oder Umstellung
R08_RELATION_ORDER	explizite Herkunft Ziel Pfad Grad Resultat Slots	Reihenfolge Herkunft; Ziel; Pfad; Grad; Resultat	die alten GDT589 Objektnamen oder Relationen nicht importieren
R09_NOMINAL_LINE	kein sicherer Aktionskopf	Inventar- Zustands- oder Katalogzeile	keinen Imperativ bloß für flüssige Prosa erfinden
R10_UNCERTAINTY	LOW W O reader-unstable active-rival	Marker im Tokenkanal und knapper Hinweis in der Lesung	exakte Oberflächenerkennung nicht als hohe Bedeutungsstärke ausgeben
R11_NO_SUPPRESSION	alle Quelltoken	jedes Token genau einmal im Interlinear; Join behält beide Token sichtbar	kein stiller Leser-Merge kein erfundenes Suffix
R12_NO_FILLER	jede deutsche Ausgabe	konkrete Stoff- Mengen- Zustands- oder Prozesswörter oder sichtbare Unsicherheit	Arbeitsgut Arbeitsstelle Arbeitsgang Stationsansatz Arbeitsvorgang Arbeitsmittel
