model	position	locus	line_index	word	source_id	original_alignment_status	clause	diagnostic_role	category_in_selected_prefix	fixed_old_meaning	is_full_interpretation
PROJECTED_ZL	1	f83r.1	1	tchedy	PROJECTED|f83r.1|G001	UNKNOWN	1	HEAD	1	UNASSIGNED	False
PROJECTED_ZL	2	f83r.1	2	lpchedy	PROJECTED|f83r.1|G002	UNKNOWN	1	ARGUMENT	-1	UNASSIGNED	False
PROJECTED_ZL	3	f83r.1	3	opedy	PROJECTED|f83r.1|G003	UNKNOWN	2	HEAD	1	UNASSIGNED	False
PROJECTED_ZL	4	f83r.1	4	chepol	PROJECTED|f83r.1|G004	UNKNOWN	2	ARGUMENT	-1	UNASSIGNED	False
PROJECTED_ZL	5	f83r.1	5	pchedar	PROJECTED|f83r.1|G005	UNKNOWN	3	HEAD	1	UNASSIGNED	False
PROJECTED_ZL	6	f83r.1	6	shedy	PROJECTED|f83r.1|G006	HYPOTHESIS	3	ARGUMENT	-1	the same asset A, not automatically a new batch	False
PROJECTED_ZL	7	f83r.1	7	qopchedy	PROJECTED|f83r.1|G007	UNKNOWN	4	HEAD	1	UNASSIGNED	False
PROJECTED_ZL	8	f83r.2	1	sol	PROJECTED|f83r.2|G001	UNKNOWN	4	ARGUMENT	-1	UNASSIGNED	False
PROJECTED_ZL	9	f83r.2	2	cheey	PROJECTED|f83r.2|G002	UNKNOWN	5	HEAD	1	UNASSIGNED	False
PROJECTED_ZL	10	f83r.2	3	qokaiin	PROJECTED|f83r.2|G003	HYPOTHESIS	5	ARGUMENT	-1	title holder B	False
PROJECTED_ZL	11	f83r.2	4	shol	PROJECTED|f83r.2|G004	UNKNOWN	6	HEAD	2	UNASSIGNED	False
PROJECTED_ZL	12	f83r.2	5	lchs	PROJECTED|f83r.2|G005	UNKNOWN	6	ARGUMENT	-1	UNASSIGNED	False
PROJECTED_ZL	13	f83r.2	6	shey	PROJECTED|f83r.2|G006	UNKNOWN	6	ARGUMENT	-1	UNASSIGNED	False
PROJECTED_ZL	14	f83r.2	7	qoteedy	PROJECTED|f83r.2|G007	HYPOTHESIS	7	HEAD	0	title to A remains with B	False
PROJECTED_ZL	15	f83r.2	8	rches	PROJECTED|f83r.2|G008	UNKNOWN	8	HEAD	1	UNASSIGNED	False
PROJECTED_ZL	16	f83r.2	9	ar	PROJECTED|f83r.2|G009	UNKNOWN	8	ARGUMENT	-1	UNASSIGNED	False
