surface	entry	kind	working_meaning_de	composition	context_rule	status	occurrences	acceptance_mode
chkal	chkal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Rohstoffklasse I, trocken-heiß am Gradanfang	CH_DRY_START+KAL_HOT_RAW_I_START	exact complete ZL3b surface only; 10 occurrences; 9 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_01	10	EXACT_ORDERED_WHOLE
chtal	chtal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Rohstoffklasse I, trocken-kalt am Gradanfang	CH_DRY_START+TAL_COLD_RAW_I_START	exact complete ZL3b surface only; 6 occurrences; 5 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_02	6	EXACT_ORDERED_WHOLE
chekal	chekal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang	CHE_DRY_MIDDLE+KAL_HOT_RAW_I_START	exact complete ZL3b surface only; 11 occurrences; 9 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_03	11	EXACT_ORDERED_WHOLE
choal	choal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_READER_UNSTABLE_PREDICTED_COMPOUND	Trockenansatz aus Rohstoffklasse I	CHO_DRY_PREPARATION_HEAD+AL_CLASS_I	exact complete ZL3b surface only; 1 occurrences; 0 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_04	1	READER_UNSTABLE_PREDICTED_COMPOUND
chokal	chokal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang	CHO_DRY_PREPARATION_HEAD+KAL_HOT_RAW_I_START	exact complete ZL3b surface only; 4 occurrences; 4 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_05	4	EXACT_ORDERED_WHOLE
chotal	chotal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Trockenansatz aus kaltem Rohstoff Klasse I am Gradanfang	CHO_DRY_PREPARATION_HEAD+TAL_COLD_RAW_I_START	exact complete ZL3b surface only; 4 occurrences; 4 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_06	4	EXACT_ORDERED_WHOLE
cheoal	cheoal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_PREPARATION_HEAD_WHOLE	trocken angesetzte Zubereitung aus Rohstoffklasse I	CHEO_DRY_PREPARED_HEAD+AL_CLASS_I	exact complete ZL3b surface only; 1 occurrences; 1 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_07	1	EXACT_PREPARATION_HEAD_WHOLE
cheokal	cheokal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_PREPARATION_HEAD_WHOLE	trocken angesetzte Zubereitung aus heißem Rohstoff Klasse I am Gradanfang	CHEO_DRY_PREPARED_HEAD+KAL_HOT_RAW_I_START	exact complete ZL3b surface only; 1 occurrences; 1 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_08	1	EXACT_PREPARATION_HEAD_WHOLE
shtal	shtal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Rohstoffklasse I, feucht-kalt am Gradanfang	SH_MOIST_START+TAL_COLD_RAW_I_START	exact complete ZL3b surface only; 2 occurrences; 1 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_09	2	EXACT_ORDERED_WHOLE
shekal	shekal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang	SHE_MOIST_MIDDLE+KAL_HOT_RAW_I_START	exact complete ZL3b surface only; 3 occurrences; 3 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_10	3	EXACT_ORDERED_WHOLE
shokal	shokal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_ORDERED_WHOLE	Feuchtansatz aus heißem Rohstoff Klasse I am Gradanfang	SHO_MOIST_PREPARATION_HEAD+KAL_HOT_RAW_I_START	exact complete ZL3b surface only; 3 occurrences; 3 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_11	3	EXACT_ORDERED_WHOLE
sheoal	sheoal@GDT657_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXACT_PREPARATION_HEAD_WHOLE	feucht angesetzte Zubereitung aus Rohstoffklasse I	SHEO_MOIST_PREPARED_HEAD+AL_CLASS_I	exact complete ZL3b surface only; 1 occurrences; 1 reader-exact; no substring inheritance	NEW_V34_ACCEPTED_ROUND_12	1	EXACT_PREPARATION_HEAD_WHOLE
