round	surface	mode	dictionary_entries	dictionary_sha256	physical_lines	known_token_positions	unknown_token_positions	complete_multi_token_lines	strict_complete_lines	one_unknown_lines	strict_one_unknown_lines	working_glossary_surfaces
0	BASE_V33	BASE	550	c5284a99e0570951574b2658fae74d35bb9e4df4dd700b41cce6437794a5871c	4128	16635	15704	133	78	239	57	471
1	chkal	EXACT_ORDERED_WHOLE	551	bfd21dd4b89a4cfece2c21938dbbc3037b7fb1323012a45e92912622425fb870	4128	16645	15694	133	78	239	57	472
2	chtal	EXACT_ORDERED_WHOLE	552	ac23109bb8f262be67b85548c3e4751a4d0fdab183ebf05946a2eca2c066d33d	4128	16651	15688	133	78	239	57	473
3	chekal	EXACT_ORDERED_WHOLE	553	e5299b7ba5ed4338cf35655a26e1ab9542c3c023d622c4ef9a48d90ca9650050	4128	16662	15677	133	78	239	57	474
4	choal	READER_UNSTABLE_PREDICTED_COMPOUND	554	ad0b6104cf69437f04ce2a9a143c17d9c924bea5b3c253ff5fb6a5dd7508bcfd	4128	16663	15676	133	78	239	57	475
5	chokal	EXACT_ORDERED_WHOLE	555	bab3e1b72e31e624f1423f65530376cc1786fbead60bab9793c468bf33230d63	4128	16667	15672	133	78	241	58	476
6	chotal	EXACT_ORDERED_WHOLE	556	4e508bd1b97708b02b7305a7bf4dca3253c096426928588427ec7b66c8cd4176	4128	16671	15668	133	78	241	58	477
7	cheoal	EXACT_PREPARATION_HEAD_WHOLE	557	a89b73903ae85eeb12c5edf78115d02b88a1eec574a9af5804e8967816673cec	4128	16672	15667	133	78	241	58	478
8	cheokal	EXACT_PREPARATION_HEAD_WHOLE	558	e3cd22a91418f92181a6236a1608358bcab936209a3c20df6830f7083f253bdd	4128	16673	15666	133	78	241	58	479
9	shtal	EXACT_ORDERED_WHOLE	559	39ca53df0a75254af92e09a0c0ada6c9065c387d01e24f8e90bc4174782401c8	4128	16675	15664	133	78	241	58	480
10	shekal	EXACT_ORDERED_WHOLE	560	7838b140cdbab8ed53553f86735356ce87fb9e9e11939089b075d51b841e4668	4128	16678	15661	133	78	242	58	481
11	shokal	EXACT_ORDERED_WHOLE	561	c295b32d4d867f881fdd25fb7176930f408c2ee3ef749e945d4e615cb3a11df5	4128	16681	15658	133	78	242	58	482
12	sheoal	EXACT_PREPARATION_HEAD_WHOLE	562	3df93527a10d2830915ef7ea62afda4e99a49b9f5eb897afb3076a9cbe0022b6	4128	16682	15657	133	78	242	58	483
13	sheotal	EXACT_PREPARATION_HEAD_WHOLE	563	1373c9069ddd74a1063001b626a39470a80b5cf8ed98c7547a86970c413f9478	4128	16683	15656	133	78	242	58	484
14	kchal	EXACT_ORDERED_WHOLE	564	bd250668379a7e2b92262ffb1f025161e600143b9b6d3efb5655be73cf249ed1	4128	16685	15654	133	78	243	59	485
15	tchal	EXACT_ORDERED_WHOLE	565	059141a010a35aa4f2a247cb27bda6cb89347ba6425ffadaf4c43a4c3b474716	4128	16687	15652	133	78	243	59	486
16	okchal	EXACT_NESTED_WHOLE	566	6c4e633735e06ca117eb793ef15e896a9d1db69b4e192cf11131b189334add37	4128	16691	15648	133	78	243	59	487
17	okshal	EXACT_NESTED_WHOLE	567	424c10a1f0bb34e65eefeef360339df800055f9b400306d0b4293e043f3f69ce	4128	16692	15647	133	78	243	59	488
18	otchal	EXACT_NESTED_WHOLE	568	8fc3f4342fabf3d429ee004bca22677a39698ba42b4733cd9fd90215af3b1b05	4128	16694	15645	133	78	243	59	489
19	otshal	EXACT_NESTED_WHOLE	569	def19a6222a2077a7abc55c805ea3c98dbf37a29089e66cdf7187775bcdd505a	4128	16695	15644	133	78	243	59	490
20	qokchal	READER_UNSTABLE_LOCAL_ANALOGY	570	5a3fe832e93e114dc849469cd16565ed64e98ca12858ed2cd9b597cacde4dbeb	4128	16696	15643	133	78	243	59	491
