candidate_order	surface	mode	working_meaning_de	composition	rival_de	occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	decision
1	chkal	EXACT_ORDERED_WHOLE	Rohstoffklasse I, trocken-heiß am Gradanfang	CH_DRY_START+KAL_HOT_RAW_I_START	gelerntes CHKAL oder ungeordnetes trocken-heiß-Paar	10	8	9	9	ACCEPT_V34_EXACT_WHOLE
2	chtal	EXACT_ORDERED_WHOLE	Rohstoffklasse I, trocken-kalt am Gradanfang	CH_DRY_START+TAL_COLD_RAW_I_START	gelerntes CHTAL oder ungeordnetes trocken-kalt-Paar	6	5	5	5	ACCEPT_V34_EXACT_WHOLE
3	chekal	EXACT_ORDERED_WHOLE	Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang	CHE_DRY_MIDDLE+KAL_HOT_RAW_I_START	trocken gebundener heißer Rohstoff oder gelerntes CHEKAL	11	9	9	9	ACCEPT_V34_EXACT_WHOLE
4	choal	READER_UNSTABLE_PREDICTED_COMPOUND	Trockenansatz aus Rohstoffklasse I	CHO_DRY_PREPARATION_HEAD+AL_CLASS_I	gelerntes CHOAL-Ganzwort	1	1	0	0	ACCEPT_V34_WITH_READER_WARNING
5	chokal	EXACT_ORDERED_WHOLE	Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang	CHO_DRY_PREPARATION_HEAD+KAL_HOT_RAW_I_START	gelerntes CHOKAL-Ganzwort	4	4	4	4	ACCEPT_V34_EXACT_WHOLE
6	chotal	EXACT_ORDERED_WHOLE	Trockenansatz aus kaltem Rohstoff Klasse I am Gradanfang	CHO_DRY_PREPARATION_HEAD+TAL_COLD_RAW_I_START	gelerntes CHOTAL-Ganzwort	4	4	4	4	ACCEPT_V34_EXACT_WHOLE
7	cheoal	EXACT_PREPARATION_HEAD_WHOLE	trocken angesetzte Zubereitung aus Rohstoffklasse I	CHEO_DRY_PREPARED_HEAD+AL_CLASS_I	gelerntes CHEOAL-Ganzwort	1	1	1	1	ACCEPT_V34_EXACT_WHOLE
8	cheokal	EXACT_PREPARATION_HEAD_WHOLE	trocken angesetzte Zubereitung aus heißem Rohstoff Klasse I am Gradanfang	CHEO_DRY_PREPARED_HEAD+KAL_HOT_RAW_I_START	gelerntes CHEOKAL-Ganzwort	1	1	1	1	ACCEPT_V34_EXACT_WHOLE
9	shtal	EXACT_ORDERED_WHOLE	Rohstoffklasse I, feucht-kalt am Gradanfang	SH_MOIST_START+TAL_COLD_RAW_I_START	gelerntes SHTAL oder ungeordnetes feucht-kalt-Paar	2	2	1	1	ACCEPT_V34_EXACT_WHOLE
10	shekal	EXACT_ORDERED_WHOLE	Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang	SHE_MOIST_MIDDLE+KAL_HOT_RAW_I_START	feucht gebundener heißer Rohstoff oder gelerntes SHEKAL	3	3	3	3	ACCEPT_V34_EXACT_WHOLE
11	shokal	EXACT_ORDERED_WHOLE	Feuchtansatz aus heißem Rohstoff Klasse I am Gradanfang	SHO_MOIST_PREPARATION_HEAD+KAL_HOT_RAW_I_START	gelerntes SHOKAL-Ganzwort	3	3	3	3	ACCEPT_V34_EXACT_WHOLE
12	sheoal	EXACT_PREPARATION_HEAD_WHOLE	feucht angesetzte Zubereitung aus Rohstoffklasse I	SHEO_MOIST_PREPARED_HEAD+AL_CLASS_I	gelerntes SHEOAL-Ganzwort	1	1	1	1	ACCEPT_V34_EXACT_WHOLE
