surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v34_de	target_meaning_de	syntax_note
chkal	1	f107v	f107v.2	ALL_THREE_EXACT	daiin dckhy ol daiin chkal qokedy otal chedy oteos aiin otar alkain ol	Grad-/Maßwert III | [dckhy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | Rohstoffklasse I, trocken-heiß am Gradanfang | heiß in der Mitte des Grades, abgeschlossen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | [oteos:?] | Menge III | kalte Drogenfraktion I im Ansatz | [alkain:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Rohstoffklasse I, trocken-heiß am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
chkal	2	f111v	f111v.17	ALL_THREE_EXACT	solkain shey okaiin sheey qokain chkal chckhy saiin ar lchal she otain	[solkain:?] | feucht in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | feucht am Ende des Grades | heiß, Grad II | Rohstoffklasse I, trocken-heiß am Gradanfang | Arzneikompositum: trocken, Gradanfang | Samen/Saatgut, Typ/Charge III | Drogenfraktion I | [lchal:?] | feucht, attributiv gebunden | kalt im Zubereitungsrahmen, Grad II	Rohstoffklasse I, trocken-heiß am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
chtal	1	f111v	f111v.15	ALL_THREE_EXACT	sar shey l otain qokaiin al kain chedy otal lchedy qokain chtal otain l s	Samenfraktion I | feucht in der Mitte des Grades | [l:?] | kalt im Zubereitungsrahmen, Grad II | heiß, Grad III | Rohstoffklasse I | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | getrocknetes Drogenholz | heiß, Grad II | Rohstoffklasse I, trocken-kalt am Gradanfang | kalt im Zubereitungsrahmen, Grad II | [l:?] | [s:?]	Rohstoffklasse I, trocken-kalt am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
chekal	1	f106r	f106r.43	ALL_THREE_EXACT	daiiral sheol daiin otedy qokain okar cheor al taiin chekal otaras	[daiiral:?] | feuchtes Material | Qualitätsgrad III | kalter Ansatz in der Mitte des Grades, abgeschlossen | heiß, Grad II | heiße Drogenfraktion I im Ansatz | trockener Drogenteil | Rohstoffklasse I | kalt, Grad III | Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang | [otaras:?]	Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
chekal	2	f104v	f104v.19	ALL_THREE_EXACT	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal	[pcheor:?] | trocken; nominal trockenes Gut/Material | [chpcheor:?] | [cholkshedy:?] | kaltes Material | feucht am Ende des Grades, abgeschlossen | heiß und trocken am Anfang des Grades | [qotched:?] | feuchter Ansatz | [fchor:?] | [ols:?] | Menge III | Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang	Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
choal	1	f43v	f43v.14	ZL3B_IT2A_EXACT_RF_VARIANT	dykeedain chedy okeedy chedal olkey cheky choal chedy oteorom	[dykeedain:?] | trocken in der Mitte des Grades, abgeschlossen | heißer Ansatz am Ende des Grades, abgeschlossen | trockene abgemessene Rohstoffmenge I in der Gradmitte | [olkey:?] | [cheky:?] | Trockenansatz aus Rohstoffklasse I | trocken in der Mitte des Grades, abgeschlossen | [oteorom:?]	Trockenansatz aus Rohstoffklasse I	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
chokal	1	f58v	f58v.19	ALL_THREE_EXACT	okain chokal sheoldy qokor olkam cheol dar chokeey okalchy	heiß im Zubereitungsrahmen, Grad II | Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang | [sheoldy:?] | heiße Drogenportion | heißes Material [terminal-M] | trockener Drogenstoff | abgemessene Fraktion I | heiß-trockener Ansatz am Gradende | [okalchy:?]	Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
chotal	1	f86v6	f86v6.40	ALL_THREE_EXACT	daiin ar qotal tshdy otar shcthdy qokol chotal kar ol kar alky	Grad-/Maßwert III | Drogenfraktion I | Rohstoffklasse I, kalt am Gradanfang | kalt und feucht am Anfang des Grades, abgeschlossen | kalte Drogenfraktion I im Ansatz | [shcthdy:?] | [qokol:?] | Trockenansatz aus kaltem Rohstoff Klasse I am Gradanfang | heiße Drogenfraktion I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenfraktion I | [alky:?]	Trockenansatz aus kaltem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
cheoal	1	f114r	f114r.16	ALL_THREE_EXACT	cheoal sheedo l kol dair dair chdair cheoty otal cheo dair chekar otol chedy	trocken angesetzte Zubereitung aus Rohstoffklasse I | [sheedo:?] | [l:?] | heiß; nominal heißes Gut/Material | abgemessene Fraktion II | abgemessene Fraktion II | [chdair:?] | [cheoty:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trocken angesetzte Zubereitung | abgemessene Fraktion II | [chekar:?] | kaltes Zubereitungsgut | trocken in der Mitte des Grades, abgeschlossen	trocken angesetzte Zubereitung aus Rohstoffklasse I	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
cheokal	1	f88v	f88v.6	ALL_THREE_EXACT	teodal lkeo cheor roshckhy sorshy aiin cheokal saldaiin	[teodal:?] | [lkeo:?] | trockener Drogenteil | [roshckhy:?] | [sorshy:?] | Menge III | trocken angesetzte Zubereitung aus heißem Rohstoff Klasse I am Gradanfang | [saldaiin:?]	trocken angesetzte Zubereitung aus heißem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
