control	surface	matched_units	occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	loci	v33_status	decision
CH_SH_AL_FAMILY_FRONTIER	chairal	CH_OR_SH...AL	1	1	1	1	f58r.11	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chakal	CH_OR_SH...AL	1	1	0	0	f93r.22	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chalal	CH_OR_SH...AL	1	1	1	1	f103r.42	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chcfhal	CH_OR_SH...AL	1	1	1	1	f36r.1	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chckhal	CH_OR_SH...AL	4	4	4	4	f111r.50|f111v.40|f78r.27|f83r.39	PROTECTED_KNOWN_WHOLE	RETAIN_PROTECTED_V33_CARD
CH_SH_AL_FAMILY_FRONTIER	chckheal	CH_OR_SH...AL	1	1	1	1	f111v.1	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chcthal	CH_OR_SH...AL	2	2	2	2	f113r.32|f18r.9	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chdal	CH_OR_SH...AL	19	15	13	13	f105v.36|f106v.24|f106v.4|f108r.27|f112v.46|f114v.16|f115v.33|f33r.3|f33r.5|f34r.12|f34v.3|f41v.7|f46v.4|f83r.48|f85r1.11|f86v3.30|f86v6.3|f86v6.8	PROTECTED_KNOWN_WHOLE	RETAIN_PROTECTED_V33_CARD
CH_SH_AL_FAMILY_FRONTIER	chdalal	CH_OR_SH...AL	1	1	1	1	f107r.25	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	checthal	CH_OR_SH...AL	1	1	1	1	f108v.23	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chedal	CH_OR_SH...AL	22	15	15	15	f103r.25|f104r.10|f104r.4|f104r.8|f104v.5|f105v.22|f108r.30|f108r.36|f108r.42|f108v.8|f112r.6|f112v.13|f112v.29|f113r.47|f114r.33|f114r.43|f114v.12|f114v.2|f43v.14|f58v.12|f76v.15|f77v.27	PROTECTED_KNOWN_WHOLE	RETAIN_PROTECTED_V33_CARD
CH_SH_AL_FAMILY_FRONTIER	cheeeal	CH_OR_SH...AL	1	1	1	1	f100v.21	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	cheeytal	CH_OR_SH...AL	1	1	0	0	f80r.42	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chefal	CH_OR_SH...AL	1	1	1	1	f40r.8	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chekoal	CH_OR_SH...AL	1	1	0	0	f103v.8	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chelal	CH_OR_SH...AL	1	1	1	1	f55r.12	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	cheodal	CH_OR_SH...AL	5	5	5	5	f104r.37|f106r.20|f39v.12|f87r.10|f99r.48	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	cheolchal	CH_OR_SH...AL	1	1	1	1	f112v.40	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chkaidararal	CH_OR_SH...AL	1	1	1	1	f115v.37	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chkodal	CH_OR_SH...AL	1	1	1	1	f53v.11	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chlal	CH_OR_SH...AL	2	2	1	1	f106r.29|f108v.9	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chodaal	CH_OR_SH...AL	1	1	0	0	f108v.23	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chodal	CH_OR_SH...AL	5	4	4	4	f106v.16|f106v.17|f114r.27|f13v.2|f39v.4	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	choddal	CH_OR_SH...AL	1	1	1	1	f32r.4	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chokeal	CH_OR_SH...AL	1	1	1	1	f111v.43	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chokedal	CH_OR_SH...AL	1	1	0	1	f108r.3	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	cholal	CH_OR_SH...AL	3	3	3	3	f107r.19|f39r.7|f8r.14	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	choldal	CH_OR_SH...AL	1	1	1	1	f58r.12	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	cholkal	CH_OR_SH...AL	2	2	2	2	f105v.18|f39r.16	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chopchal	CH_OR_SH...AL	1	1	1	1	f10r.1	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chorcholsal	CH_OR_SH...AL	1	1	1	1	f88r.22	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	chpal	CH_OR_SH...AL	2	2	2	2	f107v.20|f54v.1	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	sharal	CH_OR_SH...AL	1	1	1	1	f58r.35	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	shcthal	CH_OR_SH...AL	1	1	1	1	f8v.2	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	shdal	CH_OR_SH...AL	4	4	3	3	f103r.22|f112r.33|f77v.7|f86v6.4	PROTECTED_KNOWN_WHOLE	RETAIN_PROTECTED_V33_CARD
CH_SH_AL_FAMILY_FRONTIER	sheckhal	CH_OR_SH...AL	2	2	2	2	f81v.7|f83v.20	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
CH_SH_AL_FAMILY_FRONTIER	shedal	CH_OR_SH...AL	11	7	7	7	f111r.36|f111v.3|f111v.9|f76r.26|f76v.10|f77v.12|f83r.15|f83r.47|f83v.11|f83v.29	PROTECTED_KNOWN_WHOLE	RETAIN_PROTECTED_V33_CARD
CH_SH_AL_FAMILY_FRONTIER	sheedal	CH_OR_SH...AL	1	1	0	0	f106r.45	OPEN_UNKNOWN_WHOLE	NO_SUBSTRING_INHERITANCE__REMAIN_OPEN
