page	locus	target_surfaces	target_count	simple_v33_al_sisters	simple_v33_sister_present	zl3b_line
f103v	f103v.43	shtal	1	NONE	0	orain chckhey qokaiin shckhy shtal opchy lkeedy chdy lchedy
f104v	f104v.19	chekal	1	NONE	0	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal
f106r	f106r.43	chekal	1	al	1	daiiral sheol daiin otedy qokain okar cheor al taiin chekal otaras
f106v	f106v.16	chotal	1	NONE	0	sarar okear aiin chotal shody qotchdy qotar shedy chodal chedy qotam
f106v	f106v.27	sheotal	1	NONE	0	olcheo odaiin sheotal shoor qokeey oarar
f107r	f107r.48	chkal	1	NONE	0	fairal chkal lky otain ar kalkal qotain oty lky otaiin ytaiin om
f107v	f107v.15	chkal	1	qokal	1	solain qokal okeey lkaiin okain chkal otain chcthy tarairy
f107v	f107v.2	chkal	1	otal	1	daiin dckhy ol daiin chkal qokedy otal chedy oteos aiin otar alkain ol
f108r	f108r.19	chtal	1	chal	1	dchedy okeedar shchy okol kedy okeedy chal raiin otedy chtal om
f108r	f108r.21	shokal	1	otal	1	qolshy qoeedy lkealshedy shokal keedy qotedy qopchedy otal dkedam
f111r	f111r.23	shekal	1	NONE	0	dshey sheeckhy qokeshey keeshody qokeey qokedy okain shekal okechedy qokechedy
f111r	f111r.31	chkal	1	NONE	0	sheotchedy shedain shkeyqokeaiin shkeody qokeey qokeedy chkal checthy
f111r	f111r.33	chkal	1	NONE	0	qoeeeo s ain ar ol keey lkair cheda chkal keeodal eees chody qokeedy dl
f111v	f111v.15	chtal	1	al|otal	1	sar shey l otain qokaiin al kain chedy otal lchedy qokain chtal otain l s
f111v	f111v.17	chkal	1	NONE	0	solkain shey okaiin sheey qokain chkal chckhy saiin ar lchal she otain
f111v	f111v.34	chtal	1	NONE	0	polar okar teody qokain talol tarol opchedy qotar otar chtal sam
f112v	f112v.43	chtal	1	oeeal|al	1	ooeeor oeeal olkeol al chol chl olchedy ykeedy chtal kar opchy famam
