master_card_id	master_form	registered_surfaces	old_generation_class	new_generation_class	component_parse	added_licensed_core	portable_core_de	prose_event_count	generation_rule
MC001	chdal	chdal	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	CHD_TRANSFER+AL_TO	NONE	Zieltransfer	1	compose the registered component parse
MC002	okeey	okeey|qokeey	FRAME_PLUS_LOCAL_CORE	GENERATED_FROM_FORTY_COMPONENTS	OK_SET+GRADE_2+Y_CURRENT_ITEM	NONE	LAENGER_SETZEN_ODER_HALTEN	7	compose the registered component parse
MC003	sheedy	sheedy	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	SHED_SETTLE+GRADE_2+DY_CLOSE	NONE	Langabsetzen; Schluss	1	compose the registered component parse
MC004	ldy	ldy	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	L_OUT+CLOSE_EXACT	NONE	abziehen; Schluss	2	compose the registered component parse
MC005	okchedy	okchedy|qokchedy	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	OK_SET+CHED_TRANSFER_PREVIOUS_ITEM+CLOSE	NONE	vorigen Posten überführen; Schluss	2	compose the registered component parse
MC006	chokcheo	chokcheo	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	OK + CHEO	NONE	Auszug einsetzen	1	compose the registered component parse
MC007	okey	okey|qokey	FRAME_PLUS_LOCAL_CORE	GENERATED_FROM_FORTY_COMPONENTS	OK_SET+GRADE_1+Y_CURRENT_ITEM	NONE	KURZ_SETZEN	2	compose the registered component parse
MC008	lchy	lchy	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	LCH_WITHDRAW+Y_ITEM	NONE	Abführgut	1	compose the registered component parse
MC009	chary	chary	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	AR_FROM+Y_CURRENT	NONE	Quellposten	1	compose the registered component parse
MC010	chodaly	chodaly	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	CHO + AL + Y	NONE	Zugabe am aktuellen Ziel	1	compose the registered component parse
MC011	lchedar	lchedar	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	L_OUT+CHED_TRANSFER+AR_FROM	NONE	Quellabführung	1	compose the registered component parse
MC012	dl	dl	WHOLE_SIGN	MEMORIZED_WHOLE_SIGN	DL_BATH_ADDITIVE_WHOLE_CARD	NONE	Zusatz	2	retrieve the complete whole sign
MC013	otchor	otchor|qotchor	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	OT + OR	NONE	Folgeansatz	2	compose the registered component parse
MC014	chair	chair	FRAME_PLUS_LOCAL_CORE	GENERATED_FROM_FORTY_COMPONENTS	CH + AIR	CH_POUR	laufendes Medium zugießen	1	compose the registered component parse using licensed core CH_POUR
MC015	qokokchy	qokokchy	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	OK + OK + Y	NONE	denselben Posten erneut einsetzen	1	compose the registered component parse
MC016	rol	rol	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	R_FRAME+OL_CONTINUE	NONE	Anschluss	1	compose the registered component parse
MC017	okain	okain|qokain	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	OK+AIN_PORTION	NONE	Anteil zugeben	7	compose the registered component parse
MC018	qotedaiin	qotedaiin	PRODUCTIVE_COMPOSITION	GENERATED_FROM_FORTY_COMPONENTS	OT_FOLLOW+E_SHORT+AIIN_MEASURE	NONE	Kurzsoll	1	compose the registered component parse
MC019	oldy	oldy	FRAME_PLUS_LOCAL_CORE	GENERATED_FROM_FORTY_COMPONENTS	OL_CONTINUE+DY_CLOSE	NONE	fertig	2	compose the registered component parse
