deck_order	entry_kind	entry_id	visible_or_master_form	short_value_de	learning_rule	support_events
1	SHARED_PRODUCTIVE	OK	OK	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	78
2	SHARED_PRODUCTIVE	OL	OL	WEITER	im selben Fortgang weiterarbeiten	48
3	SHARED_PRODUCTIVE	OT	OT	DANACH	zum folgenden Posten oder Schritt wechseln	26
4	SHARED_PRODUCTIVE	AR	AR	VON	von der bezeichneten Quelle oder dem Vorrat her	14
5	SHARED_PRODUCTIVE	AL	AL	ZU	an die bezeichnete Stelle oder zum Ziel	38
6	SHARED_PRODUCTIVE	L	L	AB	aus dem aktiven Posten heraus- oder abführen	23
7	SHARED_PRODUCTIVE	P	P	ZU	in einen lokalen Empfänger zuführen	2
8	SHARED_PRODUCTIVE	AIN	AIN	PORTION	eine abgegrenzte Teilmenge	15
9	SHARED_PRODUCTIVE	AN	AN	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	1
10	SHARED_PRODUCTIVE	AIIN	AIIN	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	39
11	SHARED_PRODUCTIVE	IIN	IIN	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	4
12	SHARED_PRODUCTIVE	E	E	KURZ	kurz oder unmittelbar ausführen	41
13	SHARED_PRODUCTIVE	EE	EE	LANG	länger halten oder fortsetzen	33
14	SHARED_PRODUCTIVE	EEE	EEE	VOLL	bis zur vollen Stufe ausführen	2
15	SHARED_PRODUCTIVE	Y	Y	DIES	den aktuell gemeinten Arbeitsposten halten	103
16	SHARED_PRODUCTIVE	DY	DY	SCHLUSS	nur als lizenzierte Endkarte die Zelle schließen	90
17	SHARED_PRODUCTIVE	OR	OR	ANSATZ	den aktuell bereiteten Ansatz oder Bedingungssatz halten	17
18	SHARED_PRODUCTIVE	HO	HO	ZUTAT	eine weitere Zutat oder einen Materialteil einsetzen	11
19	SHARED_PRODUCTIVE	CHEO	CHEO	AUSZUG	einen gewonnenen Auszug bezeichnen	4
20	SHARED_PRODUCTIVE	AIR	AIR	LAUFFLÜSSIGKEIT	Flüssigkeit im sichtbaren oder gedachten Lauf	5
21	SHARED_PRODUCTIVE	CHED	CHED	ÜBERFÜHREN	Material von einer Station in die nächste bringen	40
