master_card_id	master_form	portable_core_de	component_parse	old_problem	added_licensed_core	closure_route	prose_event_count
MC002	okeey	LAENGER_SETZEN_ODER_HALTEN	OK_SET+GRADE_2+Y_CURRENT_ITEM	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	7
MC007	okey	KURZ_SETZEN	OK_SET+GRADE_1+Y_CURRENT_ITEM	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	2
MC014	chair	laufendes Medium zugießen	CH + AIR	productive frame depended on an uncounted local core	CH_POUR	NEW_LICENSED_CORE	1
MC019	oldy	fertig	OL_CONTINUE+DY_CLOSE	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	2
MC021	oltchy	die laufende Bereitung fortsetzen	OL + TCH + Y	productive frame depended on an uncounted local core	TCH_PREPARATION	NEW_LICENSED_CORE	1
MC026	choky	einsetzen	OK_SET+Y_CURRENT_ITEM	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	10
MC027	oykchor	Gefäß für den Ansatz	OYK + OR	productive frame depended on an uncounted local core	OYK_VESSEL	NEW_LICENSED_CORE	1
MC032	cheeky	länger bearbeiten	CHK_WARM+GRADE_2+Y_CURRENT_ITEM	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	2
MC034	cho	EINGABE_ODER_BEDINGUNG	CHO	productive frame depended on an uncounted local core	CHO_INPUT	NEW_LICENSED_CORE	4
MC039	aiin	Sollmaß	AIIN_TARGET_MEASURE	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	20
MC040	okal	dorthin einsetzen	OK_SET+AL_TO	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	6
MC047	ykain	erste Portion	Y + K + AIN	productive frame depended on an uncounted local core	K_BINDER	NEW_LICENSED_CORE	1
MC055	char	davon	AR_FROM	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	5
MC062	shoyty	Zugabeteil	SHO + YTY	productive frame depended on an uncounted local core	YTY_PART	NEW_LICENSED_CORE	1
MC069	otytchol	Folgeteil	OT + YTY + OL	productive frame depended on an uncounted local core	YTY_PART	NEW_LICENSED_CORE	1
MC074	chdy	überführen	CHD~CHED_TRANSFER+Y_ITEM	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	11
MC080	chor	Ansatz	OR_BATCH	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	7
MC086	chety	Teil	CH_PARTITION+TY_PART	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	2
MC100	ody	ZURUECKNEHMEN__SCHLUSS	O + DY	productive frame depended on an uncounted local core	O_WITHDRAW	NEW_LICENSED_CORE	1
MC111	shfydaiin	eine vorgeschriebene Stehzeit einhalten	SHFY + AIIN	productive frame depended on an uncounted local core	SHFY_DURATION	NEW_LICENSED_CORE	1
MC120	okaiin	bemessen	OK_SET+AIIN_TARGET_MEASURE	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	9
MC123	chey	dies	Y_CURRENT_ITEM_CARD	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	18
MC136	kchoar	bearbeiteter Quellauszug	K + CHO + AR	productive frame depended on an uncounted local core	K_BINDER|CHO_INPUT	NEW_LICENSED_CORE	1
MC142	dchol	vom vorigen Arbeitsgang nehmen	D + OL	productive frame depended on an uncounted local core	D_PREVIOUS	NEW_LICENSED_CORE	2
MC148	ykan	zweite Portion	Y + K + AN	productive frame depended on an uncounted local core	K_BINDER	NEW_LICENSED_CORE	1
MC153	cheol	weiter	OL_CONTINUE	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	19
MC154	al	dorthin	AL_TO	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	10
MC157	cholor	derselbe Ansatz	OL_CONTINUE+OR_BATCH	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	2
MC159	os	AUFNAHMEFELD_ODER_UMSCHLUSS	OS	productive frame depended on an uncounted local core	OS_RECEIVER	NEW_LICENSED_CORE	1
MC161	checthy	bereit	CTH_READY+Y_CURRENT	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	7
MC170	ykaiin	Sollportion	Y + K + AIIN	productive frame depended on an uncounted local core	K_BINDER	NEW_LICENSED_CORE	1
MC171	otchey	das nächste	OT_FOLLOW+Y_CURRENT_ITEM	productive frame depended on an uncounted local core	NONE	ALREADY_COVERED_BY_SHARED_COMPONENTS	2
