record	page	title_de	statements	action_events	argument_state_events	continuous_action_complete_translation_de
H1	f10r	erste Pflanzenanweisung	2	8	6	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß. Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.
H2	f10r	zweiter Pflanzenabsatz	3	5	19	Bei der ersten abgebildeten Pflanze: abziehen. Angaben: bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten. Bei der ersten abgebildeten Pflanze: abziehen. Angaben: Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort. Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.
H3	f11r	Blütenpflanzenfolge	4	10	7	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen. Bei der abgebildeten Blütenpflanze: halten + eintragen. Bei der abgebildeten Blütenpflanze: zugeben. Angaben: fortsetzen | dieser Posten | dieser Posten | vorgeschriebenes Maß. Bei der abgebildeten Blütenpflanze: weiter beschicken. Angaben: danach · dieser Posten | bereit · dieser Posten | dieser Posten.
H4	f55v	breitblättrige Pflanzenfolge	4	10	8	Bei der abgebildeten breitblättrigen Pflanze: bis zum Sollmaß beschicken; dann dosiert zugeben; dann zugeben. Angaben: vorgeschriebenes Maß | Arbeitsgang; Schritt schließen. Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß. Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen. Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.
H5	f56r	mehrköpfige Pflanzenfolge	6	15	12	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle. Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten. Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe. Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen. Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion. Bei der abgebildeten mehrköpfigen Pflanze: zugeben. Angaben: danach · dieser Posten | vorgeschriebenes Maß.
B1	f81v	gemeinsames Becken	21	43	23	Bei dem gemeinsamen Becken: einwirken lassen. Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten. Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen. Bei dem gemeinsamen Becken: umschöpfen; dann absetzen lassen. Angaben: fortsetzen. Bei dem gemeinsamen Becken: in die nächste Station weitergeben. Bei dem gemeinsamen Becken: eine Portion einfüllen; dann durchleiten; dann abkühlen lassen. Angaben: Durchlass · dieser Posten. Bei dem gemeinsamen Becken: einsetzen + überführen. Bei dem gemeinsamen Becken: warm halten; dann absetzen lassen. Angaben: dieser Posten | fortsetzen | fortsetzen. Bei dem gemeinsamen Becken: einwirken lassen. Bei dem gemeinsamen Becken: einwirken lassen. Bei dem gemeinsamen Becken: einleiten. Angaben: Durchlass · dieser Posten. Bei dem gemeinsamen Becken: waschen; dann wirken lassen; dann durchwaschen. Bei dem gemeinsamen Becken: durchwaschen. Bei dem gemeinsamen Becken: umschöpfen; dann auffangen; dann hinleiten + umfüllen. Angaben: fortsetzen | danach · von dort. Bei dem gemeinsamen Becken: übertragen; dann einsetzen + überführen. Bei dem gemeinsamen Becken: anlegen; dann wirken lassen; dann absetzen lassen. Angaben: fortsetzen. Bei dem gemeinsamen Becken: umfüllen. Angaben: bezeichnete Stelle | kurz · fortsetzen. Bei dem gemeinsamen Becken: führen; dann stehen lassen; dann auffangen und stehen lassen. Angaben: Arbeitsgang · Sollstufe. Bei dem gemeinsamen Becken: absetzen lassen. Bei dem gemeinsamen Becken: warm halten; dann zurückhalten. Bei dem gemeinsamen Becken: die gelernte Zustands- und Adressfolge setzen. Angaben: bezeichnete Stelle.
B2	f82r	Becken- und Randstationen	22	47	15	Bei dem oberen Beckenpaar: in die nächste Station weitergeben. Bei dem oberen Beckenpaar: in die nächste Station weitergeben. Bei dem oberen Beckenpaar: eine Portion einfüllen; dann einwirken lassen. Angaben: dieser Posten. Bei dem oberen Beckenpaar: anlegen; dann durchleiten; dann führen + umsetzen; dann wirken lassen; dann durchleiten. Bei dem oberen Beckenpaar: anlegen; dann bis zum Maß auffangen; dann einleiten; dann einleiten; dann warm halten; dann abführen. Angaben: Durchlass · dieser Posten | Arbeitsgang · bereit · kurz · fortsetzen. Bei dem oberen Beckenpaar: anlegen; dann zurückhalten; dann den Arbeitsstoff einsetzen. Angaben: danach · länger · dieser Posten. Bei dem mittleren Handgerät: ruhen lassen. Bei dem mittleren Handgerät: aus der bezeichneten Quelle beschicken; dann absetzen lassen. Angaben: danach · vorgeschriebenes Maß. Bei dem mittleren Handgerät: ruhen lassen. Bei dem mittleren Handgerät: wirken lassen; dann den Arbeitsstoff einsetzen; dann stehen lassen. Angaben: weiter. Bei der mittleren rechten Station: eine Portion einfüllen; dann eine Portion einfüllen; dann einwirken lassen. Angaben: von dort. Bei der mittleren rechten Station: führen + abnehmen; dann stehen lassen; dann wirken lassen; dann führen; dann vollständig beschicken und abschließen. Angaben: bereit · kurz · dieser Posten | vorgeschriebenes Maß | dieser Posten. Bei dem unteren grünen Becken: abführen + überführen. Bei dem unteren grünen Becken: ableiten. Bei den kleinen Randstationen: stehen lassen; dann einwirken lassen. Bei den kleinen Randstationen: ableiten + umfüllen; dann abnehmen + abteilen; dann bis zum Sollmaß beschicken; dann wirken lassen; dann einfüllen + überführen. Angaben: bezeichnete Stelle | vorgeschriebenes Maß | danach · länger · dieser Posten. Bei den kleinen Randstationen: abkühlen lassen + ruhen lassen. Angaben: bezeichnete Stelle; Schritt schließen. Bei den kleinen Randstationen: einwirken lassen. Bei den kleinen Randstationen: auskühlen lassen + absetzen lassen. Bei den kleinen Randstationen: die gelernte Zustands- und Adressfolge setzen. Angaben: danach · länger; Schritt schließen. Bei den kleinen Randstationen: einwirken lassen. Bei den kleinen Randstationen: abführen + überführen.
B3	f83r	Gefäß- und Figurenstationen	34	56	30	Bei der oberen Fächerstation: auffangen und stehen lassen. Bei der oberen Fächerstation: anwärmen. Angaben: danach · bezeichnete Stelle. Bei der oberen Fächerstation: abführen + abmessen und umsetzen. Angaben: dieser Posten | vorgeschriebenes Maß | dieser Posten. Bei der oberen Fächerstation: bis zum Sollmaß beschicken. Angaben: danach · bezeichnete Stelle | von dort. Bei dem runden Gefäß: umfüllen. Bei dem runden Gefäß: umschöpfen; dann anlegen; dann in die nächste Station weitergeben. Bei dem runden Gefäß: bis zum Sollmaß beschicken; dann umschöpfen; dann einwirken lassen. Bei dem runden Gefäß: abführen + überführen. Bei dem runden Gefäß: den Arbeitsstoff einsetzen. Bei dem korbartigen Gefäß: einfüllen + umfüllen. Angaben: danach · kurz; Schritt schließen. Bei dem korbartigen Gefäß: halten + umsetzen; dann den Arbeitsstoff einsetzen; dann umschöpfen. Angaben: von dort · dieser Posten. Bei dem korbartigen Gefäß: absetzen lassen. Angaben: Ansatz. Bei dem korbartigen Gefäß: bis zum Sollmaß beschicken; dann dosiert zugeben; dann einwirken lassen. Angaben: bereit · kurz · dieser Posten. Bei dem korbartigen Gefäß: einleiten; dann ruhen lassen. Bei dem korbartigen Gefäß: abführen + überführen. Bei dem korbartigen Gefäß: führen; dann einsetzen + überführen. Bei dem getrennten Zwischenbereich: einwirken lassen. Bei dem getrennten Zwischenbereich: absetzen lassen. Bei dem getrennten Zwischenbereich: einwirken lassen + ruhen lassen. Bei dem getrennten Zwischenbereich: hinleiten + umfüllen. Angaben: bezeichnete Stelle. Bei dem getrennten Zwischenbereich: bis zum Sollmaß beschicken; dann ablagern; dann stehen lassen; dann umfüllen. Angaben: bereit · dieser Posten | bezeichnete Stelle | dieser Posten | vorgeschriebenes Maß | dieser Posten | bezeichnete Stelle | bereit · dieser Posten. Bei dem getrennten Zwischenbereich: in die nächste Station weitergeben. Bei dem getrennten Zwischenbereich: abführen + überführen. Bei dem getrennten Zwischenbereich: in die nächste Station weitergeben. Bei dem getrennten Zwischenbereich: einsetzen + überführen. Bei dem getrennten Zwischenbereich: ableiten; dann umschöpfen; dann eine Portion einfüllen; dann abkühlen lassen; dann auffangen und stehen lassen. Angaben: länger · von dort | bereit · dieser Posten. Bei dem Figurenpaar in B3: die gelernte Zustands- und Adressfolge setzen. Angaben: danach · länger; Schritt schließen. Bei dem Figurenpaar in B3: wirken lassen; dann einwirken lassen. Bei dem Figurenpaar in B3: eintragen; dann einwirken lassen. Angaben: fortsetzen. Bei dem Figurenpaar in B3: den Arbeitsstoff einsetzen; dann durchleiten; dann in die nächste Station weitergeben. Angaben: vorgeschriebenes Maß. Bei dem Figurenpaar in B3: einwirken lassen. Bei dem Figurenpaar in B3: abmessen und umsetzen; dann abmessen und umsetzen. Angaben: danach · kurz · vorgeschriebenes Maß | danach · vorgeschriebenes Maß | danach · kurz; Schritt schließen. Bei dem Figurenpaar in B3: abführen. Bei dem Figurenpaar in B3: eintragen; dann ablagern. Angaben: Arbeitsgang · Sollstufe | bereit · dieser Posten | danach · vorgeschriebenes Maß | fortsetzen · bezeichnete Stelle · dieser Posten.
B4	f83r	Paar- und Hauptstationen	16	33	14	Bei dem Figurenpaar in B4: einwirken lassen. Bei dem Figurenpaar in B4: wirken lassen; dann einwirken lassen. Angaben: fortsetzen · dieser Posten. Bei dem Figurenpaar in B4: umschöpfen; dann anlegen; dann den Arbeitsstoff einsetzen; dann absetzen lassen. Angaben: danach · bezeichnete Stelle | danach · dieser Posten | fortsetzen. Bei dem Figurenpaar in B4: einsetzen + festbinden. Bei dem Figurenpaar in B4: abmessen und umsetzen; dann einwirken lassen. Angaben: Portion. Bei dem Figurenpaar in B4: zurückhalten. Bei dem Figurenpaar in B4: zurückhalten. Bei dem Figurenpaar in B4: warm halten; dann einwirken lassen; dann einwirken lassen. Angaben: vorgeschriebenes Maß. Bei dem Figurenpaar in B4: absetzen lassen. Bei dem Figurenpaar in B4: die gelernte Zustands- und Adressfolge setzen. Angaben: fortsetzen; Schritt schließen. Bei der linken Hauptstation: warm halten; dann wirken lassen; dann eine Portion einfüllen; dann umschöpfen; dann abführen + zugeben. Angaben: vorgeschriebenes Maß | fortsetzen. Bei der linken Hauptstation: abführen + überführen. Bei der linken Hauptstation: weiter beschicken; dann absetzen lassen. Bei der linken Hauptstation: die gelernte Zustands- und Adressfolge setzen. Angaben: Ansatz | dieser Posten | Arbeitsgang · Durchlass · kurz · dieser Posten | laufender Bestand · dieser Posten; Schritt schließen. Bei der linken Hauptstation: eine Portion einfüllen; dann stehen lassen; dann dosiert zugeben; dann ablaufen lassen; dann auffangen; dann abführen + überführen. Bei der rechten S-Station: dosiert zugeben; dann zuführen; dann absetzen lassen. Angaben: bezeichnete Stelle.
B5	f83r	linker Nachtrag	3	6	5	Bei der linken Nachtragsstation: in die nächste Station weitergeben. Bei der linken Nachtragsstation: einsetzen + überführen. Bei der linken Nachtragsstation: ablagern; dann hinleiten; dann umfüllen; dann abmessen und umsetzen. Angaben: bezeichnete Stelle | fortsetzen | vorgeschriebenes Maß | fortsetzen | zweite · Sollstufe.
